Date,adjusted_close,volume,direction,direction2,Symbol,volatility
2014-03-27,27.923,13100,0,0,GOOG,0.0
2014-03-28,27.9995,41100,1,0,GOOG,0.0
2014-03-31,27.8485,10800,0,0,GOOG,0.0
2014-04-01,28.358,7900,1,0,GOOG,0.0
2014-04-02,28.35,146700,0,0,GOOG,0.0
2014-04-03,28.487,5085200,1,0,GOOG,0.0
2014-04-04,27.157,6351900,0,0,GOOG,0.0
2014-04-07,26.9075,4389600,0,0,GOOG,0.0
2014-04-08,27.745,3142600,1,0,GOOG,0.0
2014-04-09,28.207,3321700,1,0,GOOG,0.0
2014-04-10,27.0475,4025800,0,0,GOOG,0.0
2014-04-11,26.53,3914100,0,0,GOOG,0.0
2014-04-14,26.626,2568000,1,0,GOOG,0.0
2014-04-15,26.822,3844500,1,0,GOOG,0.0
2014-04-16,27.827,4879900,1,0,GOOG,0.0
2014-04-17,26.805,6790900,0,0,GOOG,0.0
2014-04-21,26.431,2559700,0,0,GOOG,0.0
2014-04-22,26.7405,2358900,1,0,GOOG,0.0
2014-04-23,26.347,2046700,0,0,GOOG,0.0
2014-04-24,26.258,1878000,0,1,GOOG,0.0
2014-04-25,25.809,2094600,0,1,GOOG,0.0
2014-04-28,25.8575,3326400,1,1,GOOG,0.0
2014-04-29,26.385,2691700,1,1,GOOG,0.0
2014-04-30,26.333,1746400,0,1,GOOG,0.0
2014-05-01,26.5675,1900300,1,1,GOOG,0.0
2014-05-02,26.3965,1683900,0,1,GOOG,0.0
2014-05-05,26.3905,1021300,0,1,GOOG,0.0
2014-05-06,25.757,1684400,0,1,GOOG,0.0
2014-05-07,25.498,3215500,0,1,GOOG,0.0
2014-05-08,25.55,2015800,1,1,GOOG,0.0
2014-05-09,25.9365,2432800,1,1,GOOG,0.0
2014-05-12,26.496,1907300,1,1,GOOG,0.0
2014-05-13,26.6545,1648900,1,1,GOOG,0.0
2014-05-14,26.3325,1188500,0,1,GOOG,0.0
2014-05-15,25.999,1699700,0,1,GOOG,0.0
2014-05-16,26.0315,1481200,1,1,GOOG,0.0
2014-05-19,26.443,1274300,1,1,GOOG,0.0
2014-05-20,26.4885,1779900,1,1,GOOG,0.0
2014-05-21,26.947,1193000,1,1,GOOG,0.0
2014-05-22,27.253,1611400,1,1,GOOG,0.0
2014-05-23,27.635,1926900,1,1,GOOG,0.0
2014-05-27,28.2975,2098400,1,0,GOOG,0.0
2014-05-28,28.084,1647500,0,0,GOOG,0.0
2014-05-29,28.004,1350400,0,0,GOOG,0.0
2014-05-30,27.9945,1766300,0,0,GOOG,0.0
2014-06-02,27.6965,1431100,0,0,GOOG,0.0
2014-06-03,27.247,1861500,0,1,GOOG,0.0
2014-06-04,27.233,1811500,0,1,GOOG,0.0
2014-06-05,27.695,1684500,1,1,GOOG,0.0
2014-06-06,27.8165,1732000,1,1,GOOG,0.0
2014-06-09,28.106,1463500,1,1,GOOG,0.0
2014-06-10,28.0275,1348000,0,1,GOOG,0.0
2014-06-11,27.942,1097100,0,1,GOOG,0.0
2014-06-12,27.5675,1454500,0,1,GOOG,0.0
2014-06-13,27.588,1217200,1,1,GOOG,0.0
2014-06-16,27.214,1697900,0,1,GOOG,0.0
2014-06-17,27.1505,1440600,0,1,GOOG,0.0
2014-06-18,27.6685,1737000,1,1,GOOG,0.0
2014-06-19,27.745,2450100,1,1,GOOG,0.0
2014-06-20,27.818,4496000,1,1,GOOG,0.0
2014-06-23,28.2475,1532600,1,1,GOOG,0.0
2014-06-24,28.231,2201100,0,1,GOOG,0.0
2014-06-25,28.9325,1964000,1,1,GOOG,0.0
2014-06-26,28.8,1737200,0,1,GOOG,0.0
2014-06-27,28.862,2230800,1,0,GOOG,0.0
2014-06-30,28.764,1310200,0,1,GOOG,0.0
2014-07-01,29.1335,1444000,1,1,GOOG,0.0
2014-07-02,29.11675,1053500,0,1,GOOG,0.0
2014-07-03,29.2365,712200,1,1,GOOG,0.0
2014-07-07,29.1125,1061700,0,1,GOOG,0.0
2014-07-08,28.5545,1904300,0,1,GOOG,0.0
2014-07-09,28.804,1113700,1,1,GOOG,0.0
2014-07-10,28.555,1353000,0,1,GOOG,0.0
2014-07-11,28.959,1617300,1,1,GOOG,0.0
2014-07-14,29.2435,1849000,1,0,GOOG,0.0
2014-07-15,29.239,1618600,0,0,GOOG,0.0
2014-07-16,29.133,1393300,0,0,GOOG,0.0
2014-07-17,28.686495,3008300,0,0,GOOG,0.0
2014-07-18,29.754,4003200,1,0,GOOG,0.0
2014-07-21,29.4735,2056500,0,0,GOOG,0.0
2014-07-22,29.737,1694500,1,0,GOOG,0.0
2014-07-23,29.799,1229800,1,0,GOOG,0.0
2014-07-24,29.6675,1032300,0,0,GOOG,0.0
2014-07-25,29.451,929900,0,0,GOOG,0.0
2014-07-28,29.53,984100,1,0,GOOG,0.0
2014-07-29,29.2805,1346200,0,0,GOOG,0.0
2014-07-30,29.371,1013700,1,0,GOOG,0.0
2014-07-31,28.58,2097000,0,0,GOOG,0.0
2014-08-01,28.3035,1949900,0,1,GOOG,0.0
2014-08-04,28.6575,1423400,1,1,GOOG,0.0
2014-08-05,28.2535,1547000,0,1,GOOG,0.0
2014-08-06,28.3187,1330700,1,1,GOOG,0.0
2014-08-07,28.168,1107900,0,1,GOOG,0.0
2014-08-08,28.4385,1490700,1,1,GOOG,0.0
2014-08-11,28.394,1211400,0,1,GOOG,0.0
2014-08-12,28.1365,1537800,0,1,GOOG,0.0
2014-08-13,28.739,1437900,1,1,GOOG,0.0
2014-08-14,28.7325,982800,0,1,GOOG,0.0
2014-08-15,28.674,1515000,0,1,GOOG,0.0
2014-08-18,29.108,1280600,1,1,GOOG,0.0
2014-08-19,29.343,976000,1,1,GOOG,0.0
2014-08-20,29.2245,1033900,0,0,GOOG,0.0
2014-08-21,29.1685,912300,0,0,GOOG,0.0
2014-08-22,29.128,786900,0,0,GOOG,0.0
2014-08-25,29.01,1357700,0,0,GOOG,0.0
2014-08-26,28.893,1635200,0,0,GOOG,0.0
2014-08-27,28.55,1698700,0,1,GOOG,0.0
2014-08-28,28.46,1289400,0,1,GOOG,0.0
2014-08-29,28.58,1080800,1,1,GOOG,0.0
2014-09-02,28.8665,1574100,1,1,GOOG,0.0
2014-09-03,28.897,1211800,1,1,GOOG,0.0
2014-09-04,29.099,1454200,1,1,GOOG,0.0
2014-09-05,29.304,1627900,1,1,GOOG,0.0
2014-09-08,29.486,1427100,1,0,GOOG,0.0
2014-09-09,29.0505,1283700,0,0,GOOG,0.0
2014-09-10,29.155,974700,1,0,GOOG,0.0
2014-09-11,29.0675,1217700,0,0,GOOG,0.0
2014-09-12,28.781,1597300,0,0,GOOG,0.0
2014-09-15,28.655,1593200,0,0,GOOG,0.0
2014-09-16,28.9975,1476300,1,1,GOOG,0.0
2014-09-17,29.2385,1688200,1,0,GOOG,0.0
2014-09-18,29.4635,1440600,1,0,GOOG,0.0
2014-09-19,29.804,3726400,1,0,GOOG,0.0
2014-09-22,29.3685,1684900,0,0,GOOG,0.0
2014-09-23,29.0565,1467400,0,0,GOOG,0.0
2014-09-24,29.3995,1721085,1,0,GOOG,0.0
2014-09-25,28.753,1915643,0,0,GOOG,0.0
2014-09-26,28.855,1439807,1,0,GOOG,0.0
2014-09-29,28.818,1281204,0,0,GOOG,0.0
2014-09-30,28.868,1618437,1,0,GOOG,0.0
2014-10-01,28.4135,1445027,0,0,GOOG,0.0
2014-10-02,28.504,1175307,1,0,GOOG,0.0
2014-10-03,28.764,1138636,1,0,GOOG,0.0
2014-10-06,28.8675,1211320,1,0,GOOG,0.0
2014-10-07,28.187,1906427,0,0,GOOG,0.0
2014-10-08,28.625,1987888,1,0,GOOG,0.0
2014-10-09,28.044,2519693,0,0,GOOG,0.0
2014-10-10,27.2245,3078634,0,0,GOOG,0.0
2014-10-13,26.6605,2578676,0,1,GOOG,0.0
2014-10-14,26.897,2217230,1,1,GOOG,0.0
2014-10-15,26.5015,3712536,0,1,GOOG,0.0
2014-10-16,26.2255,3698423,0,1,GOOG,0.0
2014-10-17,25.5585,5530674,0,1,GOOG,0.0
2014-10-20,26.042,2605505,1,1,GOOG,0.0
2014-10-21,26.327,2332531,1,1,GOOG,0.0
2014-10-22,26.6355,2917183,1,1,GOOG,0.0
2014-10-23,27.199,2345296,1,1,GOOG,0.0
2014-10-24,26.989,1972047,0,1,GOOG,0.0
2014-10-27,27.0385,1184973,1,1,GOOG,0.0
2014-10-28,27.445,1273372,1,1,GOOG,0.0
2014-10-29,27.4665,1767107,1,0,GOOG,0.0
2014-10-30,27.5155,1451667,1,0,GOOG,0.0
2014-10-31,27.954,2032887,1,0,GOOG,0.0
2014-11-03,27.761,1378511,0,0,GOOG,0.0
2014-11-04,27.7055,1240761,0,0,GOOG,0.0
2014-11-05,27.296,2026740,0,0,GOOG,0.0
2014-11-06,27.102,1329604,0,0,GOOG,0.0
2014-11-07,27.0505,1629259,0,0,GOOG,0.0
2014-11-10,27.3745,1131546,1,1,GOOG,0.0
2014-11-11,27.5145,964866,1,0,GOOG,0.0
2014-11-12,27.3655,1126594,0,0,GOOG,0.0
2014-11-13,27.269,1335719,0,0,GOOG,0.0
2014-11-14,27.22,1285991,0,0,GOOG,0.0
2014-11-17,26.8255,1721282,0,0,GOOG,0.0
2014-11-18,26.7515,1957664,0,0,GOOG,0.0
2014-11-19,26.8495,1388440,1,0,GOOG,0.0
2014-11-20,26.7415,1559131,0,0,GOOG,0.0
2014-11-21,26.875,2218249,1,0,GOOG,0.0
2014-11-24,26.9635,1701682,1,0,GOOG,0.0
2014-11-25,27.054,1784967,1,0,GOOG,0.0
2014-11-26,27.0185,1519503,0,0,GOOG,0.0
2014-11-28,27.0915,1145231,1,0,GOOG,0.0
2014-12-01,26.69,2109599,0,0,GOOG,0.0
2014-12-02,26.6875,1522481,0,0,GOOG,0.0
2014-12-03,26.566,1279288,0,0,GOOG,0.0
2014-12-04,26.8655,1392208,1,0,GOOG,0.0
2014-12-05,26.263,2558649,0,0,GOOG,0.0
2014-12-08,26.349,2327127,1,1,GOOG,0.0
2014-12-09,26.6685,1871268,1,1,GOOG,0.0
2014-12-10,26.303,1716835,0,0,GOOG,0.0
2014-12-11,26.417,1610964,1,1,GOOG,0.0
2014-12-12,25.933,1989117,0,0,GOOG,0.0
2014-12-15,25.69,2812786,0,0,GOOG,0.0
2014-12-16,24.7695,3953371,0,0,GOOG,0.0
2014-12-17,25.2445,2875281,1,1,GOOG,0.0
2014-12-18,25.555,2918730,1,0,GOOG,0.0
2014-12-19,25.8175,3680148,1,0,GOOG,0.0
2014-12-22,26.2435,2723599,1,0,GOOG,0.0
2014-12-23,26.5295,2191567,1,0,GOOG,0.0
2014-12-24,26.4385,704035,0,0,GOOG,0.0
2014-12-26,26.7015,1037727,1,0,GOOG,0.0
2014-12-29,26.5165,2276104,0,0,GOOG,0.0
2014-12-30,26.521,873923,1,0,GOOG,0.0
2014-12-31,26.32,1371819,0,0,GOOG,0.0
2015-01-02,26.2405,1446662,0,1,GOOG,0.0
2015-01-05,25.6935,2054238,0,1,GOOG,0.0
2015-01-06,25.098,2891950,0,1,GOOG,0.0
2015-01-07,25.055,2059366,0,1,GOOG,0.0
2015-01-08,25.134,3344395,1,1,GOOG,0.0
2015-01-09,24.8085,2054956,0,1,GOOG,0.0
2015-01-12,24.6275,2320446,0,1,GOOG,0.0
2015-01-13,24.809,2365687,1,1,GOOG,0.0
2015-01-14,25.0435,2229638,1,1,GOOG,0.0
2015-01-15,25.0895,2711355,1,1,GOOG,0.0
2015-01-16,25.404,2292043,1,1,GOOG,0.0
2015-01-20,25.345,2225922,0,1,GOOG,0.0
2015-01-21,25.902,2262455,1,1,GOOG,0.0
2015-01-22,26.7195,2669558,1,1,GOOG,0.0
2015-01-23,26.9975,2275485,1,1,GOOG,0.0
