Date,adjusted_close,volume,direction,Symbol
2020-01-31,201.91,31359917,0,META
2020-01-30,209.53,48775500,0,META
2020-01-29,223.23,33610005,1,META
2020-01-28,217.79,13413835,1,META
2020-01-27,214.87,13810655,0,META
2020-01-24,217.94,11905824,0,META
2020-01-23,219.76,11195000,0,META
2020-01-22,221.32,12212814,0,META
2020-01-21,221.44,14162007,0,META
2020-01-17,222.14,15905944,1,META
2020-01-16,221.77,10015288,1,META
2020-01-15,221.15,10036475,1,META
2020-01-14,219.06,13315361,0,META
2020-01-13,221.91,14295658,1,META
2020-01-10,218.06,12127432,0,META
2020-01-09,218.3,12679579,1,META
2020-01-08,215.22,13492703,1,META
2020-01-07,213.06,15111857,1,META
2020-01-06,212.6,17073861,1,META
2020-01-03,208.67,11197416,0,META
2020-01-02,209.78,12090707,1,META
2019-12-31,205.25,8962756,1,META
2019-12-30,204.41,10534441,0,META
2019-12-27,208.1,10287634,1,META
2019-12-26,207.79,9368273,1,META
2019-12-24,205.12,6046273,0,META
2019-12-23,206.18,13353194,0,META
2019-12-20,206.3,27315226,1,META
2019-12-19,206.06,16808184,1,META
2019-12-18,202.5,23284746,1,META
2019-12-17,198.39,10177605,1,META
2019-12-16,197.92,14922733,1,META
2019-12-13,194.11,18806020,0,META
2019-12-12,196.75,23766986,0,META
2019-12-11,202.26,8041827,1,META
2019-12-10,200.87,9485568,0,META
2019-12-09,201.34,12013218,1,META
2019-12-06,201.05,12279525,1,META
2019-12-05,199.36,9755350,1,META
2019-12-04,198.71,8459939,0,META
2019-12-03,198.82,13014170,0,META
2019-12-02,199.7,11542020,0,META
2019-11-29,201.64,7985231,0,META
2019-11-27,202.0,12760568,1,META
2019-11-26,198.97,11748664,0,META
2019-11-25,199.79,15286442,1,META
2019-11-22,198.82,9959817,1,META
2019-11-21,197.93,12130985,1,META
2019-11-20,197.51,12370240,0,META
2019-11-19,199.32,19070291,1,META
2019-11-18,197.4,16176107,1,META
2019-11-15,195.1,11530232,1,META
2019-11-14,193.15,9059897,0,META
2019-11-13,193.19,11009800,0,META
2019-11-12,194.47,17615454,1,META
2019-11-11,189.61,8637768,0,META
2019-11-08,190.84,10764784,1,META
2019-11-07,190.42,13472998,0,META
2019-11-06,191.55,10973019,0,META
2019-11-05,194.32,9941954,0,META
2019-11-04,194.72,16371292,1,META
2019-11-01,193.62,21711829,1,META
2019-10-31,191.65,42286529,1,META
2019-10-30,188.25,28734559,0,META
2019-10-29,189.31,13574874,0,META
2019-10-28,189.4,13377192,1,META
2019-10-25,187.89,8061240,1,META
2019-10-24,186.38,11505406,1,META
2019-10-23,186.15,12370819,1,META
2019-10-22,182.34,19854192,0,META
2019-10-21,189.76,8122598,1,META
2019-10-18,185.85,16584992,0,META
2019-10-17,190.39,9761548,1,META
2019-10-16,189.55,10560343,1,META
2019-10-15,188.89,15143119,1,META
2019-10-14,183.28,7203665,0,META
2019-10-11,184.19,14998754,1,META
2019-10-10,180.03,8980978,1,META
2019-10-09,179.85,7648874,1,META
2019-10-08,177.75,10084896,0,META
2019-10-07,179.68,9359793,0,META
2019-10-04,180.45,10476395,1,META
2019-10-03,179.38,16789319,1,META
2019-10-02,174.6,16374148,0,META
2019-10-01,175.81,17261556,0,META
2019-09-30,178.08,11071425,1,META
2019-09-27,177.1,14663575,0,META
2019-09-26,180.11,16280691,0,META
2019-09-25,182.8,18339960,1,META
2019-09-24,181.28,18775666,0,META
2019-09-23,186.82,14370089,0,META
2019-09-20,189.93,20359878,0,META
2019-09-19,190.14,10474685,1,META
2019-09-18,188.14,9945798,1,META
2019-09-17,188.08,9751570,1,META
2019-09-16,186.22,8444844,0,META
2019-09-13,187.19,11441116,0,META
2019-09-12,187.47,11419775,0,META
2019-09-11,188.49,11761660,1,META
2019-09-10,186.17,15455867,0,META
2019-09-09,188.76,14722402,1,META
2019-09-06,187.49,15226820,0,META
2019-09-05,190.9,13896621,1,META
2019-09-04,187.14,11314571,1,META
2019-09-03,182.39,9792187,0,META
2019-08-30,185.67,10785722,1,META
2019-08-29,185.57,10135033,1,META
2019-08-28,181.76,9364533,1,META
2019-08-27,181.3,14408946,1,META
2019-08-26,180.36,8780477,1,META
2019-08-23,177.75,17331221,0,META
2019-08-22,182.04,10829509,0,META
2019-08-21,183.55,8409548,0,META
2019-08-20,183.81,10087592,0,META
2019-08-19,186.17,9699661,1,META
2019-08-16,183.7,12844832,1,META
2019-08-15,182.59,13059640,1,META
2019-08-14,179.71,18903716,0,META
