Date,adjusted_close,volume,direction,direction2,Symbol,volatility
2010-06-29,1.59266666666667,18766300,1,0,TSLA,0.07947535962902538
2010-06-30,1.58866666666667,17187100,1,0,TSLA,0.07690307014757919
2010-07-01,1.464,8218800,1,0,TSLA,0.06881983211645044
2010-07-02,1.28,5139800,1,0,TSLA,0.04822560041397573
2010-07-06,1.074,6866900,1,0,TSLA,0.04801344988532207
2010-07-07,1.05333333333333,6921700,0,0,TSLA,0.04282146560838248
2010-07-08,1.164,7711400,1,0,TSLA,0.04257780070434052
2010-07-09,1.16,4050600,1,0,TSLA,0.042440961693946136
2010-07-12,1.13666666666667,2202500,0,0,TSLA,0.04080460313205777
2010-07-13,1.20933333333333,2680100,0,0,TSLA,0.034917064458339184
2010-07-14,1.32266666666667,4195200,0,0,TSLA,0.036857913810047355
2010-07-15,1.326,3739800,0,0,TSLA,0.037216331730785056
2010-07-16,1.376,2621300,0,0,TSLA,0.03452984371812547
2010-07-19,1.46066666666667,2486500,1,1,TSLA,0.030493099911995298
2010-07-20,1.35333333333333,1825300,1,1,TSLA,0.030497447281883517
2010-07-21,1.348,1252500,0,1,TSLA,0.02887033550686327
2010-07-22,1.4,957800,0,0,TSLA,0.031273201589026106
2010-07-23,1.41933333333333,653600,1,0,TSLA,0.03128013444355979
2010-07-26,1.39666666666667,922200,1,0,TSLA,0.034296317140520054
2010-07-27,1.37,619700,0,0,TSLA,0.035200305566057084
2010-07-28,1.38133333333333,467200,1,0,TSLA,0.035721203912548856
2010-07-29,1.35666666666667,616000,1,0,TSLA,0.03571073811216316
2010-07-30,1.32933333333333,426900,0,0,TSLA,0.03234574605822499
2010-08-02,1.39466666666667,718100,0,0,TSLA,0.028906479514888145
2010-08-03,1.46333333333333,1230500,1,0,TSLA,0.03277756779284681
2010-08-04,1.41733333333333,913000,1,1,TSLA,0.03349556183442277
2010-08-05,1.36333333333333,796200,1,1,TSLA,0.03321660309774512
2010-08-06,1.306,741900,0,1,TSLA,0.03330904438283276
2010-08-09,1.30666666666667,812700,1,1,TSLA,0.03218829409645278
2010-08-10,1.26866666666667,1281300,1,1,TSLA,0.026643632319986923
2010-08-11,1.19333333333333,797600,1,1,TSLA,0.026862153539447264
2010-08-12,1.17333333333333,691000,0,1,TSLA,0.027783079720148065
2010-08-13,1.22133333333333,634000,0,1,TSLA,0.028022581355649282
2010-08-16,1.252,485800,0,1,TSLA,0.02795902809903642
2010-08-17,1.27666666666667,447900,1,1,TSLA,0.028313359707181213
2010-08-18,1.25133333333333,601300,0,1,TSLA,0.02837184198555626
2010-08-19,1.25266666666667,579100,0,1,TSLA,0.028643369472036363
2010-08-20,1.27333333333333,296000,0,1,TSLA,0.02632566826329096
2010-08-23,1.342,1088100,1,1,TSLA,0.02341976896136546
2010-08-24,1.28,673100,0,1,TSLA,0.022122239607563952
2010-08-25,1.32666666666667,503300,1,0,TSLA,0.02372616988368891
2010-08-26,1.31666666666667,433800,1,0,TSLA,0.02795777531587762
2010-08-27,1.31333333333333,379600,0,0,TSLA,0.02978240997384004
2010-08-30,1.32466666666667,732800,1,0,TSLA,0.03076904339790919
2010-08-31,1.29866666666667,201100,0,0,TSLA,0.028450318470193966
2010-09-01,1.36333333333333,494900,0,0,TSLA,0.029525437923038633
2010-09-02,1.404,487100,1,0,TSLA,0.029660259353365928
2010-09-03,1.40333333333333,434600,1,0,TSLA,0.030310125551089112
2010-09-07,1.36933333333333,243400,0,0,TSLA,0.030510755042151543
2010-09-08,1.39333333333333,288400,1,0,TSLA,0.032468297350543844
2010-09-09,1.38066666666667,376200,1,0,TSLA,0.03188557305693636
2010-09-10,1.34466666666667,386600,0,0,TSLA,0.03748694370259875
2010-09-13,1.38133333333333,360800,0,0,TSLA,0.03718018899938703
2010-09-14,1.408,654700,0,0,TSLA,0.03571423200391879
2010-09-15,1.46533333333333,684600,1,0,TSLA,0.03336329536919444
2010-09-16,1.396,2684500,1,0,TSLA,0.03315499300338033
2010-09-17,1.34866666666667,1198500,0,0,TSLA,0.031148211721460633
2010-09-20,1.40366666666667,947500,1,0,TSLA,0.03096491637978253
2010-09-21,1.38466666666667,796000,1,1,TSLA,0.02860555178079662
2010-09-22,1.32466666666667,962900,1,1,TSLA,0.028172741990912666
2010-09-23,1.304,668100,0,1,TSLA,0.027513317136717338
2010-09-24,1.34,578900,0,1,TSLA,0.027066772537204294
2010-09-27,1.36866666666667,418600,0,0,TSLA,0.024406839143532665
2010-09-28,1.42666666666667,1214500,0,0,TSLA,0.02297212638852398
2010-09-29,1.46533333333333,1969300,1,0,TSLA,0.013203219470864933
2010-09-30,1.36033333333333,2195800,0,1,TSLA,0.015416998370476848
2010-10-01,1.37333333333333,597700,0,1,TSLA,0.014539742453293432
2010-10-04,1.39933333333333,643600,0,1,TSLA,0.014399794058635037
2010-10-05,1.408,332000,1,1,TSLA,0.011611048387463633
2010-10-06,1.364,313400,1,0,TSLA,0.013062663030618147
2010-10-07,1.362,141000,0,1,TSLA,0.014139173810805622
2010-10-08,1.362,267800,1,1,TSLA,0.013831354566714377
2010-10-11,1.34933333333333,171200,0,0,TSLA,0.015523851293139823
2010-10-12,1.34933333333333,244000,0,0,TSLA,0.016693136613773866
2010-10-13,1.36933333333333,318200,0,0,TSLA,0.016797076740243364
2010-10-14,1.38333333333333,294800,1,0,TSLA,0.017399538436984007
2010-10-15,1.36933333333333,284700,1,1,TSLA,0.04015879248488327
2010-10-18,1.34866666666667,162800,1,1,TSLA,0.040708479580395814
2010-10-19,1.33666666666667,245200,0,0,TSLA,0.040557381113612304
2010-10-20,1.37666666666667,312500,0,0,TSLA,0.04124439307182739
2010-10-21,1.38333333333333,417100,1,1,TSLA,0.06243124831613149
2010-10-22,1.38133333333333,161100,0,1,TSLA,0.0653039166641284
2010-10-25,1.39,118500,0,0,TSLA,0.06613994420033535
2010-10-26,1.424,660900,1,0,TSLA,0.06485638428050366
2010-10-27,1.4,356500,0,0,TSLA,0.06719549157889959
2010-10-28,1.41266666666667,224200,0,0,TSLA,0.06780687640489708
2010-10-29,1.456,280600,1,0,TSLA,0.06667193796213645
2010-11-01,1.42733333333333,455800,1,0,TSLA,0.06589662882893021
2010-11-02,1.41666666666667,322500,0,0,TSLA,0.06698341430139386
2010-11-03,1.45133333333333,372600,0,0,TSLA,0.059295377730864136
2010-11-04,1.66,1874000,1,0,TSLA,0.05782659798666265
2010-11-05,1.62933333333333,1011000,0,0,TSLA,0.05854590475306576
2010-11-08,1.66533333333333,509500,1,0,TSLA,0.05944284911677122
2010-11-09,1.642,956400,0,0,TSLA,0.03597605152277052
2010-11-10,1.95733333333333,3060500,1,0,TSLA,0.033984221968699845
2010-11-11,1.869,1945300,0,0,TSLA,0.0362722759770319
2010-11-12,1.98933333333333,2729100,0,0,TSLA,0.03649992789579801
2010-11-15,2.05333333333333,2622900,1,0,TSLA,0.03656498869732283
2010-11-16,1.978,1347600,1,0,TSLA,0.03788098327611893
2010-11-17,1.966,750000,0,0,TSLA,0.03820407733105474
2010-11-18,1.99266666666667,956100,0,0,TSLA,0.037408276250592655
2010-11-19,2.066,1150500,0,0,TSLA,0.030825980464316328
2010-11-22,2.22666666666667,1529700,0,0,TSLA,0.029375031426232844
2010-11-23,2.30466666666667,1577800,0,0,TSLA,0.03112507952828723
2010-11-24,2.36466666666667,1425000,1,0,TSLA,0.034187514663046904
2010-11-26,2.35466666666667,350600,1,0,TSLA,0.03668318090686187
2010-11-29,2.28866666666667,1145600,0,0,TSLA,0.035929721485905314
2010-11-30,2.35533333333333,2222600,1,0,TSLA,0.03580929794952125
2010-12-01,2.29,1299200,1,0,TSLA,0.03279906472144346
2010-12-02,2.15666666666667,2007000,1,0,TSLA,0.03195373745578333
2010-12-03,2.09933333333333,1160100,1,1,TSLA,0.03727892844266226
2010-12-06,2.02066666666667,1274400,0,0,TSLA,0.052884607583382794
2010-12-07,2.104,1311300,0,0,TSLA,0.053396392110734874
2010-12-08,2.158,660000,1,0,TSLA,0.056068453168804516
2010-12-09,2.13666666666667,406000,1,0,TSLA,0.0568255044259327
2010-12-10,2.10133333333333,429400,1,1,TSLA,0.05669208504953413
2010-12-13,2.03666666666667,410400,1,1,TSLA,0.054232428954980226
2010-12-14,1.902,1765700,0,1,TSLA,0.05296405109783439
2010-12-15,1.97333333333333,742900,0,1,TSLA,0.05135577412561597
2010-12-16,2.054,790100,0,1,TSLA,0.05251721882934393
2010-12-17,2.09066666666667,813000,0,1,TSLA,0.0525758100410137
2010-12-20,2.11333333333333,523400,0,1,TSLA,0.0522708554598366
2010-12-21,2.15066666666667,777700,0,0,TSLA,0.053187015991128385
2010-12-22,2.17533333333333,833300,1,1,TSLA,0.04983390314199999
2010-12-23,2.006,1552600,1,1,TSLA,0.028875146163667105
2010-12-27,1.70326666666667,9301900,0,1,TSLA,0.02783057863017604
2010-12-28,1.76066666666667,4056300,0,1,TSLA,0.023523989992903477
2010-12-29,1.84866666666667,3319200,1,1,TSLA,0.026212051235779178
2010-12-30,1.76666666666667,2041100,0,1,TSLA,0.02926131383530625
2010-12-31,1.77533333333333,1417900,1,1,TSLA,0.03026044208733284
2011-01-03,1.77466666666667,1283000,0,1,TSLA,0.03601980449802872
2011-01-04,1.778,1187400,0,1,TSLA,0.03606746526063891
2011-01-05,1.78866666666667,1446700,0,1,TSLA,0.03381957302538827
2011-01-06,1.85866666666667,2061200,0,1,TSLA,0.03356201401741342
2011-01-07,1.88266666666667,2247900,0,1,TSLA,0.033946966838189804
2011-01-10,1.89666666666667,1342700,1,1,TSLA,0.03210613872619916
2011-01-11,1.79733333333333,1710200,0,1,TSLA,0.03202231557331046
2011-01-12,1.79733333333333,964400,1,1,TSLA,0.031639177833033785
2011-01-13,1.748,723600,1,0,TSLA,0.03152816855080071
2011-01-14,1.71666666666667,1192000,1,1,TSLA,0.03152484778013284
2011-01-18,1.70933333333333,1621700,1,1,TSLA,0.0272761616169082
