Date,adjusted_close,volume,direction,direction2,Symbol,volatility
2012-06-29,31.095,667910500,1,0,META,0.1838428954983531
2012-07-31,21.71,520189700,1,0,META,0.11243040405252108
2012-08-31,18.058,1151944900,0,1,META,0.17588901384079264
2012-09-28,21.66,1058643700,1,1,META,0.18784101390674696
2012-10-31,21.11,1100938300,0,0,META,0.10656686851547642
2012-11-30,28.0,1527490200,1,0,META,0.1421329791385773
2012-12-31,26.6197,1191832200,0,0,META,0.029572123073952683
2013-01-31,30.981,1675851700,1,1,META,0.07342953568943633
2013-02-28,27.25,957639800,1,1,META,0.10438479865345035
2013-03-28,25.58,727180500,0,1,META,0.07252238676371953
2013-04-30,27.769,738509200,1,1,META,0.2286249172634527
2013-05-31,24.348,982094800,0,1,META,0.17849005661960016
2013-06-28,24.88,788331500,0,0,META,0.04713995585209774
2013-07-31,36.8,1438017100,0,0,META,0.10844859372657073
2013-08-30,41.294,1344994100,0,0,META,0.03157068462068813
2013-09-30,50.23,1583083800,1,0,META,0.11306821038210474
2013-10-31,50.205,2032635000,1,0,META,0.008777079066701776
2013-11-29,47.01,1357311900,0,0,META,0.025404306787735642
2013-12-31,54.649,1517533200,0,0,META,0.10710234160877408
2014-01-31,62.57,1294714800,0,0,META,0.056216995878594855
2014-02-28,68.46,1110774100,1,0,META,0.033259345799582896
2014-03-31,60.24,1255440000,1,1,META,0.0020753029671196632
2014-04-30,59.78,1884621400,0,1,META,0.008311024151669955
2014-05-30,63.3,1120155500,0,0,META,0.024892993797736573
2014-06-30,67.29,862067700,0,0,META,0.01326639773952576
2014-07-31,72.65,1025679500,0,0,META,0.05382095504243939
2014-08-29,74.82,589592700,0,0,META,0.043689015148038746
2014-09-30,79.04,719738102,1,0,META,0.016009873817581566
2014-10-31,74.99,1083643275,0,0,META,0.015581375860791391
2014-11-28,77.7,491018048,0,1,META,0.033677621041742156
2014-12-31,78.02,534690249,1,0,META,0.00039032963714236146
2015-01-30,75.91,546057661,0,0,META,0.04149694150662081
2015-02-27,78.97,475148609,0,0,META,0.023617154219271075
2015-03-31,82.215,575349997,1,0,META,0.038848090470668284
2015-04-30,78.77,542124478,0,0,META,0.006553313398256488
2015-05-29,79.19,421870709,0,0,META,0.07242650419177099
2015-06-30,85.765,537956820,0,0,META,0.026036400233068524
2015-07-31,94.01,790781334,1,0,META,0.06652732434135677
2015-08-31,89.43,709770559,0,0,META,0.05707388911856681
2015-09-30,89.73,634104916,0,0,META,0.009116142988498832
2015-10-30,101.97,571991600,0,0,META,0.03405459464620231
2015-11-30,104.24,547199822,0,0,META,0.05964105054517416
2015-12-31,104.66,440479804,0,0,META,0.0571483799632409
2016-01-29,112.21,792709100,1,0,META,0.01832672490477527
2016-02-29,106.92,874152635,0,0,META,0.010019299519569258
2016-03-31,114.1,521143963,0,0,META,0.02429453322187103
2016-04-29,117.58,741613866,0,0,META,0.06132866507814916
2016-05-31,118.81,460559986,1,0,META,0.03347003520903813
2016-06-30,114.28,451155442,0,0,META,0.00027094973110641796
2016-07-29,123.94,470108473,0,0,META,0.0020790067761392583
2016-08-31,126.12,365670913,0,0,META,0.05858339695687692
2016-09-30,128.27,376582063,0,0,META,0.033751746521195114
2016-10-31,130.99,313284563,1,1,META,0.08059146647723936
2016-11-30,118.42,654602125,1,1,META,0.046334826798821505
2016-12-30,115.05,408728358,0,1,META,0.003987426598088928
2017-01-31,130.32,379004804,0,0,META,0.00484802547407448
2017-02-28,135.54,384700625,0,0,META,0.024836454085382598
2017-03-31,142.05,342098632,0,0,META,0.005611199082123264
2017-04-28,150.25,273330661,0,0,META,0.0620892793955673
2017-05-31,151.46,390036541,1,0,META,0.052469252092630425
2017-06-30,150.98,405705533,0,0,META,0.011233682766797704
2017-07-31,169.25,402911091,0,0,META,0.03009002132922811
2017-08-31,171.97,297781301,1,0,META,0.03488912330134314
2017-09-29,170.87,300559928,0,0,META,0.005965502186707605
2017-10-31,180.06,309836859,1,0,META,0.031585271908277424
2017-11-30,177.18,335716436,1,0,META,0.05248136539074322
2017-12-29,176.46,308647940,0,0,META,0.02902923015750647
2018-01-31,186.89,464919779,1,0,META,0.09016355156980238
2018-02-28,178.32,497869797,1,1,META,0.019293604105388273
2018-03-29,159.79,983045332,0,1,META,0.05087782876212332
2018-04-30,172.0,751130388,0,0,META,0.06256082912177946
2018-05-31,191.78,401144183,0,0,META,0.06506486022484609
2018-06-29,194.32,387265765,1,0,META,0.04119244031966063
2018-07-31,172.58,652763259,0,1,META,0.00645376688568744
2018-08-31,175.73,549016789,1,1,META,0.0016928093969827418
2018-09-28,164.46,500468912,1,1,META,0.002974695645218739
2018-10-31,151.79,622446235,1,1,META,0.16963707530469618
2018-11-30,140.61,518150415,1,1,META,0.1515023749905618
2018-12-31,131.09,558786249,0,0,META,0.03194573385306737
2019-01-31,166.69,527561443,1,0,META,0.06389084902532971
2019-02-28,161.45,302243555,0,0,META,0.12130285782741196
2019-03-29,166.69,388172717,0,0,META,0.08493794835126306
2019-04-30,193.4,382184268,1,0,META,0.04056734539676998
2019-05-31,177.47,286821828,0,0,META,0.02522225933198685
2019-06-28,193.0,426428460,0,0,META,0.0015962414178705697
2019-07-31,194.23,351062381,1,0,META,0.05854034296567373
2019-08-30,185.67,295147285,1,1,META,0.012037717624103772
2019-09-30,178.08,267509200,0,1,META,0.017111539019487032
2019-10-31,191.65,329115789,0,0,META,0.01708801590659398
2019-11-29,201.64,258577372,0,0,META,
2019-12-31,205.25,278225688,1,0,META,
2020-01-31,201.91,347787838,0,0,META,
