Date,adjusted_close,volume,direction,Symbol
2020-01-31,58.8944,152923749,1,NVDA
2019-12-31,58.6129,164328924,1,NVDA
2019-11-29,53.9896,183460462,1,NVDA
2019-10-31,50.0371,194847227,1,NVDA
2019-09-30,43.3288,160186748,1,NVDA
2019-08-30,41.6959,238715294,0,NVDA
2019-07-31,41.9555,210468645,1,NVDA
2019-06-28,40.839,205833345,1,NVDA
2019-05-31,33.6847,279518852,0,NVDA
2019-04-30,44.9574,236076606,1,NVDA
2019-03-29,44.5998,301712810,1,NVDA
2019-02-28,38.3156,286143490,1,NVDA
2019-01-31,35.6681,421791107,1,NVDA
2018-12-31,33.1248,311279473,0,NVDA
2018-11-30,40.5513,404058585,0,NVDA
2018-10-31,52.2593,324449489,0,NVDA
2018-09-28,69.6576,158504898,1,NVDA
2018-08-31,69.5733,272951421,1,NVDA
2018-07-31,60.6618,158081687,1,NVDA
2018-06-29,58.6898,219638498,0,NVDA
2018-05-31,62.4777,299456113,1,NVDA
2018-04-30,55.6832,278676971,0,NVDA
2018-03-29,57.3395,350302126,0,NVDA
2018-02-28,59.917,358836498,0,NVDA
2018-01-31,60.8201,275174934,1,NVDA
2017-12-29,47.8791,249998757,0,NVDA
2017-11-30,49.6632,288285133,0,NVDA
2017-10-31,51.1368,282241671,1,NVDA
2017-09-29,44.2035,354779197,1,NVDA
2017-08-31,41.8966,356899929,1,NVDA
2017-07-31,40.1484,382121590,1,NVDA
2017-06-30,35.7138,578458277,1,NVDA
2017-05-31,35.662,469403432,1,NVDA
2017-04-28,25.741,238801668,0,NVDA
2017-03-31,26.8837,357243119,1,NVDA
2017-02-28,25.0451,355169590,0,NVDA
2017-01-31,26.9114,334936385,1,NVDA
2016-12-30,26.31,452055630,1,NVDA
2016-11-30,22.7261,319186695,1,NVDA
2016-10-31,17.5139,163789051,1,NVDA
2016-09-30,16.8641,216644185,1,NVDA
2016-08-31,15.097,232628024,1,NVDA
2016-07-29,14.0278,180251256,1,NVDA
2016-06-30,11.549,204978756,1,NVDA
2016-05-31,11.4777,259213398,1,NVDA
2016-04-29,8.7066,168356804,0,NVDA
2016-03-31,8.7311,164224972,1,NVDA
2016-02-29,7.6848,225001134,1,NVDA
2016-01-29,7.1513,203476313,0,NVDA
2015-12-31,8.0473,140690850,1,NVDA
2015-11-30,7.7446,183626266,1,NVDA
2015-10-30,6.9011,201349013,1,NVDA
2015-09-30,5.9937,161618932,1,NVDA
2015-08-31,5.4683,236729390,1,NVDA
2015-07-31,4.8325,137012807,0,NVDA
2015-06-30,4.8712,183345778,0,NVDA
2015-05-29,5.3605,177033827,1,NVDA
2015-04-30,5.3515,123367642,1,NVDA
2015-03-31,5.0453,182761992,0,NVDA
2015-02-27,5.3189,104839455,1,NVDA
2015-01-30,4.613,103475561,0,NVDA
2014-12-31,4.8159,106485166,0,NVDA
2014-11-28,5.0369,116079517,1,NVDA
2014-10-31,4.6736,165190718,1,NVDA
2014-09-30,4.4129,137771496,0,NVDA
2014-08-29,4.6521,151996300,1,NVDA
2014-07-31,4.1674,156725900,0,NVDA
2014-06-30,4.415,131928300,0,NVDA
2014-05-30,4.5246,140315000,1,NVDA
2014-04-30,4.378,173425200,1,NVDA
2014-03-31,4.2452,180449700,0,NVDA
2014-02-28,4.3566,193064200,1,NVDA
2014-01-31,3.7046,135526300,0,NVDA
2013-12-31,3.7801,154199400,1,NVDA
2013-11-29,3.681,165736900,1,NVDA
2013-10-31,3.5644,144315300,0,NVDA
2013-09-30,3.6515,120498300,1,NVDA
2013-08-30,3.4614,191658384,1,NVDA
2013-07-31,3.3705,130749800,1,NVDA
2013-06-28,3.2783,232392700,0,NVDA
2013-05-31,3.3787,207288500,1,NVDA
2013-04-30,3.1992,234651900,1,NVDA
2013-03-28,2.9808,165342700,1,NVDA
2013-02-28,2.9413,247542000,1,NVDA
2013-01-31,2.8312,229540300,0,NVDA
2012-12-31,2.8312,200933500,1,NVDA
2012-11-30,2.7642,249640300,1,NVDA
2012-10-31,2.7474,203394300,0,NVDA
2012-09-28,3.0606,218736200,0,NVDA
2012-08-31,3.2189,247928100,1,NVDA
2012-07-31,3.1065,212496800,0,NVDA
2012-06-29,3.1708,288234200,1,NVDA
2012-05-31,2.8518,284250300,0,NVDA
2012-04-30,2.9826,238773100,0,NVDA
2012-03-30,3.5321,258131100,1,NVDA
2012-02-29,3.4759,326957400,1,NVDA
2012-01-31,3.3887,289916700,1,NVDA
2011-12-30,3.1799,243558500,0,NVDA
2011-11-30,3.586,404150800,1,NVDA
2011-10-31,3.3956,371284100,1,NVDA
2011-09-30,2.8702,502118500,0,NVDA
2011-08-31,3.0537,564297600,0,NVDA
2011-07-29,3.173,363791400,0,NVDA
2011-06-30,3.656,398844600,0,NVDA
2011-05-31,4.5978,429062900,1,NVDA
2011-04-29,4.5886,383051800,1,NVDA
2011-03-31,4.2353,689939500,0,NVDA
2011-02-28,5.1989,600644100,0,NVDA
2011-01-31,5.488,818422100,1,NVDA
2010-12-31,3.5333,280103400,1,NVDA
2010-11-30,3.1223,363482500,1,NVDA
2010-10-29,2.7579,395079600,1,NVDA
2010-09-30,2.6802,438329100,1,NVDA
2010-08-31,2.1395,485321400,1,NVDA
2010-07-30,2.1085,480914200,0,NVDA
2010-06-30,2.3425,342314800,0,NVDA
2010-05-28,3.0147,519318000,0,NVDA
2010-04-30,3.6044,427749500,0,NVDA
2010-03-31,3.9921,293695400,1,NVDA
2010-02-26,3.7168,321533100,1,NVDA
2010-01-29,3.531,322462300,0,NVDA
