Date,adjusted_close,volume,direction,Symbol
2020-01-31,43.3713,407621638,1,TSLA
2019-12-31,27.8887,207390450,1,TSLA
2019-11-29,21.996,157892383,1,TSLA
2019-10-31,20.9947,234866048,1,TSLA
2019-09-30,16.058,136563111,1,TSLA
2019-08-30,15.0407,134088212,0,TSLA
2019-07-31,16.1073,199371373,1,TSLA
2019-06-28,14.8973,214970558,1,TSLA
2019-05-31,12.344,282598837,0,TSLA
2019-04-30,15.9127,230757873,0,TSLA
2019-03-29,18.6573,213793753,0,TSLA
2019-02-28,21.3253,128550254,1,TSLA
2019-01-31,20.468,175660650,0,TSLA
2018-12-31,22.1867,146451183,0,TSLA
2018-11-30,23.3653,133019067,1,TSLA
2018-10-31,22.488,286360727,1,TSLA
2018-09-28,17.6513,196075479,0,TSLA
2018-08-31,20.1107,277360157,1,TSLA
2018-07-31,19.876,172357228,0,TSLA
2018-06-29,22.8633,213424960,1,TSLA
2018-05-31,18.982,155577968,0,TSLA
2018-04-30,19.5933,190345295,1,TSLA
2018-03-29,17.742,156356878,0,TSLA
2018-02-28,22.8707,106577192,0,TSLA
2018-01-31,23.6207,122930471,1,TSLA
2017-12-29,20.7567,109078772,1,TSLA
2017-11-30,20.59,146728325,0,TSLA
2017-10-31,22.102,121524280,0,TSLA
2017-09-29,22.74,110620352,0,TSLA
2017-08-31,23.7267,132609393,1,TSLA
2017-07-31,21.5647,180152458,0,TSLA
2017-06-30,24.1073,183792656,1,TSLA
2017-05-31,22.734,145440756,1,TSLA
2017-04-28,20.938,116249563,1,TSLA
2017-03-31,18.5533,107048530,1,TSLA
2017-02-28,16.666,119540302,0,TSLA
2017-01-31,16.7953,100683220,1,TSLA
2016-12-30,14.246,87993345,1,TSLA
2016-11-30,12.6267,98886097,0,TSLA
2016-10-31,13.182,92133590,0,TSLA
2016-09-30,13.602,70644512,0,TSLA
2016-08-31,14.134,62291339,0,TSLA
2016-07-29,15.6527,74068654,1,TSLA
2016-06-30,14.152,121687759,0,TSLA
2016-05-31,14.882,103313344,0,TSLA
2016-04-29,16.0507,135507264,1,TSLA
2016-03-31,15.318,102729544,1,TSLA
2016-02-29,12.7953,133705697,1,TSLA
2016-01-29,12.7467,79247152,0,TSLA
2015-12-31,16.0007,59852189,1,TSLA
2015-11-30,15.3507,78487987,1,TSLA
2015-10-30,13.7953,100854710,0,TSLA
2015-09-30,16.56,80218666,0,TSLA
2015-08-31,16.604,113858937,0,TSLA
2015-07-31,17.7433,80060910,0,TSLA
2015-06-30,17.884,65473162,1,TSLA
2015-05-29,16.72,89127783,1,TSLA
2015-04-30,15.07,98945034,1,TSLA
2015-03-31,12.5847,122990032,0,TSLA
2015-02-27,13.556,106717638,0,TSLA
2015-01-30,13.5733,90121332,0,TSLA
2014-12-31,14.8273,127100337,0,TSLA
2014-11-28,16.3013,107731050,1,TSLA
2014-10-31,16.1133,152148180,0,TSLA
2014-09-30,16.1787,132773043,0,TSLA
2014-08-29,17.98,114710400,1,TSLA
2014-07-31,14.8867,107871700,0,TSLA
2014-06-30,16.004,123238200,1,TSLA
2014-05-30,13.8513,134810100,0,TSLA
2014-04-30,13.8593,165207800,0,TSLA
2014-03-31,13.8967,166685600,0,TSLA
2014-02-28,16.3207,225954100,1,TSLA
2014-01-31,12.094,183932300,1,TSLA
2013-12-31,10.0286,197637900,1,TSLA
2013-11-29,8.4853,308388500,0,TSLA
2013-10-31,10.6627,258454800,0,TSLA
2013-09-30,12.8913,171210600,1,TSLA
2013-08-30,11.2667,259266600,1,TSLA
2013-07-31,8.952,229528200,1,TSLA
2013-06-28,7.1573,179114700,1,TSLA
2013-05-31,6.5173,331220900,1,TSLA
2013-04-30,3.5993,81548100,1,TSLA
2013-03-28,2.526,29655000,1,TSLA
2013-02-28,2.322,44256000,0,TSLA
2013-01-31,2.5007,28464600,1,TSLA
2012-12-31,2.258,21714300,1,TSLA
2012-11-30,2.2547,23760900,1,TSLA
2012-10-31,1.8754,17620900,0,TSLA
2012-09-28,1.952,33295100,1,TSLA
2012-08-31,1.9013,24482100,1,TSLA
2012-07-31,1.828,32543400,0,TSLA
2012-06-29,2.086,26127100,1,TSLA
2012-05-31,1.9667,34185300,0,TSLA
2012-04-30,2.2087,22752900,0,TSLA
2012-03-30,2.4827,22163500,1,TSLA
2012-02-29,2.2273,23193600,1,TSLA
2012-01-31,1.938,25609900,1,TSLA
2011-12-30,1.904,21128500,0,TSLA
2011-11-30,2.1827,25846800,1,TSLA
2011-10-31,1.958,21662600,1,TSLA
2011-09-30,1.626,18021500,0,TSLA
2011-08-31,1.6493,27215700,0,TSLA
2011-07-29,1.878,21102100,0,TSLA
2011-06-30,1.942,39727300,0,TSLA
2011-05-31,2.0093,30348800,1,TSLA
2011-04-29,1.84,29894900,0,TSLA
2011-03-31,1.85,32563300,1,TSLA
2011-02-28,1.5927,29303500,0,TSLA
2011-01-31,1.6067,28420100,0,TSLA
2010-12-31,1.7753,36892900,0,TSLA
2010-11-30,2.3553,28315100,1,TSLA
2010-10-29,1.456,6547800,1,TSLA
2010-09-30,1.3603,18045900,1,TSLA
2010-08-31,1.2987,15038200,0,TSLA
2010-07-30,1.3293,64575800,0,TSLA
