Date,adjusted_close,volume,direction,Symbol,volatility
2008-04-30,18.7654,346330900,0,V,
2008-05-30,19.4197,388428400,1,V,
2008-06-30,18.2841,255456900,1,V,
2008-07-31,16.429,333151100,0,V,
2008-08-29,17.0918,158540800,1,V,
2008-09-30,13.8243,254818400,1,V,
2008-10-31,12.4642,302537300,1,V,1.5094408307714484
2008-11-28,11.8599,191852000,1,V,1.2665638096835077
2008-12-31,11.8351,141021400,1,V,1.3052384818108913
2009-01-30,11.1356,160611600,0,V,1.3498697854237647
2009-02-27,12.8208,186385800,1,V,1.1212723444373363
2009-03-31,12.5699,231948800,0,V,1.0337758345018517
2009-04-30,14.686,222924500,0,V,0.8666843868444846
2009-05-29,15.3326,198672200,1,V,1.1201139324193765
2009-06-30,14.0985,193053500,0,V,1.080890338563538
2009-07-31,14.8231,153747700,0,V,1.2301274851006294
2009-08-31,16.1249,93978700,1,V,1.1140133295432328
2009-09-30,15.6736,99051700,0,V,1.1055403185773007
2009-10-30,17.1818,159370800,0,V,0.9131728979771574
2009-11-30,18.3989,90154700,0,V,1.0523461419133913
2009-12-31,19.8663,204952500,1,V,0.7043737229624625
2010-01-29,18.6329,87018500,0,V,0.737677990996071
2010-02-26,19.4001,99527800,0,V,1.1292649697922976
2010-03-31,20.7081,117882000,1,V,1.0238919239841668
2010-04-30,20.5261,82607100,1,V,0.9968322057397626
2010-05-28,16.5077,329707000,1,V,1.0101609962773261
2010-06-30,16.1182,197268700,0,V,1.8838980422517566
2010-07-30,16.7105,117947400,1,V,1.8637107840005651
2010-08-31,15.7416,125363400,0,V,1.841046792887134
2010-09-30,16.9466,158973300,0,V,1.5930307504878862
2010-10-29,17.8366,102407400,1,V,1.8153950677469626
2010-11-30,16.8864,79270200,1,V,0.8163610363068532
2010-12-31,16.0929,220235300,1,V,0.9293616402671249
2011-01-31,15.9718,139509300,0,V,0.9632370993685825
2011-02-28,16.7376,114333300,0,V,0.8695647292755154
2011-03-31,16.8683,132083000,0,V,0.7638063812249808
2011-04-29,17.8993,80182500,0,V,0.6266097113834102
2011-05-31,18.6078,99881900,0,V,0.648938719448916
2011-06-30,19.3423,196557500,0,V,0.4285291560675887
