Date,adjusted_close,volume,direction,direction2,Symbol,volatility
2007-01-05,2.585,104297200,0,0,AAPL,0.023386971995965202
2007-01-12,2.8758,351865300,1,0,AAPL,0.011514801070151567
2007-01-19,2.6898,236407700,1,0,AAPL,0.015241893131311985
2007-01-26,2.595,195789700,1,1,AAPL,0.02753513733266425
2007-02-02,2.5758,129342000,1,1,AAPL,0.03776942565077305
2007-02-09,2.5309,144630100,0,1,AAPL,0.03906416143866503
2007-02-16,2.5783,92020300,0,0,AAPL,0.031132122086991832
2007-02-23,2.7071,111754800,1,0,AAPL,0.010388257482110027
2007-03-02,2.5959,177023800,0,0,AAPL,0.020558562580138818
2007-03-09,2.6737,112543500,0,0,AAPL,0.02055906076159965
2007-03-16,2.723,125896000,0,0,AAPL,0.027156064465595493
2007-03-23,2.8424,103612500,1,0,AAPL,0.02886186838502318
2007-03-30,2.8239,145202100,0,0,AAPL,0.05989370890382542
2007-04-05,2.8777,68508100,1,0,AAPL,0.04236514695370266
2007-04-13,2.7427,96123000,0,1,AAPL,0.03837414810881235
2007-04-20,2.7649,99060400,0,0,AAPL,0.03222191753109195
2007-04-27,3.0369,194995300,0,0,AAPL,0.02793402338451062
2007-05-04,3.064,93294400,0,0,AAPL,0.012670070005927582
2007-05-11,3.305,150509500,0,0,AAPL,0.007642563325834119
2007-05-18,3.3439,146066600,0,0,AAPL,0.037349656131718055
2007-05-25,3.4533,130142800,0,0,AAPL,0.0344833838405733
2007-06-01,3.5986,153802400,0,0,AAPL,0.021583557426016003
2007-06-08,3.7837,217016500,1,0,AAPL,0.038402524763748766
2007-06-15,3.6624,243095100,0,0,AAPL,0.03754243680677357
2007-06-22,3.7384,151788000,1,0,AAPL,0.01969435106632938
2007-06-29,3.7092,187896100,0,0,AAPL,0.019682491356369007
2007-07-06,4.0211,160181800,0,0,AAPL,0.05279632055098935
2007-07-13,4.1861,167314800,0,0,AAPL,0.03469546904983442
2007-07-20,4.3691,153699800,0,0,AAPL,0.02445803977284351
2007-07-27,4.3721,274131900,1,1,AAPL,0.06989491081640302
2007-08-03,4.0074,219691800,1,1,AAPL,0.05462475455691946
2007-08-10,3.7992,186405300,1,1,AAPL,0.06414263488062101
2007-08-17,3.7098,198090100,0,1,AAPL,0.04276699580232018
2007-08-24,4.1122,176671500,0,0,AAPL,0.04492774070206055
2007-08-31,4.2089,191647700,1,0,AAPL,0.010729419259578423
2007-09-07,4.0049,249175100,0,0,AAPL,0.010695061446418415
2007-09-14,4.2189,169499200,0,0,AAPL,0.01174925326291866
2007-09-21,4.3812,168395100,0,0,AAPL,0.013492240378574102
2007-09-28,4.6645,160474300,0,0,AAPL,0.027452276460888145
2007-10-05,4.907,140074500,0,0,AAPL,0.030998460267692943
2007-10-12,5.0834,187141900,0,0,AAPL,0.08473107826292581
2007-10-19,5.1797,192458200,0,0,AAPL,0.06211220579082779
2007-10-26,5.6137,229058000,0,0,AAPL,0.06598077893681059
2007-11-02,5.71,147158200,1,1,AAPL,0.02295094720538679
2007-11-09,5.0262,220356800,0,1,AAPL,0.015800481367498266
2007-11-16,5.0572,279592300,0,1,AAPL,0.039827480093450184
2007-11-23,5.2137,156487100,0,1,AAPL,0.035353594988599815
2007-11-30,5.5383,214729500,0,0,AAPL,0.02161006945638993
2007-12-07,5.9055,164055300,1,0,AAPL,0.05842312323426883
2007-12-14,5.7866,164210500,0,0,AAPL,0.05296533369068878
2007-12-21,5.8936,172956900,0,0,AAPL,0.023817000998251642
2007-12-28,6.0735,95682500,1,1,AAPL,0.06725074057063468
2008-01-04,5.4723,139871800,1,1,AAPL,0.09140858531900045
