Date,adjusted_close,volume,direction,Symbol,volatility
2007-01-05,1.9185,25343200,1,AMZN,
2007-01-12,1.91,29945500,1,AMZN,
2007-01-19,1.851,25871400,1,AMZN,
2007-01-26,1.8425,29789200,0,AMZN,0.025249999999999884
2007-02-02,1.8695,71459800,0,AMZN,0.025249999999999995
2007-02-09,1.936,36670500,0,AMZN,0.017749999999999932
2007-02-16,2.0165,24922500,0,AMZN,0.019750000000000045
2007-02-23,2.039,23835300,1,AMZN,0.007000000000000117
2007-03-02,1.8845,37616900,0,AMZN,0.029000000000000137
2007-03-09,1.942,44887800,1,AMZN,0.08850000000000002
2007-03-16,1.8925,32805400,0,AMZN,0.10599999999999998
2007-03-23,1.949,21297300,0,AMZN,0.05349999999999988
2007-03-30,1.9895,26119000,0,AMZN,0.052999999999999936
2007-04-05,2.084,20412600,0,AMZN,0.008000000000000007
2007-04-13,2.1205,21047400,0,AMZN,0.027000000000000024
2007-04-20,2.2475,36629500,0,AMZN,0.029000000000000137
2007-04-27,3.1301,213554053,0,AMZN,0.045250000000000234
2007-05-04,3.1615,84706700,1,AMZN,0.3777999999999999
2007-05-11,3.078,55205400,0,AMZN,0.4256
2007-05-18,3.165,52618000,0,AMZN,0.05745000000000022
2007-05-25,3.4275,130074400,0,AMZN,0.08525000000000027
2007-06-01,3.429,38631600,0,AMZN,0.08775
2007-06-08,3.662,91756700,1,AMZN,0.13050000000000028
2007-06-15,3.62,52985000,1,AMZN,0.11575000000000024
2007-06-22,3.443,44849500,1,AMZN,0.13749999999999996
2007-06-29,3.4205,42183000,0,AMZN,0.06750000000000012
2007-07-06,3.4485,16232800,0,AMZN,0.07725000000000004
2007-07-13,3.755,54249500,1,AMZN,0.025249999999999995
2007-07-20,3.5815,35113200,0,AMZN,0.13924999999999987
2007-07-27,4.202,132272200,1,AMZN,0.23999999999999977
2007-08-03,3.84,62227200,1,AMZN,0.3969999999999998
2007-08-10,3.739,42723000,0,AMZN,0.49124999999999996
2007-08-17,3.751,36418600,0,AMZN,0.13050000000000006
2007-08-24,3.9625,32524000,0,AMZN,0.056499999999999995
2007-08-31,3.9955,28581300,0,AMZN,0.09975
2007-09-07,4.226,34386300,0,AMZN,0.08925000000000005
2007-09-14,4.3885,31195200,0,AMZN,0.09875000000000012
2007-09-21,4.565,32172900,0,AMZN,0.03400000000000025
2007-09-28,4.6575,24518800,0,AMZN,0.007000000000000561
2007-10-05,4.6715,24158600,1,AMZN,0.0420000000000007
2007-10-12,4.6185,38323100,1,AMZN,0.03924999999999956
2007-10-19,4.488,36254700,0,AMZN,0.033500000000000085
2007-10-26,4.5,113704700,1,AMZN,0.03874999999999984
2007-11-02,4.299,38043600,1,AMZN,0.07124999999999959
2007-11-09,3.9445,47208300,1,AMZN,0.1064999999999996
2007-11-16,3.93,42266200,0,AMZN,0.07675000000000032
2007-11-23,4.0715,29719000,0,AMZN,0.17000000000000015
2007-11-30,4.528,42506800,0,AMZN,0.07800000000000007
2007-12-07,4.7155,29354500,1,AMZN,0.15749999999999953
2007-12-14,4.454,34726900,0,AMZN,0.13449999999999962
2007-12-21,4.563,35064700,0,AMZN,0.22449999999999992
2007-12-28,4.7225,22160900,1,AMZN,0.18524999999999991
2008-01-04,4.4395,39006400,1,AMZN,0.025250000000000217
2008-01-11,4.054,60910000,1,AMZN,0.2212500000000004
2008-01-18,3.988,54384200,1,AMZN,0.051249999999999574
2008-01-25,3.88,53142100,1,AMZN,0.15974999999999961
2008-02-01,3.7315,103008900,1,AMZN,0.020999999999999908
2008-02-08,3.675,57390700,1,AMZN,0.02024999999999988
2008-02-15,3.648,46900300,1,AMZN,0.04599999999999982
2008-02-22,3.604,39053400,1,AMZN,0.014750000000000263
2008-02-29,3.2235,51512400,1,AMZN,0.008500000000000174
2008-03-07,3.2045,60332500,0,AMZN,0.16825
2008-03-14,3.411,49940900,0,AMZN,0.18074999999999997
2008-03-20,3.6595,41712400,1,AMZN,0.11275000000000013
2008-03-28,3.488,35229500,0,AMZN,0.020999999999999908
