Date,adjusted_close,volume,direction,direction2,Symbol,volatility
2012-05-25,31.91,430966300,1,0,META,0.05978680970050148
2012-06-01,27.72,288826000,1,0,META,0.07711528386148249
2012-06-08,27.1,203386400,0,0,META,0.06544505335867189
2012-06-15,30.014,121558000,0,0,META,0.03301316525925754
2012-06-22,33.05,186090800,1,0,META,0.03471476073334656
2012-06-29,31.095,115019800,0,0,META,0.06171150625910678
2012-07-06,31.73,43863300,1,0,META,0.04592609840829461
2012-07-13,30.72,64494000,1,1,META,0.08762909326785982
2012-07-20,28.76,97506700,1,1,META,0.07212752847484313
2012-07-27,23.705,228860400,1,1,META,0.07231848435904517
2012-08-03,21.09,267091200,0,1,META,0.05977402038488569
2012-08-10,21.807,135504600,1,1,META,0.05101345416059166
2012-08-17,19.05,399001700,0,1,META,0.09342253236250085
2012-08-24,19.409,284155300,1,1,META,0.05398075902764102
2012-08-31,18.058,151657400,0,1,META,0.08664840314285369
2012-09-07,18.98,189842400,0,0,META,0.03963882084324001
2012-09-14,22.0,334751400,0,0,META,0.013070168843013407
2012-09-21,22.86,274677900,1,0,META,0.017279461187849402
2012-09-28,21.66,259372000,1,0,META,0.09634758876772793
2012-10-05,20.91,200025600,1,1,META,0.08751705979703597
2012-10-12,19.5181,139347000,1,1,META,0.10582714195295581
2012-10-19,19.0,173091300,0,0,META,0.1389292570099806
2012-10-26,21.9425,489096200,1,0,META,0.13239476239282777
2012-11-02,21.18,175436500,1,1,META,0.08740789699179101
2012-11-09,19.21,170816300,0,0,META,0.08000889236303725
2012-11-16,23.5607,554915200,0,0,META,0.08875478451903404
2012-11-23,23.998,251059900,0,0,META,0.0025197399356787866
2012-11-30,28.0,474640500,1,0,META,0.0046437782908028144
2012-12-07,27.485,353125000,1,0,META,0.059886071396917526
2012-12-14,26.812,347095000,1,0,META,0.05650713363420713
2012-12-21,26.26,269775700,1,1,META,0.08083828828611234
2012-12-28,25.9112,161462000,0,0,META,0.07165467660127353
2013-01-04,28.76,266076900,0,0,META,0.05879458531240531
2013-01-11,31.72,419355200,1,0,META,0.053283852378496775
2013-01-18,29.66,437356300,0,0,META,0.02049528034305769
2013-01-25,31.54,202351800,1,0,META,0.015608154588287652
2013-02-01,29.73,496942700,1,1,META,0.026941044417101448
2013-02-08,28.545,250935200,1,1,META,0.027910298361491098
2013-02-15,28.32,249749600,1,1,META,0.03020035539760407
2013-02-22,27.13,177487100,0,1,META,0.022829679749268226
2013-03-01,27.78,247676000,0,1,META,0.017228850794786837
2013-03-08,27.96,225294600,1,1,META,0.044377626839035095
2013-03-15,26.645,162075000,1,1,META,0.03473605697336161
2013-03-22,25.73,138706800,1,1,META,0.05381185351476489
2013-03-28,25.58,147039300,0,1,META,0.042866911088852745
2013-04-05,27.39,252181200,0,0,META,0.05200700564198453
2013-04-12,27.4,156582400,1,0,META,0.05043902026678127
2013-04-19,25.73,143521800,0,0,META,0.046242697514467974
2013-04-26,26.85,120777000,0,0,META,0.024295720706407273
2013-05-03,28.311,292777800,1,1,META,0.03215053616251246
2013-05-10,26.68,184157700,1,0,META,0.030917541967617066
2013-05-17,26.25,149260700,1,1,META,0.024822020421397348
2013-05-24,24.3125,210369700,0,1,META,0.0342476338863164
2013-05-31,24.348,210975700,1,1,META,0.01116138303072782
2013-06-07,23.291,194274200,0,1,META,0.024056252422504372
2013-06-14,23.63,176591100,0,0,META,0.034329213299199454
2013-06-21,24.53,190763700,0,0,META,0.035770415650034706
2013-06-28,24.88,226702500,1,0,META,0.13599185412778522
2013-07-05,24.37,69610200,0,0,META,0.12990546046693838
2013-07-12,25.91,127489600,1,0,META,0.12514353007572146
2013-07-19,25.881,147916700,0,0,META,0.06501896433166032
2013-07-26,34.01,639870300,0,0,META,0.053828428082912654
2013-08-02,38.05,632255300,0,0,META,0.053470200307337595
2013-08-09,38.5,297633700,1,0,META,0.030965522241391583
2013-08-16,37.08,247326000,0,0,META,0.02441972955458269
2013-08-23,40.55,270095200,0,0,META,0.028377891691398302
2013-08-30,41.294,350814200,0,0,META,0.03180233702991281
2013-09-06,43.95,258927900,0,0,META,0.037482974978080286
2013-09-13,44.31,323500900,0,0,META,0.04905083154988518
2013-09-20,47.49,421156600,0,0,META,0.06048885164948167
2013-09-27,51.24,479403400,1,0,META,0.06785156553478065
2013-10-04,51.04,417535000,1,0,META,0.0689005624173321
2013-10-11,49.11,498784000,0,0,META,0.001202111103275102
2013-10-18,54.22,374408000,1,0,META,0.03519034250679689
2013-10-25,51.95,290506000,1,1,META,0.03888131151475519
2013-11-01,49.75,646530000,1,1,META,0.038498776148771716
2013-11-08,47.53,392954000,0,1,META,0.035399196521507775
2013-11-15,49.01,345921000,1,1,META,0.04427895764836762
2013-11-22,46.23,290876000,0,1,META,0.04068491111338008
2013-11-29,47.01,232527900,0,0,META,0.04504684091929724
2013-12-06,47.94,230543000,0,0,META,0.0203369653935356
2013-12-13,53.32,345675000,0,0,META,0.03283808191613822
2013-12-20,55.12,569450200,0,0,META,0.039977418014485275
2013-12-27,55.44,260481800,1,0,META,0.04368738055128197
2014-01-03,54.557,192824900,0,0,META,0.08473653360769283
2014-01-10,57.94,337445200,1,0,META,0.07564461379284462
2014-01-17,56.3,209568900,1,1,META,0.05390991454602427
2014-01-24,54.45,213174600,0,0,META,0.008744668608409981
2014-01-31,62.57,453084400,0,0,META,0.01837436265535149
2014-02-07,64.32,275328000,0,0,META,0.010836602849172206
2014-02-14,67.09,235230400,0,0,META,0.02021339375501317
2014-02-21,68.59,307758300,1,0,META,0.02017789346955374
2014-02-28,68.46,292457400,0,0,META,0.043004861417762
2014-03-07,69.8,258358800,1,0,META,0.041027171936599965
2014-03-14,67.72,270938400,1,1,META,0.05722571739183162
2014-03-21,67.24,241443900,1,1,META,0.036065344594071215
2014-03-28,60.01,431687900,1,1,META,0.02134788894019539
2014-04-04,56.749,387652400,0,1,META,0.028135025709973026
2014-04-11,58.53,493979000,0,1,META,0.04206752750672982
2014-04-17,58.94,347762000,1,1,META,0.04191809341414724
2014-04-25,57.71,448831000,0,0,META,0.04550817102022128
2014-05-02,60.46,396026000,1,1,META,0.017963606976570377
2014-05-09,57.24,294380000,0,1,META,0.02893818434816338
2014-05-16,58.0199,249276000,0,0,META,0.020988199970055302
2014-05-23,61.351,248451000,0,0,META,0.018786213944340487
2014-05-30,63.3,191430500,1,0,META,0.01997761435079425
2014-06-06,62.5,194416700,0,0,META,0.02835046765717529
2014-06-13,64.5,235965400,0,0,META,0.028267785984480008
2014-06-20,64.5,174528200,0,0,META,0.020857137890670792
2014-06-27,67.6,230054600,1,0,META,0.04102555705463824
2014-07-03,66.29,127278000,0,0,META,0.05576248444007704
2014-07-11,66.34,232496700,0,0,META,0.05663194370737998
2014-07-18,68.4199,192509200,0,0,META,0.021875122891016032
2014-07-25,75.19,336999300,1,0,META,0.002047159879466803
2014-08-01,72.36,206955500,0,0,META,0.0038451615758807334
2014-08-08,73.06,161666600,0,0,META,0.012195361019331774
2014-08-15,73.63,142146400,0,1,META,0.013913410470044575
2014-08-22,74.57,114360300,0,0,META,0.013439338936203957
2014-08-29,74.82,127963000,0,0,META,0.003522493638903858
2014-09-05,77.26,123148800,0,0,META,0.012273694987386055
2014-09-12,77.48,145678400,0,0,META,0.02865507431550076
2014-09-19,77.91,215518600,0,0,META,0.041109933558582286
2014-09-26,78.79,165462223,1,0,META,0.05271669594805577
2014-10-03,77.44,184848021,1,1,META,0.058268640964278154
2014-10-10,72.91,168655529,0,1,META,0.05442401190806419
2014-10-17,75.95,285636340,0,0,META,0.033645627471588946
2014-10-24,80.67,176119376,1,1,META,0.009900706013494251
2014-10-31,74.99,338314088,0,0,META,0.031132894182296252
2014-11-07,75.6,158123964,1,1,META,0.032881694830533416
2014-11-14,74.88,112772187,1,1,META,0.028910678561028347
2014-11-21,73.75,117054241,0,0,META,0.019096058942785956
2014-11-28,77.7,103067656,1,0,META,0.006183024763836349
2014-12-05,76.36,103950573,0,0,META,0.02325383614990394
2014-12-12,77.83,144887247,0,0,META,0.016325480738740218
2014-12-19,79.88,167712102,0,0,META,0.010418194349317707
2014-12-26,80.775,69594459,1,0,META,0.028247002755694063
2015-01-02,78.45,66723343,1,1,META,0.030380508711764374
2015-01-09,77.74,120861874,1,1,META,0.02700265141114402
2015-01-16,75.18,126213822,0,1,META,0.01847219018461117
2015-01-23,77.83,84184312,1,1,META,0.030143307211978547
2015-01-30,75.91,196620178,1,1,META,0.027208602599314746
2015-02-06,74.47,125463907,0,0,META,0.027419305989641506
2015-02-13,75.74,88739929,0,0,META,0.015577940483385525
2015-02-20,79.895,130463696,1,0,META,0.040417815436868225
2015-02-27,78.97,130481077,0,0,META,0.04256778050913014
2015-03-06,80.005,120738510,1,0,META,0.04152553445018134
2015-03-13,78.05,96858473,0,0,META,0.011003746171423565
2015-03-20,83.8,164953667,1,0,META,0.011597136571831713
2015-03-27,83.3,148537384,1,0,META,0.010961766982769449
2015-04-02,81.555,85984183,0,0,META,0.016670982886223224
2015-04-10,82.04,83953727,1,1,META,0.016690349298887793
2015-04-17,80.775,106892880,0,1,META,0.02268532755281693
2015-04-24,81.53,204905012,1,1,META,0.012923802598369765
2015-05-01,78.99,128786997,1,1,META,0.016809637686703054
2015-05-08,78.51,105359358,0,1,META,0.022433863064692718
2015-05-15,80.42,138179553,0,1,META,0.023572201887063684
2015-05-22,80.54,95596648,1,0,META,0.01829083650474704
2015-05-29,79.19,58598792,0,0,META,0.03136187452839083
2015-06-05,82.14,105824275,1,0,META,0.03163190282140636
2015-06-12,81.53,85018910,0,0,META,0.03222591389354669
2015-06-19,82.51,100984807,0,0,META,0.03832317772389223
2015-06-26,88.01,186937773,1,0,META,0.031385007530831587
2015-07-02,87.285,101359881,0,0,META,0.04500321463850345
2015-07-10,87.95,128648451,0,0,META,0.021214515452863975
2015-07-17,94.97,163296841,0,0,META,0.015340179478418004
2015-07-24,96.95,185477154,1,0,META,0.04277184953785838
2015-07-31,94.01,271190062,0,0,META,0.06015078574160029
2015-08-07,94.3,144578837,0,1,META,0.060029756926973855
2015-08-14,94.42,104616983,1,1,META,0.0383867406902049
2015-08-21,86.06,171220554,0,1,META,0.03120336576679225
2015-08-28,91.01,256503519,1,1,META,0.025297665405968145
2015-09-04,88.26,150515428,0,1,META,0.018318223945922578
2015-09-11,92.05,107186113,0,0,META,0.012486354439331293
2015-09-18,94.4,145450202,1,0,META,0.022126249307625516
2015-09-25,92.77,145447879,1,0,META,0.016128608505265974
2015-10-02,92.07,185521264,0,0,META,0.023130164709109436
2015-10-09,93.24,121213503,0,0,META,0.024120941675140565
2015-10-16,97.54,110153632,0,0,META,0.033045468703253394
2015-10-23,102.19,145817167,1,0,META,0.03411765498234564
2015-10-30,101.97,127641994,0,0,META,0.026759266235842415
2015-11-06,107.095,187032796,1,0,META,0.020350513945690072
2015-11-13,103.95,127675397,0,0,META,0.018455173579574165
2015-11-20,107.32,147570086,1,0,META,0.024571605848780133
2015-11-27,105.45,64538364,0,1,META,0.024972272958170397
2015-12-04,106.18,112055316,1,1,META,0.009111769742693423
2015-12-11,102.12,103275988,0,1,META,0.03482488042791261
2015-12-18,104.04,126928259,0,1,META,0.027822357482244778
2015-12-24,105.02,56847715,1,1,META,0.0414229210032382
2015-12-31,104.66,61755705,1,1,META,0.07075701390774512
2016-01-08,97.33,166842028,1,1,META,0.08913284965731263
2016-01-15,94.97,186529732,0,1,META,0.09297650983050951
2016-01-22,97.94,151064011,0,0,META,0.039903610904082426
2016-01-29,112.21,288273329,1,0,META,0.02297258987141298
2016-02-05,104.07,278615561,1,0,META,0.011759479804151774
2016-02-12,102.01,258965528,0,0,META,0.012035599851395316
2016-02-19,104.57,151758617,0,1,META,0.0059166170222773
2016-02-26,107.92,152033937,0,0,META,0.003773347026822534
2016-03-04,108.39,131558421,0,0,META,0.005083846664376419
2016-03-11,109.41,122783863,0,0,META,0.03210775898323804
2016-03-18,111.45,120110727,0,0,META,0.029974879749459008
2016-03-24,113.05,73850143,0,0,META,0.023038294331152752
2016-04-01,116.06,130380305,1,0,META,0.0308854339820644
2016-04-08,110.63,161477263,1,1,META,0.02433728577853742
2016-04-15,109.64,203633903,0,1,META,0.026066926917744836
2016-04-22,110.56,131738986,0,0,META,0.015185163916826188
2016-04-29,117.58,220003210,0,0,META,0.015576662439609189
2016-05-06,119.49,124113388,0,0,META,0.015701866856936895
2016-05-13,119.81,106556252,1,0,META,0.014017154853785203
2016-05-20,117.35,113707721,0,0,META,0.00964352048062774
2016-05-27,119.38,92635028,1,1,META,0.009395957883196075
2016-06-03,118.47,65940515,1,1,META,0.020316865772238058
2016-06-10,116.62,76723361,1,1,META,0.01500291508759597
2016-06-17,113.02,113036713,1,1,META,0.012676225440823318
2016-06-24,112.08,111618013,0,1,META,0.016560620146891313
2016-07-01,114.19,122364460,0,0,META,0.01625313212750961
2016-07-08,117.24,73317421,1,0,META,0.010508070955101798
2016-07-15,116.86,80362632,0,0,META,0.010817747828772617
2016-07-22,121.0,98680184,0,0,META,0.008341952649572224
2016-07-29,123.94,202768213,0,0,META,0.009020582575318972
2016-08-05,125.15,108750605,1,0,META,0.010586164331486594
2016-08-12,124.88,69413518,1,0,META,0.0034239630068152197
2016-08-19,123.56,71400800,0,0,META,0.004557204154917091
2016-08-26,124.96,68175168,0,0,META,0.0098552428834377
2016-09-02,126.51,73585720,0,0,META,0.00985052525993526
2016-09-09,127.1,97046477,0,0,META,0.006089070466904449
2016-09-16,129.07,94220304,1,0,META,0.006091526638499944
2016-09-23,127.96,83975511,0,0,META,0.01716230825791688
2016-09-30,128.27,75684873,0,0,META,0.018898111635229475
2016-10-07,128.99,64338393,1,1,META,0.0469115620041996
2016-10-14,127.88,74234237,0,0,META,0.033253703231947526
2016-10-21,132.07,73864266,1,0,META,0.030523594659877206
2016-10-28,131.29,85178685,1,1,META,0.020897585611974474
2016-11-04,120.75,182248711,1,1,META,0.029033941830371283
2016-11-11,119.02,175072509,1,1,META,0.03517764453187061
2016-11-18,117.02,159933425,0,1,META,0.03207826587646511
2016-11-25,120.38,85835270,1,1,META,0.02416857309327114
2016-12-02,115.4,135528550,0,0,META,0.01038409960400733
2016-12-09,119.68,101153880,0,0,META,0.04384306506692147
2016-12-16,119.87,118950517,1,1,META,0.03789846213865781
2016-12-23,117.27,67518766,1,1,META,0.03404708073264124
2016-12-30,115.05,52757837,0,0,META,0.023728246783365884
2017-01-06,123.41,88332257,0,0,META,0.02360412224650255
2017-01-13,128.34,102099712,1,0,META,0.020646581558473567
2017-01-20,127.04,59733000,0,0,META,0.01494887195108841
2017-01-27,132.18,90093256,1,0,META,0.012199719724124031
2017-02-03,130.98,168057691,0,0,META,0.008723098729651567
2017-02-10,134.19,85578047,1,0,META,0.0010268204696178198
2017-02-17,133.53,66225214,0,0,META,0.002262414742327215
2017-02-24,135.44,73167492,0,0,META,0.0033623176889314775
2017-03-03,137.17,70131137,0,0,META,0.003517812622519469
2017-03-10,138.79,68309197,0,0,META,0.00867335235211553
2017-03-17,139.84,77450054,0,0,META,0.01018556524107097
2017-03-24,140.34,88737188,0,0,META,0.018946746107150747
2017-03-31,142.05,67889816,1,0,META,0.023493111321624776
2017-04-07,140.78,70585483,1,1,META,0.01906663459833996
2017-04-13,139.39,48255523,0,0,META,0.021431947437022755
2017-04-21,143.68,70241246,0,0,META,0.007248864446493461
2017-04-28,150.25,84248409,1,0,META,0.017585808190058783
2017-05-05,150.24,120791432,0,0,META,0.01746651033974684
2017-05-12,150.33,65762771,1,0,META,0.02229046852169592
2017-05-19,148.06,95124319,0,0,META,0.016277174356048467
2017-05-26,152.13,77503263,0,0,META,0.02280038595538132
2017-06-02,153.61,62101184,1,1,META,0.02291702973555663
2017-06-09,149.6,90189623,0,0,META,0.02278475755705179
2017-06-16,150.64,115154831,0,0,META,0.034227664809294685
2017-06-23,155.07,76973151,1,1,META,0.0217677899810753
2017-06-30,150.98,92141500,0,0,META,0.012031231172120837
2017-07-07,151.44,55915968,0,0,META,0.0271770829830153
2017-07-14,159.97,79001017,0,0,META,0.029154560768742448
2017-07-21,164.43,94893412,0,0,META,0.005099590774500619
2017-07-28,172.45,147942798,1,0,META,0.002079201439256181
2017-08-04,169.62,76948140,1,0,META,0.01865833400081615
2017-08-11,168.08,70932441,1,0,META,0.019156771179292025
2017-08-18,167.41,68713474,1,1,META,0.017188214154319415
2017-08-25,166.32,58915675,0,0,META,0.0048799987570222955
2017-09-01,172.02,59107056,1,0,META,0.0045108847890137915
2017-09-08,170.95,55694035,0,0,META,0.0058911476769631516
2017-09-15,171.64,63133739,1,0,META,0.00304822298399736
2017-09-22,170.54,60486408,0,1,META,0.00066555284329765
2017-09-29,170.87,109568157,0,0,META,0.0041181608717298585
2017-10-06,172.23,59671804,0,0,META,0.004781553987409904
