Date,adjusted_close,volume,direction,Symbol
2020-01-31,165.0593,179845938,1,MSFT
2020-01-24,160.027,97961146,0,MSFT
2020-01-17,162.0244,121822087,1,MSFT
2020-01-10,156.4394,112604365,1,MSFT
2020-01-03,153.802,78506330,0,MSFT
2019-12-27,154.1316,59656712,1,MSFT
2019-12-20,152.6287,153142114,1,MSFT
2019-12-13,149.8362,100577839,1,MSFT
2019-12-06,147.1407,104537379,1,MSFT
2019-11-29,146.7819,74242278,1,MSFT
2019-11-22,145.0463,105652749,1,MSFT
2019-11-15,144.9207,93727027,1,MSFT
2019-11-08,141.0457,86277623,1,MSFT
2019-11-01,138.8812,131732463,1,MSFT
2019-10-25,135.9918,142631768,1,MSFT
2019-10-18,132.7836,107104735,0,MSFT
2019-10-11,134.9772,107510772,1,MSFT
2019-10-04,133.4697,123233428,1,MSFT
2019-09-27,133.0928,110281568,0,MSFT
2019-09-20,134.7453,135317290,1,MSFT
2019-09-13,132.6966,129776465,0,MSFT
2019-09-06,134.4167,83840107,1,MSFT
2019-08-30,133.2185,104909787,1,MSFT
2019-08-23,128.899,117766903,0,MSFT
2019-08-16,131.5467,131659759,0,MSFT
2019-08-09,132.6182,159823950,1,MSFT
2019-08-02,131.8381,143400310,0,MSFT
2019-07-26,136.114,101248083,1,MSFT
2019-07-19,131.5685,139389612,0,MSFT
2019-07-12,133.7642,102201981,1,MSFT
2019-07-05,131.9922,69662439,1,MSFT
2019-06-28,129.0068,124214457,0,MSFT
2019-06-21,131.9055,133967168,1,MSFT
2019-06-14,127.5527,102505844,1,MSFT
2019-06-07,126.5415,147636968,1,MSFT
2019-05-31,119.1069,89367881,0,MSFT
2019-05-24,121.5723,92123847,0,MSFT
2019-05-17,123.3346,139816701,1,MSFT
2019-05-10,121.9841,146827040,0,MSFT
2019-05-03,123.6825,119573665,0,MSFT
2019-04-26,124.6324,132620050,1,MSFT
2019-04-18,118.3763,77156295,1,MSFT
2019-04-12,116.0543,83159600,1,MSFT
2019-04-05,115.0372,99731237,1,MSFT
2019-03-29,113.1661,119632716,1,MSFT
2019-03-22,112.3121,160388610,1,MSFT
2019-03-15,111.2183,173532134,1,MSFT
2019-03-08,106.0368,111990712,0,MSFT
2019-03-01,107.9751,119359497,1,MSFT
2019-02-22,106.4782,96472580,1,MSFT
2019-02-15,103.3957,110757176,1,MSFT
2019-02-08,100.9593,130472196,1,MSFT
2019-02-01,98.1982,201611213,0,MSFT
2019-01-25,102.3925,112628578,0,MSFT
2019-01-18,102.9084,155699162,1,MSFT
2019-01-11,98.2173,157833149,1,MSFT
2019-01-04,97.3861,155142140,1,MSFT
2018-12-28,95.9147,183237806,1,MSFT
2018-12-21,93.851,356050950,0,MSFT
2018-12-14,101.3033,197742990,1,MSFT
2018-12-07,100.1472,174082124,0,MSFT
2018-11-30,105.9466,170037931,1,MSFT
2018-11-23,98.4752,150780076,0,MSFT
2018-11-16,103.4625,180498817,0,MSFT
2018-11-09,104.2287,147847424,1,MSFT
2018-11-02,100.985,242639657,0,MSFT
2018-10-26,101.746,251383718,0,MSFT
2018-10-19,103.3631,155518177,0,MSFT
2018-10-12,104.2287,228861873,0,MSFT
2018-10-05,106.6639,120208912,0,MSFT
2018-09-28,108.7947,110093609,1,MSFT
2018-09-21,108.6901,159580089,1,MSFT
2018-09-14,107.8435,109098713,1,MSFT
2018-09-07,102.935,101483263,0,MSFT
2018-08-31,106.8542,105653318,1,MSFT
2018-08-24,103.1158,94198444,1,MSFT
2018-08-17,102.3357,104691805,0,MSFT
2018-08-10,103.2836,83694598,1,MSFT
2018-08-03,102.3739,130716035,1,MSFT
2018-07-27,102.0328,155199034,1,MSFT
2018-07-20,100.6968,173393038,1,MSFT
2018-07-13,99.9008,106139197,1,MSFT
2018-07-06,95.8547,72446825,1,MSFT
2018-06-29,93.4385,148332848,0,MSFT
2018-06-22,95.1441,140541209,1,MSFT
2018-06-15,94.8788,162739393,0,MSFT
2018-06-08,96.3001,122316267,1,MSFT
2018-06-01,95.5042,113626024,1,MSFT
2018-05-25,93.2016,101128083,1,MSFT
2018-05-18,91.3065,96545432,0,MSFT
2018-05-11,92.1777,114220453,1,MSFT
2018-05-04,89.7813,154077356,0,MSFT
2018-04-27,90.404,181387708,1,MSFT
2018-04-20,89.6303,122809288,1,MSFT
2018-04-13,87.8188,133450878,1,MSFT
2018-04-06,85.1299,189087091,0,MSFT
2018-03-29,86.1111,207104405,1,MSFT
2018-03-23,82.2523,157031195,0,MSFT
2018-03-16,89.2529,164964544,0,MSFT
2018-03-09,91.0833,133800312,1,MSFT
2018-03-02,87.7905,154581506,0,MSFT
2018-02-23,88.7434,104692721,1,MSFT
2018-02-16,86.7999,153611971,1,MSFT
2018-02-09,82.8128,253644732,0,MSFT
2018-02-02,86.1937,202570318,0,MSFT
2018-01-26,88.3349,127913923,1,MSFT
2018-01-19,84.522,118433167,1,MSFT
2018-01-12,84.1464,98343817,1,MSFT
2018-01-05,82.8222,89838713,1,MSFT
2017-12-29,80.3335,50773814,1,MSFT
2017-12-22,80.3053,98890443,0,MSFT
2017-12-15,81.5637,136262249,1,MSFT
2017-12-08,79.0375,132514425,0,MSFT
2017-12-01,79.1314,128510609,1,MSFT
2017-11-24,78.1922,64949156,1,MSFT
2017-11-17,77.3846,94156894,0,MSFT
2017-11-10,78.3685,94050917,0,MSFT
2017-11-03,78.6208,121452467,1,MSFT
2017-10-27,78.3124,156867173,1,MSFT
2017-10-20,73.6404,78931157,1,MSFT
2017-10-13,72.407,71908474,1,MSFT
2017-10-06,71.0147,74782566,1,MSFT
2017-09-29,69.6038,87056437,1,MSFT
2017-09-22,69.529,91761244,0,MSFT
2017-09-15,70.37,97705887,1,MSFT
2017-09-08,69.1272,69017636,1,MSFT
2017-09-01,69.0898,90545558,1,MSFT
2017-08-25,68.0433,73981293,1,MSFT
2017-08-18,67.7349,95411795,1,MSFT
2017-08-11,67.3854,104828725,0,MSFT
2017-08-04,67.5527,109134465,0,MSFT
2017-07-28,67.8873,111200086,0,MSFT
2017-07-21,68.5844,148878177,1,MSFT
2017-07-14,67.6456,95004977,1,MSFT
2017-07-07,64.5598,73013732,1,MSFT
2017-06-30,64.0672,120667642,0,MSFT
2017-06-23,66.1864,108512334,1,MSFT
2017-06-16,65.0617,170063923,0,MSFT
2017-06-09,65.3592,155224472,0,MSFT
2017-06-02,66.6976,102092670,1,MSFT
2017-05-26,65.0246,86602544,1,MSFT
2017-05-19,62.9147,145206491,0,MSFT
2017-05-12,63.2009,103664709,0,MSFT
2017-05-05,63.7739,123335404,1,MSFT
2017-04-28,63.2748,156408932,1,MSFT
2017-04-21,61.3709,113659769,1,MSFT
2017-04-13,60.0307,71749271,0,MSFT
2017-04-07,60.7054,87039641,0,MSFT
2017-03-31,60.8718,88476598,1,MSFT
2017-03-24,60.0584,103804886,1,MSFT
2017-03-17,59.9568,129108029,0,MSFT
2017-03-10,60.0122,98167226,1,MSFT
2017-03-03,59.3837,108727793,0,MSFT
