Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2010-03-31,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-01,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-05,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-06,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-07,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-08,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-09,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-12,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-13,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-14,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-15,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-16,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-19,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-20,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-21,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-22,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-23,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-26,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-27,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-28,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-29,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-04-30,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-03,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-04,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-05,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-06,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-07,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-10,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-11,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-12,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-13,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-14,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-17,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-18,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-19,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-20,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-21,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-24,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-25,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-26,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-27,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-05-28,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-06-01,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-06-02,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-06-03,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
2010-06-04,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216
