Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2014-09-30,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-01,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-02,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-03,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-06,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-07,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-08,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-09,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-10,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-13,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-14,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-15,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-16,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-17,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-20,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-21,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-22,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-23,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-24,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-27,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-28,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-29,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-30,8.236,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-10-31,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-03,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-04,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-05,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-06,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-07,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-10,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-11,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-12,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-13,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-14,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-17,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-18,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-19,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-20,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-21,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-24,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-25,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-26,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-11-28,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-12-01,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-12-02,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-12-03,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
2014-12-04,7.952,,0.0,0.231,0.677,0.191,0.161,0.03,0.269,3.699,4.627,60.84,10.384,1.052,0.133,-0.057
