Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2010-03-31,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-01,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-05,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-06,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-07,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-08,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-09,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-12,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-13,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-14,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-15,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-16,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-19,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-20,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-21,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-22,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-23,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-26,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-27,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-28,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-29,124.182,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-04-30,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-03,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-04,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-05,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-06,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-07,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-10,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
2010-05-11,129.574,,0.13,0.356,0.564,0.125,0.097,0.002,0.404,1.441,2.135,,3.633,1.5,0.0,0.069
