Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2010-03-31,17.811,0.015,0.0,0.2,0.426,0.311,0.341,0.0,0.639,1.772,2.434,62.233,5.155,2.368,0.03,-0.056
2010-04-30,19.795,0.016,0.0,0.2,0.426,0.311,0.341,0.0,0.639,1.772,2.434,62.233,5.155,2.368,0.03,-0.056
2010-05-28,19.795,0.016,0.0,0.2,0.426,0.311,0.341,0.0,0.639,1.772,2.434,62.233,5.155,2.368,0.03,-0.056
2010-06-30,17.031,0.014,0.0,0.211,0.429,0.328,0.348,0.0,0.558,1.788,2.475,56.982,5.217,2.592,0.03,-0.054
2010-07-30,17.031,0.014,0.0,0.211,0.429,0.328,0.348,0.0,0.558,1.788,2.475,56.982,5.217,2.592,0.03,-0.054
2010-08-31,13.861,0.012,0.0,0.214,0.424,0.339,0.345,0.0,0.489,1.825,2.541,50.419,5.101,2.826,0.029,-0.07
2010-09-30,16.222,0.014,0.0,0.214,0.424,0.339,0.345,0.0,0.489,1.825,2.541,50.419,5.101,2.826,0.029,-0.07
2010-10-29,16.222,0.014,0.0,0.214,0.424,0.339,0.345,0.0,0.489,1.825,2.541,50.419,5.101,2.826,0.029,-0.07
2010-11-30,15.349,0.357,0.0,0.215,0.408,0.315,0.326,0.0,0.573,1.236,2.011,51.274,4.451,3.112,0.027,-0.075
2010-12-31,15.977,0.37,0.0,0.215,0.408,0.315,0.326,0.0,0.573,1.236,2.011,51.274,4.451,3.112,0.027,-0.075
2011-01-31,16.811,0.389,0.0,0.215,0.408,0.315,0.326,0.0,0.573,1.236,2.011,51.274,4.451,3.112,0.027,-0.075
2011-02-28,14.407,0.012,0.0,0.218,0.403,0.361,0.369,0.0,0.534,1.383,2.128,51.807,4.534,3.739,0.026,-0.088
2011-03-31,14.267,0.012,0.0,0.218,0.403,0.361,0.369,0.0,0.534,1.383,2.128,51.807,4.534,3.739,0.026,-0.088
2011-04-29,14.267,0.012,0.0,0.218,0.403,0.361,0.369,0.0,0.534,1.383,2.128,51.807,4.534,3.739,0.026,-0.088
2011-05-31,12.149,0.009,0.0,0.224,0.407,0.377,0.388,0.0,0.553,1.257,1.997,54.512,4.304,4.155,0.024,-0.091
2011-06-30,11.752,0.009,0.0,0.224,0.407,0.377,0.388,0.0,0.553,1.257,1.997,54.512,4.304,4.155,0.024,-0.091
2011-07-29,11.752,0.009,0.0,0.224,0.407,0.377,0.388,0.0,0.553,1.257,1.997,54.512,4.304,4.155,0.024,-0.091
2011-08-31,10.883,0.008,0.0,0.235,0.414,0.4,0.416,0.0,0.559,1.152,1.876,62.607,4.247,4.789,0.023,-0.107
2011-09-30,10.809,0.008,0.0,0.235,0.414,0.4,0.416,0.0,0.559,1.152,1.876,62.607,4.247,4.789,0.023,-0.107
2011-10-31,11.476,0.008,0.0,0.235,0.414,0.4,0.416,0.0,0.559,1.152,1.876,62.607,4.247,4.789,0.023,-0.107
2011-11-30,9.465,0.189,0.0,0.239,0.422,0.372,0.379,0.0,0.519,0.928,1.608,68.537,4.679,6.361,0.022,-0.121
2011-12-30,9.465,0.189,0.0,0.239,0.422,0.372,0.379,0.0,0.519,0.928,1.608,68.537,4.679,6.361,0.022,-0.121
2012-01-31,11.341,0.226,0.0,0.239,0.422,0.372,0.379,0.0,0.519,0.928,1.608,68.537,4.679,6.361,0.022,-0.121
2012-02-29,11.162,0.007,0.0,0.258,0.441,0.449,0.456,0.0,0.535,1.0,1.702,74.59,4.644,6.401,0.02,-0.113
2012-03-30,11.162,0.007,0.0,0.258,0.441,0.449,0.456,0.0,0.535,1.0,1.702,74.59,4.644,6.401,0.02,-0.113
2012-04-30,12.052,0.007,0.0,0.258,0.441,0.449,0.456,0.0,0.535,1.0,1.702,74.59,4.644,6.401,0.02,-0.113
2012-05-31,10.18,0.006,0.0,0.271,0.457,0.467,0.47,0.0,0.515,0.931,1.625,77.248,4.758,7.503,0.02,-0.119
2012-06-29,10.18,0.006,0.0,0.271,0.457,0.467,0.47,0.0,0.515,0.931,1.625,77.248,4.758,7.503,0.02,-0.119
2012-07-31,10.789,0.006,0.0,0.271,0.457,0.467,0.47,0.0,0.515,0.931,1.625,77.248,4.758,7.503,0.02,-0.119
2012-08-31,11.958,0.007,0.0,0.27,0.46,0.436,0.428,0.0,0.493,0.88,1.585,75.856,4.834,7.964,0.021,-0.089
2012-09-28,11.958,0.007,0.0,0.27,0.46,0.436,0.428,0.0,0.493,0.88,1.585,75.856,4.834,7.964,0.021,-0.089
2012-10-31,10.739,0.006,0.0,0.27,0.46,0.436,0.428,0.0,0.493,0.88,1.585,75.856,4.834,7.964,0.021,-0.089
2012-11-30,10.826,0.19,0.06,0.267,0.459,0.4,0.385,0.0,0.489,0.756,1.496,108.029,4.728,8.189,0.022,-0.062
2012-12-31,9.826,0.173,0.06,0.267,0.459,0.4,0.385,0.0,0.489,0.756,1.496,108.029,4.728,8.189,0.022,-0.062
2013-01-31,8.411,0.148,0.06,0.267,0.459,0.4,0.385,0.0,0.489,0.756,1.496,108.029,4.728,8.189,0.022,-0.062
2013-02-28,7.307,0.005,0.119,0.253,0.444,0.377,0.355,0.0,0.492,0.831,1.546,81.901,4.509,8.02,0.022,-0.091
2013-03-28,7.307,0.005,0.119,0.253,0.444,0.377,0.355,0.0,0.492,0.831,1.546,81.901,4.509,8.02,0.022,-0.091
2013-04-30,7.326,0.005,0.119,0.253,0.444,0.377,0.355,0.0,0.492,0.831,1.546,81.901,4.509,8.02,0.022,-0.091
2013-05-31,7.64,0.007,0.188,0.235,0.425,0.335,0.309,0.0,0.481,0.881,1.593,84.287,4.911,7.409,0.023,-0.088
2013-06-28,7.64,0.007,0.188,0.235,0.425,0.335,0.309,0.0,0.481,0.881,1.593,84.287,4.911,7.409,0.023,-0.088
2013-07-31,7.44,0.007,0.188,0.235,0.425,0.335,0.309,0.0,0.481,0.881,1.593,84.287,4.911,7.409,0.023,-0.088
2013-08-30,7.44,0.007,0.188,0.235,0.425,0.335,0.309,0.0,0.481,0.881,1.593,84.287,4.911,7.409,0.023,-0.088
