Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2012-07-31,10.817,,0.0,0.241,0.854,0.337,0.227,0.073,0.297,4.034,4.798,,11.674,1.097,0.12,-0.058
2012-08-31,11.873,,0.0,0.133,0.843,0.159,0.129,0.048,0.198,6.059,7.155,,11.674,0.71,0.252,-0.048
2012-09-28,11.873,,0.0,0.133,0.843,0.159,0.129,0.048,0.198,6.059,7.155,,11.674,0.71,0.252,-0.048
2012-10-31,19.526,,0.0,0.133,0.843,0.159,0.129,0.048,0.198,6.059,7.155,,11.674,0.71,0.252,-0.048
2012-11-30,32.444,,0.0,0.063,0.852,0.116,0.039,0.044,0.173,7.023,8.28,,11.674,0.629,0.265,-0.048
2012-12-31,54.312,,0.0,0.063,0.852,0.116,0.039,0.044,0.173,7.023,8.28,,11.674,0.629,0.265,-0.048
2013-01-31,63.709,,0.0,0.063,0.852,0.116,0.039,0.044,0.173,7.023,8.28,,11.674,0.629,0.265,-0.048
2013-02-28,28.47,,0.0,0.01,0.859,0.11,0.007,0.145,0.285,9.15,10.71,,11.25,0.498,0.275,-0.145
2013-03-28,28.47,,0.0,0.01,0.859,0.11,0.007,0.145,0.285,9.15,10.71,,11.25,0.498,0.275,-0.145
2013-04-30,30.14,,0.0,0.01,0.859,0.11,0.007,0.145,0.285,9.15,10.71,,11.25,0.498,0.275,-0.145
2013-05-31,22.54,,0.0,0.012,0.869,0.099,0.006,0.086,0.199,9.397,11.01,,11.901,0.519,0.28,-0.134
2013-06-28,22.54,,0.0,0.012,0.869,0.099,0.006,0.086,0.199,9.397,11.01,,11.901,0.519,0.28,-0.134
2013-07-31,35.389,,0.0,0.012,0.869,0.099,0.006,0.086,0.199,9.397,11.01,,11.901,0.519,0.28,-0.134
2013-08-30,35.389,,0.0,0.012,0.869,0.099,0.006,0.086,0.199,9.397,11.01,,11.901,0.519,0.28,-0.134
2013-09-30,31.609,,0.0,0.091,0.89,0.18,0.044,0.112,0.238,9.31,10.764,,10.551,0.586,0.193,-0.157
2013-10-31,31.679,,0.0,0.091,0.89,0.18,0.044,0.112,0.238,9.31,10.764,,10.551,0.586,0.193,-0.157
2013-11-29,31.679,,0.0,0.091,0.89,0.18,0.044,0.112,0.238,9.31,10.764,,10.551,0.586,0.193,-0.157
2013-12-31,29.319,,0.0,0.152,0.896,0.21,0.083,0.11,0.244,9.255,10.596,,12.329,0.685,0.19,-0.171
2014-01-31,33.666,,0.0,0.152,0.896,0.21,0.083,0.11,0.244,9.255,10.596,,12.329,0.685,0.19,-0.171
2014-02-28,32.262,,0.0,0.191,0.904,0.238,0.11,0.015,0.157,10.408,11.882,,9.947,0.658,0.18,-0.165
2014-03-31,28.408,,0.0,0.191,0.904,0.238,0.11,0.015,0.157,10.408,11.882,,9.947,0.658,0.18,-0.165
2014-04-30,28.23,,0.0,0.191,0.904,0.238,0.11,0.015,0.157,10.408,11.882,,9.947,0.658,0.18,-0.165
2014-05-30,28.23,,0.0,0.191,0.904,0.238,0.11,0.015,0.157,10.408,11.882,,9.947,0.658,0.18,-0.165
2014-06-30,28.29,,0.0,0.216,0.911,0.291,0.146,0.043,0.173,10.392,11.688,,12.03,0.794,0.177,-0.173
2014-07-31,30.575,,0.0,0.216,0.911,0.291,0.146,0.043,0.173,10.392,11.688,,12.03,0.794,0.177,-0.173
2014-08-29,30.575,,0.0,0.216,0.911,0.291,0.146,0.043,0.173,10.392,11.688,,12.03,0.794,0.177,-0.173
2014-09-30,33.609,,0.0,0.238,0.916,0.321,0.165,0.013,0.142,10.925,12.281,,9.503,0.819,0.172,-0.137
2014-10-31,34.694,,0.0,0.238,0.916,0.321,0.165,0.013,0.142,10.925,12.281,,9.503,0.819,0.172,-0.137
2014-11-28,34.694,,0.0,0.238,0.916,0.321,0.165,0.013,0.142,10.925,12.281,,9.503,0.819,0.172,-0.137
2014-12-31,33.944,,0.0,0.247,0.917,0.335,0.174,0.01,0.141,11.403,12.825,,8.521,0.826,0.175,-0.121
2015-01-30,33.944,,0.0,0.247,0.917,0.335,0.174,0.01,0.141,11.403,12.825,,8.521,0.826,0.175,-0.121
2015-02-27,33.944,,0.0,0.247,0.917,0.335,0.174,0.01,0.141,11.403,12.825,,8.521,0.826,0.175,-0.121
2015-03-31,33.851,,0.0,0.236,0.924,0.214,0.112,0.003,0.113,7.864,9.6,,7.186,1.018,0.214,-0.087
2015-04-30,32.462,,0.0,0.236,0.924,0.214,0.112,0.003,0.113,7.864,9.6,,7.186,1.018,0.214,-0.087
2015-05-29,32.462,,0.0,0.236,0.924,0.214,0.112,0.003,0.113,7.864,9.6,,7.186,1.018,0.214,-0.087
2015-06-30,32.805,0.068,0.0,0.208,0.932,0.242,0.12,0.005,0.123,9.224,10.742,,6.48,0.987,0.242,-0.105
2015-07-31,36.178,0.117,0.0,0.208,0.932,0.242,0.12,0.005,0.123,9.224,10.742,,6.48,0.987,0.242,-0.105
2015-08-31,31.522,0.938,0.0,0.187,0.938,0.202,0.096,0.003,0.121,8.272,9.823,,6.433,1.056,0.27,-0.107
2015-09-30,31.677,0.943,0.0,0.187,0.938,0.202,0.096,0.003,0.121,8.272,9.823,,6.433,1.056,0.27,-0.107
2015-10-30,31.677,0.943,0.0,0.187,0.938,0.202,0.096,0.003,0.121,8.272,9.823,,6.433,1.056,0.27,-0.107
2015-11-30,32.178,0.902,0.0,0.177,0.946,0.177,0.084,0.003,0.119,7.829,9.464,,5.801,1.101,0.289,-0.115
2015-12-31,32.656,0.906,0.0,0.177,0.946,0.177,0.084,0.003,0.119,7.829,9.464,,5.801,1.101,0.289,-0.115
2016-01-29,32.656,0.906,0.0,0.177,0.946,0.177,0.084,0.003,0.119,7.829,9.464,,5.801,1.101,0.289,-0.115
2016-02-29,28.535,0.083,0.0,0.206,0.949,0.184,0.091,0.002,0.117,9.576,11.248,,4.93,0.909,0.269,-0.11
2016-03-31,30.665,0.088,0.0,0.206,0.949,0.184,0.091,0.002,0.117,9.576,11.248,,4.93,0.909,0.269,-0.11
2016-04-29,30.665,0.088,0.0,0.206,0.949,0.184,0.091,0.002,0.117,9.576,11.248,,4.93,0.909,0.269,-0.11
2016-05-31,27.795,0.084,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-06-30,26.783,0.081,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
