Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2010-03-31,20.297,-4.063,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-04-30,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-05-28,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-06-30,17.169,-3.669,0.0,0.074,0.42,0.168,0.11,0.01,0.388,1.98,2.923,6.662,6.7,2.289,0.225,-0.02
2010-07-30,17.169,-3.669,0.0,0.074,0.42,0.168,0.11,0.01,0.388,1.98,2.923,6.662,6.7,2.289,0.225,-0.02
2010-08-31,15.73,-3.669,0.0,0.074,0.42,0.168,0.11,0.01,0.388,1.98,2.923,6.662,6.7,2.289,0.225,-0.02
2010-09-30,27.997,-3.669,0.0,0.064,0.427,0.162,0.091,0.009,0.362,2.118,3.138,5.929,6.954,2.125,0.228,-0.001
2010-10-29,27.997,-3.669,0.0,0.064,0.427,0.162,0.091,0.009,0.362,2.118,3.138,5.929,6.954,2.125,0.228,-0.001
2010-11-30,33.013,-3.669,0.0,0.064,0.427,0.162,0.091,0.009,0.362,2.118,3.138,5.929,6.954,2.125,0.228,-0.001
2010-12-31,28.828,-3.669,0.0,0.058,0.44,0.163,0.078,0.008,0.344,2.277,3.35,5.322,6.515,1.945,0.233,-0.026
2011-01-31,45.36,-3.669,0.0,0.058,0.44,0.163,0.078,0.008,0.344,2.277,3.35,5.322,6.515,1.945,0.233,-0.026
2011-02-28,42.97,-3.669,0.0,0.058,0.44,0.163,0.078,0.008,0.344,2.277,3.35,5.322,6.515,1.945,0.233,-0.026
2011-03-31,16.256,-3.669,0.0,0.071,0.449,0.143,0.086,0.007,0.413,2.642,3.423,5.776,6.241,1.551,0.24,-0.105
2011-04-29,16.256,-3.669,0.0,0.071,0.449,0.143,0.086,0.007,0.413,2.642,3.423,5.776,6.241,1.551,0.24,-0.105
2011-05-31,17.801,-3.669,0.0,0.071,0.449,0.143,0.086,0.007,0.413,2.642,3.423,5.776,6.241,1.551,0.24,-0.105
2011-06-30,11.209,-3.669,0.0,0.072,0.476,0.148,0.084,0.008,0.374,2.522,3.424,4.777,5.917,1.624,0.246,-0.146
