Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2010-04-30,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-05-07,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-05-14,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-05-21,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-05-28,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-06-04,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-06-11,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-06-18,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-06-25,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-07-02,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-07-09,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-07-16,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-07-23,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-07-30,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-08-06,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-08-13,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-08-20,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-08-27,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-09-03,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-09-10,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
2010-09-17,18.428,-3.669,,-0.02,0.386,0.096,-0.026,0.009,0.345,2.203,3.163,4.703,6.514,1.961,0.273,-0.16
