Date,adjusted_close,gdp,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ
2014-03-27,27.923,16654.247,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0
2014-03-28,27.9995,16654.247,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0
2014-03-31,27.8485,16654.247,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0
2014-04-01,28.358,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-02,28.35,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-03,28.487,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-04,27.157,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-07,26.9075,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-08,27.745,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-09,28.207,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-10,27.0475,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-11,26.53,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-14,26.626,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-15,26.822,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-16,27.827,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-17,26.805,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-21,26.431,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-22,26.7405,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-23,26.347,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-24,26.258,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-25,25.809,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-28,25.8575,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-29,26.385,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-04-30,26.333,16868.109,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0
2014-05-01,26.5675,16868.109,16932.0518,16868.109,2.3692,3.05,3.33,0.08,1.6155,0.9371,6.3,138501.0
2014-05-02,26.3965,16868.109,16932.0518,16868.109,2.3692,3.05,3.33,0.08,1.6155,0.9371,6.3,138501.0
