Date,adjusted_close,gdp,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ
2012-05-18,38.2318,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-21,34.03,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-22,31.0,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-23,32.0,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-24,33.03,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-25,31.91,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-29,28.84,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-30,28.19,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-05-31,29.6,16253.726,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0
2012-06-01,27.72,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-04,26.9,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-05,25.869,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-06,26.81,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-07,26.31,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-08,27.1,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-11,27.005,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-12,27.4,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-13,27.27,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-14,28.29,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-15,30.014,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-18,31.41,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-19,31.911,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-20,31.6,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-21,31.84,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-22,33.05,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-25,32.06,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-26,33.1,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-27,32.23,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-28,31.36,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-06-29,31.095,16253.726,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0
2012-07-02,30.771,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-03,31.2,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-05,31.47,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-06,31.73,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-09,32.17,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-10,31.47,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-11,30.97,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-12,30.81,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-13,30.72,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-16,28.245,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-17,28.09,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-18,29.11,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-19,29.0,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-20,28.76,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-23,28.75,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-24,28.45,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-25,29.34,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-26,26.845,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-27,23.705,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-30,23.15,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-07-31,21.71,16282.151,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0
2012-08-01,20.88,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-02,20.04,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-03,21.09,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-06,21.92,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-07,20.72,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-08,20.72,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-09,21.01,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-10,21.807,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-13,21.6,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-14,20.38,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-15,21.2,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-16,19.87,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-17,19.05,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-20,20.011,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-21,19.159,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-22,19.439,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-23,19.44,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-24,19.409,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-27,19.15,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-28,19.34,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-29,19.1,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-30,19.0885,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-08-31,18.058,16282.151,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0
2012-09-04,17.729,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-05,18.58,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-06,18.96,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-07,18.98,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-10,18.81,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-11,19.43,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-12,20.931,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-13,20.713,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-14,22.0,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-17,21.52,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-18,21.87,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-19,23.29,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-20,22.59,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-21,22.86,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-24,20.79,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-25,20.28,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-26,20.62,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-27,20.32,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-09-28,21.66,16282.151,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0
2012-10-01,21.99,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-02,22.27,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-03,21.83,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-04,21.9475,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-05,20.91,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-08,20.4,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-09,20.227,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-10,19.64,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-11,19.75,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-12,19.5181,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-15,19.52,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-16,19.48,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-17,19.88,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-18,18.975,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-19,19.0,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-22,19.321,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-23,19.5,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-24,23.2299,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-25,22.56,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-26,21.9425,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-10-31,21.11,16300.035,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0
2012-11-01,21.21,16300.035,16253.97,16300.035,2.3125,2.37,2.81,0.16,2.0732,0.5444,7.7,134834.0
2012-11-02,21.18,16300.035,16253.97,16300.035,2.3125,2.37,2.81,0.16,2.0732,0.5444,7.7,134834.0
