Date,adjusted_close,gdp,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ
2010-01-04,23.6224662723733,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-05,23.6300987332044,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-06,23.4850819774128,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-07,23.2423697229826,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-08,23.4011249082703,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-11,23.1034589358559,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-12,22.9508097192331,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-13,23.164518622505,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-14,23.6300987332044,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-15,23.553774124893,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-19,23.7369531848404,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-20,23.3438814520367,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-21,22.9050149542463,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-22,22.1036065669768,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
2010-01-25,22.3783751568977,15.4151,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0
