Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ
2010-01-29,24.842843485326696,1.3226585106493671,0.0,0.0173968179981882,0.3693265757148526,0.1331608048066537,0.0850182369612891,0.0497901379594173,2.508319030302775,0.6734530045468108,1.0581422701927188,8.401618461251974,4.799945731135497,15.414026774735651,0.0727979262777471,-0.1629848609477935,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0,90.39,99.52598475624816,12540.637501167244,13194.327900981452,85.07336103807988,78.58132178746413,48.826033055040575,7620699848.835985,83.4351,4.9752
2010-02-26,29.34046339492081,-1.136694226919068,0.0,0.0200413971622683,0.2965490325417952,0.1155415485143355,-0.0311522680706469,0.3156100491064144,3.434492955582102,0.7391395624737527,1.1116199382863852,8.896606293644162,3.8661637721753377,9.81800402051691,0.0528546250332522,-0.1505380487283116,15648.991,15456.059,2.1728,4.4,4.55,0.13,1.6366,6.8318,9.8,129698.0,95.1842857142857,102.04252012208174,11839.515364265364,12610.61369301468,78.84648444215232,69.71093129024827,50.58171239393977,6359359576.568599,86.0379,5.1521
2010-03-31,18.389,0.912,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216,15648.991,15456.059,2.1735,4.55,4.72,0.09,1.6366,6.8318,9.9,129879.0,100.6807142857143,106.53951743913753,13576.337776258832,12652.16354723048,80.49457081715147,70.8180314877329,52.06727814606097,7741717948.158348,91.278,5.8408
2010-04-30,18.555,0.921,0.0,0.037,0.241,0.146,0.228,0.046,1.628,0.864,1.33,10.417,4.21,10.074,0.051,-0.216,15648.991,15605.628,2.174,4.36,4.53,0.2,1.6366,6.8318,9.9,130110.0,105.8457142857143,110.61424844725252,13709.344582009422,13041.732574177871,79.7498560026331,72.16285593324592,53.78973258313975,9058733999.85642,92.6901,5.8076
2010-05-28,25.754432192400703,-5.168804014015648,0.0,-0.0098124026548059,0.2511746315335764,0.1114088623396966,0.1490959562138591,0.3831841812175292,1.5603997946020338,0.7566477444927748,0.8656248969279339,8.274221934436468,4.54044380910188,-61.52885515927125,0.0471139887950979,-0.1583159548567931,15648.991,15605.628,2.1729,4.05,4.22,0.19,1.6366,6.8318,9.6,130650.0,109.56142857142858,112.59368198761884,12545.09662383472,13276.926327367655,70.88821072920013,65.71321261854207,55.73573793147696,7780545311.114553,85.3254,5.1411
2010-06-30,17.607,0.04,0.0,0.038,0.24,0.193,0.273,0.033,1.399,0.899,1.42,11.726,5.536,12.294,0.05,-0.177,15648.991,15605.628,2.172,3.74,3.91,0.09,1.6366,6.8318,9.4,130511.0,111.61428571428571,112.14919105593634,10925.062700346198,12393.167968730111,60.75276863214607,60.11445359488414,57.40982317284742,6598269251.586171,80.9104,4.9171
2010-07-30,35.52386955147789,-5.322300663334913,0.0,0.0143520000739157,0.3145892587709822,0.0938267599206264,0.1288045564296044,0.2009191832915251,1.970316039603274,0.495153467592812,0.9047738361675272,7.526587368155403,4.4564885944742105,-62.88656394002727,0.0528575514748034,-0.1944047190720769,15648.991,15726.282,2.1761,3.74,3.98,0.18,1.6366,6.8318,9.4,130427.0,114.46428571428572,112.91463224847816,11788.003567653275,11752.720963944732,64.27651352511808,65.33538143039227,58.84462670939047,7827409232.498201,86.4367,5.3845
2010-08-31,21.82,0.049,0.0,0.038,0.242,0.181,0.246,0.03,1.324,0.919,1.443,11.512,5.542,11.577,0.05,-0.134,15648.991,15726.282,2.1792,3.23,3.52,0.21,1.6366,6.8318,9.5,130422.0,117.405,114.5033479486811,12482.003567653275,11731.689945217584,64.5982554428764,65.52204192438631,60.16533417520266,9067514269.603584,82.5487,4.953
2010-09-30,27.525,0.062,0.0,0.038,0.242,0.181,0.246,0.03,1.324,0.919,1.443,11.512,5.542,11.577,0.05,-0.134,15648.991,15726.282,2.1828,3.38,3.69,0.15,1.6366,6.8318,9.5,130357.0,122.49785714285714,120.17756822219027,15705.080218345793,13325.029117884114,70.83089867944373,66.12191825482864,61.578227491698605,10406332605.501442,89.9412,5.3734
2010-10-29,33.367213732691255,-7.46387509744806,0.0,-0.0178910564205204,0.3085679310211928,0.1410352701669226,0.0551422719319621,0.1126407473159018,2.262845715030861,0.6741289670183757,1.0610674678453211,7.763179131808207,4.532615534538177,31.782582376551343,0.0930006495189181,-0.0947328319056308,15648.991,15807.995,2.1904,3.64,3.99,0.2,1.6366,6.8318,9.4,130625.0,128.50071428571428,126.18455912589825,16522.179614733275,14903.087800244117,74.04715577429324,70.8161000136945,63.58226294186464,11794212929.985992,93.3772,5.838
2010-11-30,30.071,0.082,0.0,0.036,0.244,0.171,0.221,0.029,1.266,0.927,1.465,11.025,5.564,10.937,0.051,-0.122,15648.991,15807.995,2.1959,3.8,4.12,0.2,1.6366,6.8318,9.8,130750.0,134.3607142857143,132.74661790911182,17539.056667290068,16588.772166789713,73.74667129790437,71.85875943178564,65.75041768302734,13245776630.180984,93.3772,5.9376
2010-12-31,31.008,0.085,0.0,0.036,0.244,0.171,0.221,0.029,1.266,0.927,1.465,11.025,5.564,10.937,0.051,-0.122,15648.991,15807.995,2.2047,4.13,4.34,0.13,1.6366,6.8318,9.3,130822.0,138.73142857142858,139.04706885456358,17998.675015654353,17353.303765892564,70.14286654815986,70.6338882211987,68.07225932936679,14706736328.942852,99.6189,6.5626
2011-01-31,29.224,0.08,0.0,0.036,0.244,0.171,0.221,0.029,1.266,0.927,1.465,11.025,5.564,10.937,0.051,-0.122,15891.534,15769.911,2.2119,4.33,4.58,0.17,3.1397,8.8003,9.1,130841.0,141.1407142857143,143.12612634062177,16962.7668997669,17500.16619423711,61.61901481226317,63.8341375502391,70.42381414277945,13334181860.383411,101.94,6.77
2011-02-28,22.392,2.187,0.0,0.034,0.24,0.127,0.19,0.085,1.738,0.845,1.325,9.681,3.96,10.135,0.051,-0.144,15891.534,15769.911,2.219,4.25,4.49,0.16,3.1397,8.8003,9.0,131053.0,143.91,147.1479761618722,17327.7668997669,17429.736271729384,63.15039685231666,62.44113956798967,72.84733785992385,14644037570.971176,105.4812,7.9121
2011-03-31,23.296,2.273,0.0,0.034,0.24,0.127,0.19,0.085,1.738,0.845,1.325,9.681,3.96,10.135,0.051,-0.144,15891.534,15769.911,2.2305,4.29,4.51,0.1,3.1397,8.8003,9.0,131288.0,147.81857142857143,151.5455793402893,18011.7668997669,17434.100233100235,68.85076477883423,64.36058892437794,75.21839110272538,16056539692.903076,105.4924,7.1461
2011-04-29,21.927527520179414,9.375934675891145,0.0,-0.0070537516712445,0.3738464220911162,0.1423728590763743,0.0347433677721924,-0.0958818980652184,2.014517200056363,0.7304508117495039,0.9975827421799244,9.143476204281331,4.816626803614425,-68.22633461676249,0.1137436770686105,-0.1529142157580303,15891.534,15876.839,2.2409,4.15,4.4,0.09,3.1397,8.8003,9.1,131602.0,153.34785714285712,157.44750209491738,19579.85,18306.461266511265,75.16416357844093,73.08677686753552,77.34542328067087,17565075093.033817,108.5477,7.5001
2011-05-31,29.568,0.165,0.0,0.029,0.241,0.146,0.17,0.047,1.352,0.896,1.437,10.628,5.349,11.376,0.053,-0.131,15891.534,15876.839,2.2481,3.91,4.22,0.1,3.1397,8.8003,9.0,131703.0,157.6992857142857,162.67983514892842,19667.94820558704,19086.521701784648,72.18176521992426,73.12752758370786,79.75451481505745,19046956218.18068,107.3304,7.0576
2011-06-30,30.874,0.172,0.0,0.029,0.241,0.146,0.17,0.047,1.352,0.896,1.437,10.628,5.349,11.376,0.053,-0.131,15891.534,15876.839,2.2481,4.09,4.38,0.07,3.1397,8.8003,9.1,131939.0,162.51285714285717,168.25452379573795,20447.94820558704,19898.582137058023,73.43347937965089,65.61329588213547,82.2872245187563,20610760158.33159,105.5178,6.9967
2011-07-29,23.832192166857126,-3.930196232847207,0.0,0.0037470039686738,0.3199333986248382,0.1205959472028124,0.1756571895326012,0.0122250420319656,3.484884719069477,0.5654251618860255,0.8668506140203966,6.289000569506962,4.404390069117975,57.757247176638536,0.0840204924908925,-0.1596758436545132,15891.534,15870.684,2.254,3.77,4.12,0.11,3.1397,8.8003,9.0,131999.0,169.4457142857143,175.4899206229729,22251.128500823725,20789.008303999264,82.31455586629379,72.49408211734013,84.76648002838118,22230548200.00857,103.407,6.6566
2011-08-31,30.723,0.223,0.0,0.026,0.243,0.139,0.157,0.057,1.389,0.857,1.411,10.299,5.31,12.067,0.056,-0.134,15891.534,15870.684,2.2611,3.19,3.6,0.08,3.1397,8.8003,9.0,132125.0,177.015,180.7885978732432,21522.1302918208,21407.068999410523,87.50619381326536,68.29314958363796,87.61515042781356,20530897304.766544,97.7221,6.5515
2011-09-30,30.939,0.224,0.0,0.026,0.243,0.139,0.157,0.057,1.389,0.857,1.411,10.299,5.31,12.067,0.056,-0.134,15891.534,15870.684,2.266,2.66,2.9,0.06,3.1397,8.8003,9.0,132358.0,184.0392857142857,185.5141181568108,21622.0700783042,21798.442956982908,86.79287638431606,69.50142247866728,90.41184741925728,22172379491.86286,90.9354,6.3994
2011-10-31,30.533,0.222,0.0,0.026,0.243,0.139,0.157,0.057,1.389,0.857,1.411,10.299,5.31,12.067,0.056,-0.134,15891.534,16048.702,2.2675,2.89,3.16,0.09,3.1397,8.8003,8.8,132562.0,190.37357142857144,189.24690240256933,21349.953293512528,21498.05122121251,84.26054705609641,60.62097552009982,93.48361047087214,20582277250.58328,100.8608,6.9276
2011-11-30,28.009,0.385,0.0,0.02,0.246,0.125,0.123,0.085,1.443,0.806,1.373,10.048,5.279,13.318,0.059,-0.13,15891.534,16048.702,2.2717,2.77,3.06,0.1,3.1397,8.8003,8.6,132694.0,192.89,189.65264874889343,19227.411499318016,20733.144957044915,64.87627734144074,53.22260135026562,96.5481382614547,19056656365.03337,100.4509,7.2595
2011-12-30,28.90431511669208,-9.324322072732938,0.0,0.0159448538400436,0.279614211209634,0.1545246130080791,-0.0568278447767985,0.148974378141437,3.010960391236034,0.6875668096625036,1.029407158430796,7.996390279194563,3.975784487875616,-84.55509040149343,0.0675886370856102,-0.1611920915132735,15891.534,16048.702,2.2722,2.57,2.89,0.04,3.1397,8.8003,8.5,132896.0,193.4521428571429,187.44562891570763,17308.256949077164,19295.207247302573,53.04025341883644,46.23243489917945,99.0641754962256,17609527676.97505,101.4996,6.7783
2012-01-31,28.342,0.389,0.0,0.02,0.246,0.125,0.123,0.085,1.443,0.806,1.373,10.048,5.279,13.318,0.059,-0.13,16253.97,16179.968,2.2784,2.59,2.94,0.11,2.0732,0.5444,8.3,133246.0,194.81214285714285,188.3782117269466,19442.13527635857,18659.26790825125,56.770981507823606,45.96040082441364,101.0760919863011,19147392742.07685,106.2066,6.8474
2012-02-29,20.791,26.089,0.0,0.013,0.245,0.091,0.086,0.154,2.259,0.643,1.174,8.857,3.967,18.534,0.061,-0.148,16253.97,16179.968,2.2833,2.73,3.08,0.1,2.0732,0.5444,8.3,133518.0,194.79,187.21978349668703,17967.13527635857,18239.17583393144,49.8971807628524,39.61004690304348,102.98457014657508,17651592242.38998,110.8165,7.2844
2012-03-30,37.60187306763535,9.482160979017747,0.0,0.0178341222870328,0.1823065562913112,0.1082822429038393,-0.025496753959681,0.2295433264396805,2.3620264346311037,0.4493823762419499,1.23091905609524,8.156075462223564,3.806212525823656,129.83317653783547,0.0772074480860229,-0.1423400227240463,16253.97,16179.968,2.2881,3.0,3.35,0.09,2.0732,0.5444,8.2,133744.0,197.1378571428572,189.2584790304621,20249.13527635857,19219.468609691907,60.069848661234,45.9142071311552,104.79627874364355,19210518895.03748,114.38,7.1627
2012-04-30,26.768,33.669,0.0,0.013,0.245,0.091,0.086,0.154,2.259,0.643,1.174,8.857,3.967,18.534,0.061,-0.148,16253.97,16253.726,2.2919,2.73,3.12,0.16,2.0732,0.5444,8.2,133827.0,201.3242857142857,194.94401515973385,23188.13527635857,20468.13527635857,65.5093940195819,46.99158446462343,106.89735316877068,20871435871.93283,113.6165,6.7949
2012-05-31,31.439,-11.190785225764255,0.0,0.011,0.254,0.113,0.073,0.154,1.703,0.66,1.246,9.447,5.245,19.733,0.064,-0.125,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0,203.6657142857143,197.33947980510268,21288.90606972661,21575.39220748125,58.15017404276479,52.92465006713744,109.43620610539529,19261677499.755188,106.7931,6.0509
2012-06-29,26.984556626881687,8.033203616847574,0.0,0.024482627175706,0.2624841477527279,0.1186210337422208,0.0370907688238042,0.1491729907621773,1.6866725499595732,0.6600621057149558,1.1006957011200131,8.574243306368489,3.869203650383963,7.026370444679095,0.0758298935576804,-0.1820391803689185,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0,205.99,201.474215831089,22832.90606972661,22436.64913860393,58.10016927212984,51.86099718085582,111.90688198328738,20937181471.93283,111.1213,6.3076
2012-07-31,34.568,-1.999898160948868,0.0,0.011,0.254,0.113,0.073,0.154,1.703,0.66,1.246,9.447,5.245,19.733,0.064,-0.125,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0,208.605,205.7176537202772,23327.90606972661,22483.239403059943,58.932318352608206,51.37906113449876,114.23574434362165,22649114795.33692,112.4358,6.316
2012-08-31,34.834,7.843307955240371,0.0,0.007,0.262,0.115,0.049,0.154,1.828,0.587,1.177,9.218,5.211,27.112,0.067,-0.137,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0,211.7321428571429,211.39129989090688,24824.989040105986,23661.933726519736,60.32060348892032,56.47737879569945,116.7658294567492,24411481113.680096,115.2527,6.3633
2012-09-28,27.324987772246143,-1.4779032507774588,0.0,0.025067247511846,0.2427453169159807,0.1199632474844196,0.0572218566004646,0.2896791934877895,2.7592496846453614,0.5729822902412192,1.273583849574071,9.319528764481108,4.651123844845831,46.2265762171496,0.0794138258454541,-0.1316341134356994,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0,214.0035714285714,217.1151265721193,25430.281140621784,24527.725416818128,57.945232860283824,55.936491737067925,119.4305128676142,26173422539.22121,118.175,6.5155
2012-10-31,32.741,3.788685651503012,0.0,0.007,0.262,0.115,0.049,0.154,1.828,0.587,1.177,9.218,5.211,27.112,0.067,-0.137,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0,215.26522142857144,219.2188563625034,23287.591140621786,24514.28710711652,54.12194426410538,58.18142319000571,122.32410261026192,24451310731.8253,116.0245,6.6526
2012-11-30,33.898,2.7908163035409363,0.0,0.001,0.27,0.119,0.005,0.154,1.974,0.521,1.114,8.947,5.151,40.883,0.071,-0.153,16253.97,16300.035,2.3125,2.37,2.81,0.16,2.0732,0.5444,7.7,134834.0,217.8237928571428,223.5963421808363,25203.281140621784,24640.384473955124,57.70608285738627,55.98138828971189,125.11562055805668,26238296240.17857,116.6811,6.7785
2012-12-31,33.817,-1.1593312523435046,0.0,0.001,0.27,0.119,0.005,0.154,1.974,0.521,1.114,8.947,5.151,40.883,0.071,-0.153,16253.97,16300.035,2.3122,2.54,2.95,0.09,2.0732,0.5444,7.9,135075.0,220.4923642857143,227.23282989005813,25085.281140621784,24525.38447395512,58.091000364701415,65.4471949024884,127.66630814689556,24463628479.565968,117.7311,7.0285
2013-01-31,35.832,7.687935489016858,0.0,0.001,0.27,0.119,0.005,0.154,1.974,0.521,1.114,8.947,5.151,40.883,0.071,-0.153,16553.3475,16441.485,2.3168,2.79,3.17,0.15,1.466,0.6098,8.0,135265.0,225.72165,232.3351192380504,26548.58199575372,25612.381425665764,66.3208399358313,74.81113579198284,130.37518198395765,26219609009.663628,123.7577,7.9651
