Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2010-01-29,3.290548980285968,0.7497802357515138,0.0,0.0307944608006279,0.1449488578494356,0.0643616576950301,0.074208299856579,0.2348376664901491,1.234059783518011,,,12.980330060368694,4.631870135222105,,0.0,0.001762292221428,83.4351,4.9752,15648.991,15456.059,2.1749,4.38,4.51,0.12,1.6366,6.8318,9.8,129790.0,,76.43,,,,,,-72519060.11519144
2010-02-26,5.905611018738674,0.5798268711281787,0.0,0.0335905958441762,0.160105325281462,0.0733850580136467,0.0937539248242163,0.2057654224979817,1.0062237804527423,,,11.44004870855579,3.934001153735786,,0.0,-0.0011452309125454,86.0379,5.1521,15648.991,15456.059,2.1728,4.4,4.55,0.13,1.6366,6.8318,9.8,129698.0,,78.28,,,,,,413426163.7614476
2010-03-31,7.917,3.819,0.0,0.072,0.146,0.058,0.06,0.202,1.231,,,14.043,4.247,,0.0,-0.028,91.278,5.8408,15648.991,15456.059,2.1735,4.55,4.72,0.09,1.6366,6.8318,9.9,129879.0,79.27666666666666,79.775,8126.98023950178,,100.0,22.307027533232528,67.87,893453292.3784928
2010-04-30,4.5,3.618,0.0,0.072,0.146,0.058,0.06,0.202,1.231,,,14.043,4.247,,0.0,-0.028,92.6901,5.8076,15648.991,15605.628,2.174,4.36,4.53,0.2,1.6366,6.8318,9.9,130110.0,79.46666666666665,78.3875,7694.01254180602,,53.12843029637757,19.774612927978666,67.87,463143438.7225672
2010-05-28,7.042703732431377,0.0300509076243711,0.0,0.1082185831420426,0.140946331846516,0.0456855705801501,0.0817207607447635,0.2291731510848801,1.100768477515373,,,14.007602724764425,4.272131180497346,,0.0,-0.0133594365041413,85.3254,5.1411,15648.991,15605.628,2.1729,4.05,4.22,0.19,1.6366,6.8318,9.6,130650.0,76.27333333333333,74.46875,7050.461895294898,7623.818225534233,9.612141652613843,43.753175278684544,68.1516,106425049.02013004
2010-06-30,5.318,-0.8303711960555848,0.0,0.11,0.193,0.083,0.101,0.238,1.318,,,15.525,3.92,,0.0,-0.004,80.9104,4.9171,15648.991,15605.628,2.172,3.74,3.91,0.09,1.6366,6.8318,9.4,130511.0,75.74666666666667,77.079375,7963.916109873793,7569.463515658237,46.0221550855992,57.49257512877764,68.364568,644344777.6973431
2010-07-30,5.461547206059623,0.816050034326739,0.0,0.0641441122176058,0.1931171544019667,0.0703211169680852,0.0805644689188331,0.2670906917080023,1.2712886257824678,,,12.827096285415871,4.962601359450992,,0.0,0.0040291506512151,86.4367,5.3845,15648.991,15726.282,2.1761,3.74,3.98,0.18,1.6366,6.8318,9.4,130427.0,76.12,77.5996875,7806.897168405365,7607.091724524686,53.26340326340328,78.68482999096257,68.63527664,113508531.6071943
2010-08-31,5.214,1.493011696437638,0.0,0.097,0.179,0.072,0.084,0.25,1.332,,,15.973,3.875,,0.0,-0.011,82.5487,4.953,15648.991,15726.282,2.1792,3.23,3.52,0.21,1.6366,6.8318,9.5,130422.0,78.86333333333333,78.18984375,7872.3360455655,7881.049774614886,86.1917326297274,100.0,68.8671711072,667862683.757949
2010-09-30,5.472,-0.0068799664278547,0.0,0.097,0.179,0.072,0.084,0.25,1.332,,,15.973,3.875,,0.0,-0.011,89.9412,5.3734,15648.991,15726.282,2.1828,3.38,3.69,0.15,1.6366,6.8318,9.5,130357.0,79.86,80.434921875,8260.615234375,7979.949482781955,74.38825448613386,100.0,69.107827685056,1232574178.703464
2010-10-29,3.697975018587155,0.6179050903362714,0.0,0.0501409815480187,0.1998535633145626,0.0677641517406124,0.0997736700091568,0.242720270542961,1.223619033566932,,,13.842884437911785,5.811158378176129,,0.0,-0.0119142349716861,93.3772,5.838,15648.991,15807.995,2.1904,3.64,3.99,0.2,1.6366,6.8318,9.4,130625.0,80.34,79.9974609375,7948.615234375,8027.188838105166,59.37499999999997,73.58918466383736,69.44287113135488,733315065.9569019
