Date,Pos_lag1,Pos_lag2,Pos_lag3,Neg_lag1,Neg_lag2,Neg_lag3,Neu_lag1,Neu_lag2,Neu_lag3
2010-01-04,-1.3880105,-0.7748973,-0.22377227,2.037136,0.57526153,-0.26541865,0.18480477,0.73022044,0.7433794
2010-01-05,-0.5858476,-1.3880105,-0.7748973,-0.055187937,2.037136,0.57526153,1.0747739,0.18480477,0.73022044
2010-01-06,-0.7712724,-0.5858476,-1.3880105,-0.42767024,-0.055187937,2.037136,1.645177,1.0747739,0.18480477
2010-01-07,-0.39718884,-0.7712724,-0.5858476,-0.50976807,-0.42767024,-0.055187937,1.3113029,1.645177,1.0747739
2010-01-08,-0.33779782,-0.39718884,-0.7712724,-0.2704379,-0.50976807,-0.42767024,1.0328085,1.3113029,1.645177
2010-01-09,-1.2850196,-0.33779782,-0.39718884,1.8570273,-0.2704379,-0.50976807,0.03913796,1.0328085,1.3113029
2010-01-10,-0.831077,-1.2850196,-0.33779782,0.623881,1.8570273,-0.2704379,0.88221866,0.03913796,1.0328085
2010-01-11,-1.7184637,-0.831077,-1.2850196,2.3086138,0.623881,1.8570273,0.31172478,0.88221866,0.03913796
2010-01-12,0.3918112,-1.7184637,-0.831077,-1.2187762,2.3086138,0.623881,0.8919244,0.31172478,0.88221866
2010-01-13,-1.2955565,0.3918112,-1.7184637,1.2176169,-1.2187762,2.3086138,0.94767237,0.8919244,0.31172478
2010-01-14,-1.157942,-1.2955565,0.3918112,1.1561905,1.2176169,-1.2187762,0.7896437,0.94767237,0.8919244
2010-01-15,-1.1123719,-1.157942,-1.2955565,1.240757,1.1561905,1.2176169,0.65902907,0.7896437,0.94767237
2010-01-16,-0.41493538,-1.1123719,-1.157942,-0.12348739,1.240757,1.1561905,0.95649004,0.65902907,0.7896437
2010-01-17,-0.84465396,-0.41493538,-1.1123719,0.6066277,-0.12348739,1.240757,0.7859728,0.95649004,0.65902907
2010-01-18,-1.309655,-0.84465396,-0.41493538,1.1440094,0.6066277,-0.12348739,1.1617658,0.7859728,0.95649004
2010-01-19,-0.61389804,-1.309655,-0.84465396,-0.12646742,1.1440094,0.6066277,1.1755158,1.1617658,0.7859728
2010-01-20,-0.896956,-0.61389804,-1.309655,0.964131,-0.12646742,1.1440094,0.3852224,1.1755158,1.1617658
2010-01-21,-0.6137144,-0.896956,-0.61389804,-0.015121283,0.964131,-0.12646742,1.1029521,0.3852224,1.1755158
2010-01-22,-0.917268,-0.6137144,-0.896956,0.5111289,-0.015121283,0.964131,1.0494919,1.1029521,0.3852224
2010-01-23,-0.619688,-0.917268,-0.6137144,0.5899051,0.5111289,-0.015121283,0.57158726,1.0494919,1.1029521
2010-01-24,-0.52234644,-0.619688,-0.917268,-0.42974743,0.5899051,0.5111289,1.4502138,0.57158726,1.0494919
2010-01-25,1.2783562,-0.52234644,-0.619688,-1.3622904,-0.42974743,0.5899051,-0.96273094,1.4502138,0.57158726
2010-01-26,-0.9055668,1.2783562,-0.52234644,0.8599126,-1.3622904,-0.42974743,0.70226365,-0.96273094,1.4502138
2010-01-27,-0.3731757,-0.9055668,1.2783562,0.38622436,0.8599126,-1.3622904,0.2643853,0.70226365,-0.96273094
2010-01-28,-0.6870802,-0.3731757,-0.9055668,0.44228694,0.38622436,0.8599126,0.85609585,0.2643853,0.70226365
