"pub_date","lead_paragraph","main"
"2019-11-10T21:15:53+0000","OAKWOOD VILLAGE, Ohio — As a group of prominent black pastors listened, the top federal prosecutor in northern Ohio, Justin E. Herdman, spoke recently at Mount Zion church about the prospect that a gunman could target one of their congregations.","The F.B.I.’s New Approach to Combating Domestic Terrorism: Straight Talk"
"2019-11-01T07:00:06+0000","CHENGDU, China — With a neon-red backpack and white Adidas shoes, he looks like any other undergraduate on the campus of Sichuan University in southwestern China.","Professors, Beware. In China, Student Spies Might Be Watching."
"2019-11-27T00:46:25+0000","As the life expectancy of Americans has declined over a period of three years — a drop driven by higher death rates among people in the prime of life — the focus has been on the plight of white Americans in rural areas who were dying from so-called deaths of despair: drug overdoses, alcoholism and suicide.","It’s Not Just Poor White People Driving a Decline in Life Expectancy"
"2019-12-29T20:13:09+0000","[Update: The suspect was charged with federal hate crimes.]","Intruder Screamed ‘I’ll Get You’ in Attack on Jews at Rabbi’s Home"
"2019-11-07T18:57:36+0000","WASHINGTON — The top American diplomat on the ground in northern Syria has criticized the Trump administration for not trying harder to prevent Turkey’s military offensive there last month — and said Turkish-backed militia fighters committed “war crimes and ethnic cleansing.”","U.S. Envoy in Syria Says Not Enough Was Done to Avert Turkish Attack"
"2019-12-07T08:00:28+0000","SHIREBROOK, England — There used to be a mine at the edge of this small town near the center of England. Now there is only a warehouse.","Splintered Isle: A Journey Through Brexit Britain"
"2019-11-30T17:34:51+0000","MUNICH — When German researchers began working on a new Latin dictionary in the 1890s, they thought they might finish in 15 or 20 years.","Latin Dictionary’s Journey: A to Zythum in 125 Years (and Counting)"
"2019-12-27T18:30:11+0000","WASHINGTON — In a rare show of bipartisan unity, Republicans and Democrats are planning to try to force President Trump to take a more active stand on human rights in China, preparing veto-proof legislation that would punish top Chinese officials for detaining more than one million Muslims in internment camps. ","Congress Wants to Force Trump’s Hand on Human Rights in China and Beyond"
"2019-11-29T14:19:50+0000","About 80,000 babies and toddlers die of AIDS each year, mostly in Africa, in part because their medicines come in hard pills or bitter syrups that are very difficult for small children to swallow or keep down.","New Strawberry-Flavored H.I.V. Drugs for Babies Are Offered at $1 a Day"
"2019-12-10T00:58:38+0000","WASHINGTON — President Trump and his allies spent months promising that a report on the origins of the F.B.I.’s Russia investigation would be a kind of Rosetta Stone for Trump-era conspiracy enthusiasts — the key to unlocking the secrets of a government plot to keep Mr. Trump from being elected in 2016.","Another Inquiry Doesn’t Back Up Trump’s Charges. So, on to the Next."
