Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2020-01-31,,309.51,,,,,,-33042441.103704542
2019-12-31,,304.22333333333336,,,,,,-588699452.218682
2019-11-29,,291.8988888888889,,,,,,-1557536498.7381182
2019-10-31,,277.5192592592593,,,,,,-3112308466.9074674
2019-09-30,268.628,259.66950617283953,22395.3481355658,,0.0,0.0,204.22,-5093664527.076817
2019-08-30,248.474,242.69300411522636,20872.10060163724,,0.0,0.0,218.03,-7259529552.865812
2019-07-31,232.352,232.8086694101509,21301.44656589764,21522.965101033562,4.820087434144142,15.977024014401067,221.37,-4963615324.454865
2019-06-28,218.48600000000002,221.17911294010062,19789.85770005033,20654.46828919507,5.517772359810081,16.491721158629986,220.9108,-7654585477.210859
2019-05-31,203.748,205.80940862673376,17503.967586821014,19531.757284256328,5.225422287033638,16.725736195320437,221.92361599999998,-9609033408.447012
2019-04-30,199.088,204.09627241782252,20063.667906066537,19119.16439764596,35.98074608904933,34.671559231509306,222.86228831999998,-7541779119.113347
2019-03-29,195.32999999999998,199.38084827854837,18991.732215153268,18853.122569346942,38.045552869321774,35.925693225785295,223.55193408639997,-9902540800.807423
2019-02-28,187.352,190.63723218569893,17311.639732685297,18789.01328463503,28.10407289493908,18.667236231414464,224.63297276812796,-12477229369.171518
2019-01-31,181.05599999999998,182.5714881237993,16642.063020051835,17648.478322630133,30.962747943880018,17.563420711742978,225.80703222349052,-15722984975.925243
2018-12-31,177.58999999999997,174.2943254158662,15771.864019253911,16575.188923997015,37.355902524441866,42.56844974894299,227.48317286796032,-18592531509.3452
2018-11-30,173.172,175.7228836105775,17856.232951717273,16756.719997007673,32.67994354712248,49.686730652452695,229.1010363253195,-16377274347.146355
2018-10-31,178.954,190.1019224070517,21884.44757844102,18504.181516470733,65.48805314475518,70.25982763496945,233.47,-14215090101.131584
2018-09-28,189.472,201.98128160470114,22572.44757844102,20771.042702866438,81.52499700275746,83.24476942948155,232.9224,-11745313093.780697
2018-08-31,201.71,210.5308544031341,22761.31273020258,22406.069295694873,88.929889298893,81.09651571913217,233.27484800000002,-8630248640.930443
2018-07-31,208.22000000000003,203.78390293542276,19026.30643885461,21453.355582499404,65.17765550685442,69.08372522287819,233.99414496000003,-11783001503.445768
2018-06-29,209.526,197.5592686236152,18507.573189230185,20098.397452762456,53.56557824615049,49.93989083575992,235.00562785920002,-14751262104.702744
2018-05-31,203.128,193.99617908241015,18684.433695652173,18739.437774578986,19.84919886899148,25.728344226982614,236.091140416384,-11335205912.664892
2018-04-30,191.03199999999998,184.41745272160676,16523.646101992967,17905.217662291776,5.385069341988753,0.0,237.50756322471167,-14421903320.958889
2018-03-29,179.06199999999998,178.87163514773783,16773.45343900368,17327.177745549605,6.256395263850308,23.281159319576417,239.0451144892059,-11821944361.811445
2018-02-28,176.62800000000001,178.6210900984919,17808.582347588715,17035.22729619512,35.305481767688974,20.30665286878228,240.52721677899,-8479818243.022131
2018-01-31,173.092,174.89072673232795,16739.25616745577,17107.097318016054,31.159420289855078,37.99037206248543,242.3329611145698,-11409340426.229628
2017-12-29,169.56400000000002,173.003817821552,16918.482862297053,17155.440459113845,31.21805792163542,54.78514449008451,243.8856203368612,-8730890127.714869
2017-11-30,170.882,172.6192118810347,17180.482862297053,16946.073964016625,61.780479084733656,73.49708754278872,245.4341327435984,-5936801449.141717
2017-10-31,171.13400000000001,171.42614125402315,16899.05464121132,16999.34012193514,52.229299363057315,56.17310087209094,247.03721539847038,-9191819535.936005
2017-09-29,166.334,165.6574275026821,15407.17905623788,16495.572186582085,13.459196102314223,61.54787560080192,248.9287597064398,-12198179768.879848
2017-08-31,165.648,165.10495166845476,16394.845085098994,16233.692927516066,44.64564470808616,60.92622842942904,250.9241349005686,-8594799492.716267
2017-07-31,161.548,159.64663444563652,14868.790422701743,15556.938188012871,27.472527472527474,44.88282817373167,252.97441759857995,-12235836060.99902
2017-06-30,155.98200000000003,154.43775629709103,14396.819653259212,15220.151720353315,20.760664005043083,22.7365712628866,255.18570595055155,-15387543009.77234
2017-05-31,152.726,153.87850419806068,15269.746701846965,14845.118925935973,34.79073243647234,42.84014652709449,257.4454200695626,-11999782123.24458
2017-04-28,150.632,150.46900279870712,14359.273916598528,14675.280090568236,39.0274575560679,48.21380216379282,259.7089284709539,-15509927957.994564
2017-03-31,146.564,148.1993351991381,14359.007653061224,14662.676090502238,23.123678646934408,24.766630335064605,262.10190704037296,-11564444364.213709
2017-02-28,144.21599999999998,144.46289013275873,13694.714912280702,14137.665493980152,29.924760601915168,23.791022652852206,264.6029451811804,-16031079009.668873
2017-01-31,139.682,136.75859342183915,12132.260444020052,13395.327669787328,21.782424695046004,25.74793642087434,267.354804084804,-20901140918.14487
2016-12-30,132.294,129.77906228122612,11579.09083579683,12468.688730699194,0.02705627705624636,0.0,270.4067001665001,-26106137558.99887
2016-11-30,125.668,123.35937485415076,11049.42503711034,11586.92543897574,0.030165912518825166,0.0,273.6498341698301,-31548673967.11087
2016-10-31,119.644,120.08624990276718,11350.88383233533,11326.466568414166,8.351769911504462,21.230598383686427,277.0412308532267,-26523001261.23912
2016-09-30,114.856,117.74083326851147,11299.850326469112,11233.386398638258,10.073382254836588,19.628153404140576,280.33645547029124,-32073876523.434677
2016-08-31,111.806,113.86055551234098,10603.655321782178,11084.796493528871,14.185063410051711,19.630323826643618,283.8925845796971,-37419428994.13585
2016-07-29,109.484,110.643703674894,10417.119654605263,10773.541767618852,17.110481586402315,19.636387240748945,287.490436271291,-43404952616.45785
2016-06-30,106.5,105.62913578326267,9556.634792203016,10192.469922863485,14.40839694656492,19.822956931445106,291.35284499671684,-49225935313.40449
2016-05-31,103.76399999999998,103.70609052217512,9982.650318232872,9985.468255013717,19.189189189189193,21.4505959543999,295.3499018966512,-42643061125.21806
2016-04-29,99.902,100.38406034811675,9370.096422338569,9636.46051092482,15.30722242184693,45.10001203955727,299.4674999345842,-48461502581.37933
2016-03-31,100.47999999999999,103.2527068987445,10895.096422338569,10082.61438763667,53.99944644339884,63.62452626985928,303.6066499332759,-42061370843.838066
2016-02-29,98.97599999999998,101.06513793249636,9665.096422338569,9976.763089005237,41.9209282337774,62.276947152609004,307.7303829319414,-48706048428.88727
2016-01-29,99.324,99.82342528833092,9730.096422338569,10096.763089005237,52.25505443234838,82.9165346941906,312.0331905905802,-42397758599.38933
2015-12-31,100.404,101.63561685888729,10522.636694575902,9972.609846417681,56.39204545454546,83.43752386448098,316.4260544023918,-36958111577.56692
2015-11-30,105.31599999999999,107.1904112392582,11827.060451797646,10693.26452290404,74.97965825874695,83.49048292616327,320.65817549043965,-31414246147.92079
2015-10-30,107.418,111.2936074928388,11947.060451797646,11432.25253272373,64.9672457989177,60.34456613642718,324.85133900024846,-25032100409.89005
2015-09-30,110.07000000000001,110.84573832855921,10992.060451797646,11588.727118464312,70.48825710754018,54.48018009193114,329.20216578025344,-30864772646.147446
2015-08-31,113.154,111.48382555237282,11273.10873664362,11404.076546746306,72.3348783314021,30.207429984326268,333.6390090958585,-24456711718.059822
2015-07-31,116.362,114.7558837015819,12127.754454478887,11464.307880973385,72.8229937393284,33.41607221031907,338.47178927777566,-18786753472.461655
2015-06-30,117.78699999999999,118.31225580105459,12540.254454478887,11980.372548533798,63.58436606291706,35.69264041828539,342.85682506333114,-13755088474.594315
