Date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-01-03,38.68,39.06,38.05,38.7,1.935,12405100,0.0000,1.0
2007-01-04,38.59,39.14,38.26,38.9,1.945,6318400,0.0000,1.0
2007-01-05,38.72,38.79,37.6,38.37,1.9185,6619700,0.0000,1.0
2007-01-08,38.22,38.31,37.17,37.5,1.875,6783000,0.0000,1.0
2007-01-09,37.6,38.06,37.34,37.78,1.889,5703000,0.0000,1.0
2007-01-10,37.49,37.7,37.07,37.15,1.8575,6527500,0.0000,1.0
2007-01-11,37.17,38.0,37.17,37.4,1.87,6465600,0.0000,1.0
2007-01-12,37.36,38.21,37.27,38.2,1.91,4466400,0.0000,1.0
2007-01-16,38.4,38.89,37.97,38.66,1.933,5643700,0.0000,1.0
2007-01-17,38.7,39.0,37.78,37.88,1.894,5026800,0.0000,1.0
2007-01-18,37.5,37.65,36.72,36.98,1.849,9105000,0.0000,1.0
2007-01-19,36.69,37.48,36.6,37.02,1.851,6095900,0.0000,1.0
2007-01-22,37.65,37.9,36.8,36.95,1.8475,8317000,0.0000,1.0
2007-01-23,36.9,37.07,36.3,36.43,1.8215,5313600,0.0000,1.0
2007-01-24,36.51,37.36,36.5,37.26,1.863,5271700,0.0000,1.0
2007-01-25,38.08,38.23,36.78,37.08,1.854,6747600,0.0000,1.0
2007-01-26,37.26,37.26,36.3,36.85,1.8425,4139300,0.0000,1.0
2007-01-29,36.7,37.45,36.54,37.43,1.8715,7395000,0.0000,1.0
2007-01-30,37.29,37.42,36.63,37.05,1.8525,4813500,0.0000,1.0
2007-01-31,36.95,38.19,36.76,37.67,1.8835,7277500,0.0000,1.0
2007-02-01,37.95,39.3,37.85,38.7,1.935,26123100,0.0000,1.0
2007-02-02,37.23,37.74,36.68,37.39,1.8695,25850700,0.0000,1.0
2007-02-05,37.25,37.42,36.77,37.16,1.858,6110900,0.0000,1.0
2007-02-06,37.2,38.41,37.0845,38.27,1.9135,8612700,0.0000,1.0
2007-02-07,38.49,39.52,38.4,38.98,1.949,10503200,0.0000,1.0
2007-02-08,38.95,39.51,38.67,39.1,1.955,5483600,0.0000,1.0
2007-02-09,39.19,39.31,38.66,38.72,1.936,5960100,0.0000,1.0
2007-02-12,38.79,38.99,38.36,38.85,1.9425,3835700,0.0000,1.0
2007-02-13,38.85,39.61,38.85,39.31,1.9655,4505500,0.0000,1.0
2007-02-14,39.23,40.28,39.14,40.14,2.007,6814100,0.0000,1.0
2007-02-15,40.14,40.32,39.86,40.06,2.003,5088200,0.0000,1.0
2007-02-16,39.9,40.44,39.87,40.33,2.0165,4679000,0.0000,1.0
2007-02-20,40.13,41.74,40.0,41.51,2.0755,8903400,0.0000,1.0
2007-02-21,41.19,41.32,40.92,41.26,2.063,4508400,0.0000,1.0
2007-02-22,41.4,42.0,40.89,41.0,2.05,4926100,0.0000,1.0
2007-02-23,41.0,41.2,40.74,40.78,2.039,5497400,0.0000,1.0
2007-02-26,40.86,41.2,40.4,40.8799,2.043995,4035200,0.0000,1.0
2007-02-27,40.19,40.54,38.78,38.83,1.9415,8850700,0.0000,1.0
2007-02-28,38.91,39.58,38.08,39.14,1.957,7687400,0.0000,1.0
2007-03-01,39.32,39.32,38.05,38.85,1.9425,9255800,0.0000,1.0
2007-03-02,38.32,38.87,37.69,37.69,1.8845,7787800,0.0000,1.0
2007-03-05,37.15,38.32,37.04,37.05,1.8525,9565600,0.0000,1.0
2007-03-06,37.69,38.66,37.41,38.58,1.929,12848200,0.0000,1.0
2007-03-07,38.68,39.32,38.28,38.36,1.918,8644600,0.0000,1.0
2007-03-08,38.77,39.22,37.98,38.1,1.905,7629300,0.0000,1.0
2007-03-09,38.48,38.89,38.0,38.84,1.942,6200100,0.0000,1.0
