Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-01-31,1468.9,1470.13,1428.53,1434.23,71.7115,2417214,0.0000,1.0
2020-01-30,1439.96,1457.28,1436.4,1455.84,72.792,1339421,0.0000,1.0
2020-01-29,1458.8,1465.43,1446.74,1458.63,72.9315,1078667,0.0000,1.0
2020-01-28,1443.0,1456.0,1432.47,1452.56,72.628,1577422,0.0000,1.0
2020-01-27,1431.0,1438.07,1421.2,1433.9,71.695,1755201,0.0000,1.0
2020-01-24,1493.59,1495.495,1465.25,1466.71,73.3355,1784644,0.0000,1.0
2020-01-23,1487.64,1495.52,1482.1,1486.65,74.3325,1351354,0.0000,1.0
2020-01-22,1491.0,1503.214,1484.93,1485.95,74.2975,1610846,0.0000,1.0
2020-01-21,1479.12,1491.85,1471.2,1484.4,74.22,2008830,0.0000,1.0
2020-01-17,1462.91,1481.295,1458.22,1480.39,74.0195,2396215,0.0000,1.0
2020-01-16,1447.44,1451.99,1440.92,1451.7,72.585,1173688,0.0000,1.0
2020-01-15,1430.21,1441.395,1430.21,1439.2,71.96,1282685,0.0000,1.0
2020-01-14,1439.01,1441.8,1428.37,1430.88,71.544,1560453,0.0000,1.0
2020-01-13,1436.13,1440.52,1426.02,1439.23,71.9615,1378286,0.0000,1.0
2020-01-10,1427.56,1434.929,1418.35,1429.73,71.4865,1821566,0.0000,1.0
2020-01-09,1420.57,1427.33,1410.27,1419.83,70.9915,1502664,0.0000,1.0
2020-01-08,1392.08,1411.58,1390.84,1404.32,70.216,1529177,0.0000,1.0
2020-01-07,1397.94,1402.99,1390.38,1393.34,69.667,1511693,0.0000,1.0
2020-01-06,1350.0,1396.5,1350.0,1394.21,69.7105,1733149,0.0000,1.0
2020-01-03,1347.86,1372.5,1345.544,1360.66,68.033,1187006,0.0000,1.0
2020-01-02,1341.55,1368.14,1341.55,1367.37,68.3685,1406731,0.0000,1.0
2019-12-31,1330.11,1338.0,1329.085,1337.02,66.851,962468,0.0000,1.0
2019-12-30,1350.0,1353.0,1334.02,1336.14,66.807,1051323,0.0000,1.0
