Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-01-31,243.97,244.45,234.75,236.43,58.8943651085989,9260493,0.0000,1.0
2020-01-30,241.61,246.35,239.4,245.81,61.2309093065376,7262590,0.0000,1.0
2020-01-29,247.39,248.84,243.94,245.54,61.1636527038251,6486279,0.0000,1.0
2020-01-28,242.85,249.27,240.71,247.97,61.7689621282378,7774401,0.0000,1.0
2020-01-27,238.24,242.25,232.23,240.2,59.8334665612885,11763354,0.0000,1.0
2020-01-24,257.5,259.5,248.3,250.48,62.3941994349357,9337839,0.0000,1.0
2020-01-23,251.72,253.2,248.15,252.86,62.9870539329201,6112861,0.0000,1.0
2020-01-22,249.76,253.59,249.0,250.11,62.3020329793667,5980967,0.0000,1.0
2020-01-21,247.81,249.29,246.57,247.94,61.7614891723808,5321260,0.0000,1.0
2020-01-17,249.7,250.0,247.37,249.28,62.0952812006578,6344764,0.0000,1.0
2020-01-16,247.72,249.17,246.78,248.93,62.0080967156601,7104791,0.0000,1.0
2020-01-15,247.79,248.69,244.53,245.57,61.171125659682,6577636,0.0000,1.0
2020-01-14,250.26,251.28,246.75,247.28,61.597084143528,8989483,0.0000,1.0
2020-01-13,247.66,252.99,246.75,251.98,62.767847227783,7739168,0.0000,1.0
2020-01-10,247.33,248.55,243.75,244.32,60.8597524989759,7911560,0.0000,1.0
2020-01-09,243.85,245.93,240.86,243.02,60.5359244118415,6386053,0.0000,1.0
2020-01-08,239.76,242.04,238.15,240.38,59.8783042964302,6931017,0.0000,1.0
2020-01-07,238.2,241.77,236.39,239.93,59.766209958576,7980144,0.0000,1.0
2020-01-06,232.32,237.27,231.27,237.06,59.0512971815947,6572812,0.0000,1.0
2020-01-03,235.1,237.83,234.1,236.07,58.8046896383155,5144308,0.0000,1.0
2020-01-02,238.75,239.91,236.72,239.91,59.7612279880047,5941969,0.0000,1.0
2019-12-31,230.9,235.68,230.13,235.3,58.6128837713205,5780283,0.0000,1.0
2019-12-30,235.99,236.2,231.06,232.32,57.8705701561971,6456178,0.0000,1.0
2019-12-27,239.8,240.34,235.81,236.87,59.0039684611674,6370251,0.0000,1.0
2019-12-26,238.76,240.32,238.0,239.19,59.581877047438,4580451,0.0000,1.0
2019-12-24,238.2,239.31,236.82,238.62,59.439890886156,3471597,0.0000,1.0
2019-12-23,240.52,241.81,238.39,238.82,59.489710591869,8884815,0.0000,1.0
2019-12-20,238.13,240.39,237.36,239.37,59.6267147825797,15084607,0.0000,1.0
2019-12-19,230.9,236.0,230.7,235.46,58.6527395358909,11327674,0.0000,1.0
2019-12-18,229.69,231.94,229.35,229.51,57.1706032909298,8606969,0.0000,1.0
2019-12-17,225.9,229.2,225.52,228.29,56.8667030860806,8081598,0.0000,1.0
2019-12-16,225.9,228.06,224.77,225.15,56.0845337063868,8032684,0.0000,1.0
2019-12-13,224.19,228.98,221.82,223.99,55.7955794132515,11374183,0.0000,1.0
2019-12-12,216.18,224.8,215.82,224.07,55.8155072955367,10152084,0.0000,1.0
2019-12-11,214.4,217.56,214.3,217.34,54.139074198295,5850247,0.0000,1.0
2019-12-10,213.38,216.06,211.26,213.98,53.3021031423169,6417228,0.0000,1.0
2019-12-09,211.25,214.37,210.9,212.17,52.8512348056144,5378320,0.0000,1.0
2019-12-06,211.52,213.49,211.12,212.17,52.8512348056144,5810457,0.0000,1.0
2019-12-05,210.3,210.93,207.51,208.74,51.9968268526368,4628444,0.0000,1.0
