Date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-31,201.49,203.98,198.26,198.97,194.659785536596,16693808,0.0,1.0
2020-01-30,204.0,208.5,203.32,208.21,203.699622790244,8514602,0.0,1.0
2020-01-29,204.3,205.92,202.51,204.86,200.422192617114,7038886,0.0,1.0
2020-01-28,202.39,203.84,201.78,202.85,198.455734513236,7210988,0.0,1.0
2020-01-27,200.0,203.33,199.1,201.69,197.320863169705,7194932,0.0,1.0
2020-01-24,207.42,207.99,204.21,205.0,200.55915984823,7811986,0.0,1.0
2020-01-23,207.9,208.4,205.3,206.52,202.046232643202,8515332,0.0,1.0
2020-01-22,207.51,210.13,207.29,207.9,203.396338207058,8063844,0.0,1.0
2020-01-21,204.13,208.39,203.8,207.29,202.799552414339,14850536,0.0,1.0
2020-01-17,201.76,204.75,199.98,204.7,200.265658638696,12182139,0.0,1.0
2020-01-16,201.0,201.5,199.78,200.95,196.596893519521,9981998,0.0,1.0
2020-01-15,197.0,200.15,196.32,199.8,195.471805549641,10826797,0.0,1.0
2020-01-14,196.74,196.95,195.14,196.05,191.803040430466,6236437,0.0,1.0
2020-01-13,194.44,195.6,194.28,195.33,191.098637527584,11280209,0.0,1.0
2020-01-10,193.5,194.57,193.11,193.77,189.572431238007,6586393,0.0,1.0
2020-01-09,193.0,193.92,192.52,193.25,189.063695808148,6747953,0.0,1.0
2020-01-08,189.49,192.5,188.8,191.92,187.762507112548,5711950,0.0,1.0
2020-01-07,189.59,190.1,188.6,188.69,184.602477423232,4394553,0.0,1.0
2020-01-06,188.0,189.21,187.16,189.19,185.091646105788,10107004,0.0,1.0
2020-01-03,188.41,190.96,187.92,189.6,185.492764425485,4899633,0.0,1.0
2020-01-02,189.0,191.14,188.72,191.12,186.979837220457,8732563,0.0,1.0
2019-12-31,187.06,188.0,186.54,187.9,183.829590904792,5272954,0.0,1.0
2019-12-30,189.31,189.48,187.12,187.83,183.761107289234,4833557,0.0,1.0
2019-12-27,189.74,189.89,188.47,189.39,185.287313578811,5448642,0.0,1.0
2019-12-26,187.89,189.18,187.7,189.16,185.062295984835,5237031,0.0,1.0
2019-12-24,187.1,188.02,186.91,187.57,183.506739574305,2420922,0.0,1.0
2019-12-23,188.15,188.41,187.0,187.08,183.027354265399,5831726,0.0,1.0
2019-12-20,187.6,188.17,186.3,188.0,183.927424641303,11109535,0.0,1.0
2019-12-19,184.5,186.58,184.5,186.54,182.499052088238,5854148,0.0,1.0
2019-12-18,185.52,186.44,184.9,184.9,180.894578809452,8965455,0.0,1.0
2019-12-17,186.5,186.78,184.1,185.52,181.501147975822,10208671,0.0,1.0
2019-12-16,186.33,186.82,185.77,186.24,182.205550878704,8249855,0.0,1.0
2019-12-13,182.5,185.52,182.04,185.14,181.129379777079,8558131,0.0,1.0
2019-12-12,181.66,183.33,180.83,182.64,178.683536364296,11187168,0.0,1.0
2019-12-11,183.07,183.08,181.19,182.01,178.067183824275,7098285,0.0,1.0
2019-12-10,182.55,183.15,181.9,182.26,178.311768165553,8625580,0.0,1.0
2019-12-09,181.9,183.26,181.3,182.92,178.957470826528,10232676,0.0,1.0
2019-12-06,182.74,183.28,181.34,182.17,178.223717802693,14526640,0.0,1.0
2019-12-05,181.25,182.03,180.07,181.89,177.949783340461,4637577,0.0,1.0
2019-12-04,182.66,182.66,180.47,180.6,176.687728139465,10650367,0.0,1.0
2019-12-03,179.9,182.14,179.66,181.9,177.959566714112,4562038,0.0,1.0
2019-12-02,184.24,184.37,179.87,181.79,177.85194960395,6883126,0.0,1.0
2019-11-29,183.93,184.85,183.36,184.51,180.513027237058,3139087,0.0,1.0
2019-11-27,183.0,184.54,182.26,184.37,180.376060005942,11452550,0.0,1.0
2019-11-26,181.46,182.92,181.21,182.55,178.595486001436,7084820,0.0,1.0
2019-11-25,180.4,181.35,180.11,180.97,177.049712964557,5457766,0.0,1.0
2019-11-22,180.13,180.47,178.35,179.47,175.582206916887,6864974,0.0,1.0
2019-11-21,181.17,181.81,179.32,179.89,175.993108610234,5111375,0.0,1.0
