Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2020-01-31,296.2400,327.8500,292.7500,309.5100,75.6888,734044103,0.0000
2019-12-31,267.2700,293.9700,256.2900,293.6500,71.8104,598871365,0.0000
2019-11-29,249.5400,268.0000,249.1600,267.2500,65.3544,448922253,0.7700
2019-10-31,225.0700,249.7500,215.1300,248.7600,60.6528,621478768,0.0000
2019-09-30,206.4300,226.4200,204.2200,223.9700,54.6085,547408488,0.0000
2019-08-30,213.9000,218.0300,192.5800,208.7400,50.8951,683515746,0.7700
2019-07-31,203.1700,221.3700,198.4100,213.0400,51.7453,473957094,0.0000
2019-06-28,175.6000,201.5700,170.2700,197.9200,48.0728,515218768,0.0000
2019-05-31,209.8800,215.3100,174.9900,175.0700,42.5227,739456573,0.7700
2019-04-30,191.6400,208.4800,188.3800,200.6700,48.5511,506117812,0.0000
2019-03-29,174.2800,197.6900,169.5000,189.9500,45.9575,650981384,0.0000
2019-02-28,166.9600,175.8700,165.9300,173.1500,41.8928,472540723,0.7300
2019-01-31,154.8900,169.0000,142.0000,166.4400,40.0976,828099179,0.0000
2018-12-31,184.4600,184.9400,146.5900,157.7400,38.0016,898917007,0.0000
2018-11-30,219.0500,222.3600,170.2600,178.5800,43.0222,961321947,0.7300
2018-10-31,227.9500,233.4700,206.0900,218.8600,52.5423,789748068,0.0000
2018-09-28,228.4100,229.6700,215.3000,225.7400,54.1940,678972040,0.0000
2018-08-31,199.1300,228.8700,197.3100,227.6300,54.6477,700318837,0.7300
2018-07-31,183.8200,195.9600,183.4200,190.2900,45.5233,393843881,0.0000
2018-06-29,187.9900,194.2000,180.7300,185.1100,44.2840,527624365,0.0000
2018-05-31,166.4100,190.3700,165.2700,186.8700,44.7051,620976206,0.7300
2018-04-30,166.6400,178.9400,160.6300,165.2600,39.3829,666360147,0.0000
2018-03-29,178.5400,183.5000,164.9400,167.7800,39.9834,701387082,0.0000
2018-02-28,167.1700,180.6200,150.2400,178.1200,42.4475,888378184,0.6300
2018-01-31,170.1600,180.1000,164.7000,167.4300,39.7399,639245534,0.0000
2017-12-29,169.9500,177.2000,166.4600,169.2300,40.1672,518560008,0.0000
2017-11-30,169.8700,176.2400,165.2800,171.8500,40.7890,581374608,0.6300
2017-10-31,154.2600,169.6499,152.4600,169.0400,39.9779,496135305,0.0000
2017-09-29,164.8000,164.9400,149.1600,154.1200,36.4493,669594016,0.0000
2017-08-31,149.1000,164.5200,148.4100,164.0000,38.7859,638221161,0.6300
2017-07-31,144.8800,153.9900,142.4100,148.7300,35.0325,411377229,0.0000
2017-06-30,153.1700,155.9800,142.2000,144.0200,33.9231,664986406,0.0000
2017-05-31,145.1000,156.6500,144.2700,152.7600,35.9817,635292989,0.6300
2017-04-28,143.7100,145.4600,140.0600,143.6500,33.6980,371280180,0.0000
2017-03-31,137.8900,144.5000,137.0500,143.6600,33.7003,562091214,0.0000
2017-02-28,127.0300,137.4800,127.0100,136.9900,32.1357,574968547,0.5700
2017-01-31,115.8000,122.4400,114.7600,121.3500,28.3448,563331160,0.0000
2016-12-30,110.3650,118.0166,108.2500,115.8200,27.0531,608771645,0.0000
2016-11-30,113.4600,113.7700,104.0800,110.5200,25.8151,721554967,0.5700
2016-10-31,112.7100,118.6900,112.2800,113.5400,26.3836,686914224,0.0000
2016-09-30,106.1400,116.1800,102.5300,113.0500,26.2697,970096738,0.0000
2016-08-31,104.4100,110.2300,104.0000,106.1000,24.6547,630128567,0.5700
2016-07-29,95.4900,104.5500,94.3700,104.2100,24.0859,685779613,0.0000
2016-06-30,99.0200,101.8900,91.5000,95.6000,22.0959,780630235,0.0000
2016-05-31,93.9650,100.7300,89.4700,99.8600,23.0805,901144768,0.5700
2016-04-29,108.7800,112.3900,92.5100,93.7400,21.5343,872383623,0.0000
2016-03-31,97.6500,110.4200,97.4200,108.9900,25.0376,745756771,0.0000
2016-02-29,96.4700,98.8900,92.5900,96.6900,22.2120,810862547,0.5200
2016-01-29,102.6100,105.8500,92.3900,97.3400,22.2416,1271848087,0.0000
2015-12-31,118.7500,119.8600,104.8200,105.2600,24.0513,922626259,0.0000
2015-11-30,119.8700,123.8200,111.0000,118.3000,27.0308,750606735,0.5200
2015-10-30,109.0700,121.2200,107.3100,119.5000,27.1881,1113703829,0.0000
2015-09-30,110.1800,116.8900,107.3600,109.9500,25.0153,1203789074,0.0000
2015-08-31,121.5000,122.5700,92.0000,112.7600,25.6547,1606359115,0.5200
2015-07-31,126.9000,132.9700,119.2200,121.3000,27.4735,1058280697,0.0000
2015-06-30,131.2000,131.3900,124.4800,125.4250,28.4078,878606841,0.0000
2015-05-29,126.1000,132.9700,123.3600,130.2800,29.5074,954152126,0.5200
2015-04-30,124.8200,134.5400,123.1000,125.1500,28.2284,996135511,0.0000
2015-03-31,129.2500,130.2800,121.6300,124.4300,28.0660,1138641910,0.0000
2015-02-27,118.0500,133.6000,116.0800,128.4600,28.9749,1136535493,0.4700
2015-01-30,111.3900,120.0000,104.6300,117.1600,26.3230,1304879185,0.0000
2014-12-31,118.8100,119.2500,106.2600,110.3800,24.7997,1073775862,0.0000
2014-11-28,108.2200,119.7500,107.7200,118.9300,26.7207,820471729,0.4700
2014-10-31,100.5900,108.0400,95.1800,108.0000,24.1605,1360280122,0.0000
