Date,open,high,low,close,adjusted_close,volume,dividend_amount
2007-01-31,3678.0000,3686.0000,3541.1000,3667.3500,73.3470,313300,0.0000
2007-02-28,3671.4000,3690.0000,3460.0000,3523.0000,70.4600,332700,0.0000
2007-03-30,3514.0000,3657.9000,3493.0300,3640.0000,72.8000,262600,0.0000
2007-04-30,3610.0000,3667.3200,3586.0000,3628.0000,72.5600,210800,0.0000
2007-05-31,3634.0000,3679.5000,3590.0000,3625.0000,72.5000,280700,0.0000
2007-06-29,3630.0000,3650.0000,3538.0000,3605.0000,72.1000,239100,0.0000
2007-07-31,3615.0000,3723.0000,3558.0000,3604.0000,72.0800,241300,0.0000
2007-08-31,3598.0000,3999.9700,3580.0000,3890.0000,77.8000,419400,0.0000
2007-09-28,3898.0000,4000.0000,3881.0000,3952.0000,79.0400,276000,0.0000
2007-10-31,3968.0000,4414.0000,3949.0000,4414.0000,88.2800,401100,0.0000
2007-11-30,4400.0000,4698.0000,4367.0000,4690.0000,93.8000,566000,0.0000
2007-12-31,4706.0000,5059.0000,4365.0000,4736.0000,94.7200,526700,0.0000
2008-01-31,4740.0000,4849.0000,4150.0000,4550.0000,91.0000,558900,0.0000
2008-02-29,4560.0000,4858.0000,4467.0000,4674.5000,93.4900,355600,0.0000
2008-03-31,4530.9900,4620.0000,4230.0000,4473.0000,89.4600,451200,0.0000
2008-04-30,4500.0000,4518.9900,4212.0000,4457.0000,89.1400,413400,0.0000
2008-05-30,4459.0000,4520.0000,4035.0000,4498.0000,89.9600,821300,0.0000
2008-06-30,4484.0000,4519.8800,3980.0000,4012.0000,80.2400,471900,0.0000
2008-07-31,3982.0000,4092.0000,3701.0000,3829.0000,76.5800,2604800,0.0000
2008-08-29,3845.0000,3999.9900,3755.0000,3902.0000,78.0400,424500,0.0000
2008-09-30,3925.0000,4595.0000,3820.0000,4395.0000,87.9000,724100,0.0000
2008-10-31,4410.0000,4700.0000,3000.0000,3840.0000,76.8000,1243100,0.0000
2008-11-28,3800.0000,3969.0000,2451.0000,3499.0000,69.9800,1176100,0.0000
2008-12-31,3250.0000,3560.0000,3000.0100,3214.0000,64.2800,743100,0.0000
2009-01-30,3205.0000,3415.9900,2501.0000,2989.0000,59.7800,614100,0.0000
2009-02-27,2890.0000,3420.0000,2241.0000,2564.0000,51.2800,979500,0.0000
2009-03-31,2385.0000,2989.0000,2251.0000,2820.0000,56.4000,1127000,0.0000
2009-04-30,2765.0000,3155.0000,2755.0000,3065.0000,61.3000,779700,0.0000
2009-05-29,3055.0000,3141.0000,2846.0000,2972.0000,59.4400,648000,0.0000
2009-06-30,2985.5000,3026.9000,2741.0100,2895.7300,57.9146,599800,0.0000
2009-07-31,2897.0000,3199.8000,2733.0000,3180.5000,63.6100,749200,0.0000
2009-08-31,3201.0000,3569.0000,3155.0000,3286.0000,65.7200,716500,0.0000
2009-09-30,3293.0000,3449.9500,3180.9600,3323.0000,66.4600,587700,0.0000
2009-10-30,3281.6700,3360.5000,3211.0000,3283.0000,65.6600,706500,0.0000
2009-11-30,3280.0000,3500.0000,3241.0400,3353.0000,67.0600,893400,0.0000
2009-12-31,3373.0000,3373.0000,3260.9600,3286.0000,65.7200,700800,0.0000
2010-01-29,3300.0000,3502.5000,67.8700,76.4300,76.4300,72882344,0.0000
2010-02-26,77.7900,80.1800,71.6100,80.1300,80.1300,565057723,0.0000
2010-03-31,79.9900,83.5700,79.1400,81.2700,81.2700,154218600,0.0000
2010-04-30,81.6000,81.9500,75.5200,77.0000,77.0000,92127400,0.0000
2010-05-28,77.7000,78.8000,68.4800,70.5500,70.5500,122890600,0.0000
2010-06-30,70.0500,81.9000,69.6100,79.6900,79.6900,282968800,0.0000
2010-07-30,79.5600,80.2300,76.2100,78.1200,78.1200,142378000,0.0000
2010-08-31,78.7800,80.9000,75.6200,78.7800,78.7800,119398600,0.0000
2010-09-30,79.3000,85.8600,78.9900,82.6800,82.6800,139519500,0.0000
2010-10-29,83.3000,84.4500,78.7200,79.5600,79.5600,92603000,0.0000
2010-11-30,79.7600,83.8000,78.8200,79.6800,79.6800,93500500,0.0000
2010-12-31,80.7200,81.9200,79.2000,80.1100,80.1100,81550000,0.0000
2011-01-31,80.5000,83.4800,79.1400,81.7500,81.7500,84128100,0.0000
2011-02-28,82.0600,87.6500,82.0600,87.2800,87.2800,73848900,0.0000
2011-03-31,87.5400,87.6100,80.9100,83.6300,83.6300,105971400,0.0000
2011-04-29,84.0900,84.0900,79.7800,83.3000,83.3000,78134000,0.0000
2011-05-31,82.3900,82.5000,77.2300,79.0700,79.0700,78103900,0.0000
2011-06-30,78.7600,78.8900,73.2300,77.3900,77.3900,110372400,0.0000
2011-07-29,77.2400,78.1900,74.1300,74.1700,74.1700,94539400,0.0000
2011-08-31,75.7000,75.7000,66.5100,73.0000,73.0000,217963100,0.0000
2011-09-30,73.2100,74.2900,65.3500,71.0400,71.0400,174126400,0.0000
2011-10-31,71.0600,80.5800,69.0700,77.8600,77.8600,158242300,0.0000
2011-11-30,76.1200,79.0100,72.6000,78.7600,78.7600,122847300,0.0000
2011-12-30,78.2100,78.9000,73.7300,76.3000,76.3000,106429200,0.0000
2012-01-31,77.3800,80.0762,75.8600,78.3700,78.3700,83703600,0.0000
2012-02-29,78.7900,80.4900,77.8900,78.4500,78.4500,88645600,0.0000
2012-03-30,78.6400,82.4700,78.1800,81.1500,81.1500,91952500,0.0000
2012-04-30,81.1500,82.0300,78.2100,80.4500,80.4500,82267700,0.0000
2012-05-31,80.4700,82.5900,78.2800,79.3600,79.3600,95266900,0.0000
2012-06-29,78.3300,83.3300,78.3300,83.3300,83.3300,94865500,0.0000
2012-07-31,83.3400,85.4382,82.1400,84.8400,84.8400,76748000,0.0000
2012-08-31,85.0400,86.0100,82.1200,84.3400,84.3400,77094700,0.0000
2012-09-28,84.4000,89.9500,84.0300,88.2000,88.2000,94139400,0.0000
2012-10-31,88.3500,90.9300,86.1800,86.3500,86.3500,78756500,0.0000
2012-11-30,86.6400,88.8833,83.8500,88.0800,88.0800,94389100,0.0000
2012-12-31,88.2800,90.8300,86.9500,89.7000,89.7000,103893100,0.0000
2013-01-31,91.3200,97.7501,91.2900,96.9300,96.9300,94793900,0.0000
2013-02-28,97.5600,102.3300,96.3600,102.1600,102.1600,80903100,0.0000
2013-03-28,101.4500,104.4800,100.4400,104.2000,104.2000,74033200,0.0000
2013-04-30,104.1700,108.0400,102.6900,106.3200,106.3200,80169100,0.0000
2013-05-31,105.9700,115.0000,105.9700,114.0700,114.0700,94406100,0.0000
2013-06-28,114.7600,115.9800,109.5300,111.9200,111.9200,85956400,0.0000
2013-07-31,112.5100,119.3000,111.5800,115.8700,115.8700,69327000,0.0000
2013-08-30,116.9800,119.1400,110.7200,111.2200,111.2200,65857600,0.0000
2013-09-30,112.3200,117.9700,110.7200,113.5100,113.5100,76045100,0.0000
2013-10-31,113.7400,117.7000,110.8400,115.0900,115.0900,78695800,0.0000
2013-11-29,115.2800,117.3290,113.5000,116.5300,116.5300,64369900,0.0000
