Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,158.78,174.05,156.51,170.23,165.0593,555989763,0.0
2019-12-31,151.81,159.55,146.65,157.7,152.9099,452664147,0.0
2019-11-29,144.26,152.5,142.97,151.38,146.7819,393028043,0.51
2019-10-31,139.66,145.67,133.22,143.37,138.5429,560654410,0.0
2019-09-30,136.61,142.37,134.51,139.03,134.3491,477645820,0.0
2019-08-30,137.0,140.94,130.78,137.86,133.2185,585509525,0.46
2019-07-31,136.63,141.68,134.67,136.27,131.2314,484553299,0.0
2019-06-28,123.85,138.4,119.01,133.96,129.0068,508324437,0.0
2019-05-31,130.53,130.65,123.04,123.68,119.1069,547218448,0.46
2019-04-30,118.95,131.37,118.1,130.6,125.3137,433157868,0.0
2019-03-29,112.89,120.82,108.8,117.94,113.1661,589045341,0.0
2019-02-28,103.78,113.24,102.35,112.03,107.4953,469095970,0.46
2019-01-31,99.55,107.9,97.2,104.43,99.7746,714204787,0.0
2018-12-31,113.0,113.42,93.96,101.57,97.0421,944287635,0.0
2018-11-30,107.05,112.24,99.35,110.89,105.9466,720228643,0.46
2018-10-31,114.75,116.18,100.11,106.81,101.6033,927547942,0.0
2018-09-28,110.85,115.29,107.23,114.37,108.7947,480255674,0.0
2018-08-31,106.03,112.78,104.84,112.33,106.8542,456630721,0.42
2018-07-31,98.1,111.15,98.0,106.08,100.5167,569501573,0.0
2018-06-29,99.28,102.69,97.26,98.61,93.4385,602585341,0.0
2018-05-31,93.21,99.99,92.45,98.84,93.6564,509418119,0.42
2018-04-30,90.47,97.9,87.51,93.52,88.234,668258570,0.0
2018-03-29,93.99,97.24,87.08,91.27,86.1111,732866406,0.0
2018-02-28,94.79,96.07,83.83,93.77,88.4698,690287596,0.42
2018-01-31,86.13,95.45,85.5,95.01,89.2271,543377322,0.0
2017-12-29,83.6,87.4999,80.7,85.54,80.3335,447828256,0.0
2017-11-30,83.68,85.06,82.24,84.17,79.0469,415711970,0.42
2017-10-31,74.71,86.2,73.71,83.18,77.7237,440510118,0.0
2017-09-29,74.71,75.97,72.92,74.49,69.6038,367134396,0.0
2017-08-31,73.1,74.96,71.28,74.77,69.8654,429156682,0.39
2017-07-31,69.33,74.42,68.02,72.7,67.5713,451248934,0.0
2017-06-30,70.24,72.89,68.09,68.93,64.0672,610120893,0.0
2017-05-31,68.68,70.74,67.14,69.84,64.913,505249296,0.39
2017-04-28,65.81,69.14,64.85,68.46,63.2748,428857613,0.0
2017-03-31,64.13,66.19,63.62,65.86,60.8718,489173200,0.0
2017-02-28,64.355,65.24,62.75,63.98,59.1342,440744043,0.39
2017-01-31,62.79,65.91,61.95,64.65,59.3947,494435826,0.0
2016-12-30,60.11,64.1,58.8,62.14,57.0887,513579428,0.0
2016-11-30,59.97,61.41,57.28,60.26,55.3615,613056964,0.39
2016-10-31,57.405,61.3699,56.315,59.92,54.6869,614841775,0.0
2016-09-30,57.01,58.19,55.61,57.6,52.5695,526855083,0.0
2016-08-31,56.6,58.7,56.14,57.46,52.4417,467079004,0.36
2016-07-29,51.13,57.29,50.39,56.68,51.4077,647587634,0.0
2016-06-30,52.44,52.95,48.035,51.17,46.4102,823987498,0.0
