Date,open,high,low,close,adjusted_close,volume,dividend_amount
2007-01-31,31.1400,35.6700,30.5000,34.0000,9.4027,49660600,0.0000
2007-02-28,33.9600,37.4500,29.1800,29.9300,8.2772,85518900,0.0000
2007-03-30,28.9574,30.4000,26.5700,29.4100,8.1334,59610700,0.0000
2007-04-30,29.4200,34.1800,29.0800,32.5600,9.0045,50812200,0.0000
2007-05-31,32.7100,34.9600,31.0000,33.2800,9.2036,66718800,0.0000
2007-06-29,32.9000,34.0900,29.0500,29.7100,8.2163,52323400,0.0000
2007-07-31,29.7100,34.1000,29.3700,30.7700,8.5095,59189000,0.0000
2007-08-31,30.5500,33.7700,28.4800,32.6600,9.0322,73256400,0.0000
2007-09-28,32.7000,39.0000,32.1900,37.6800,10.4205,42821900,0.0000
2007-10-31,37.8400,47.9900,37.6500,46.7000,12.9149,64004500,0.0000
2007-11-30,46.5300,50.4700,38.6900,43.3600,11.9913,72503500,0.0000
2007-12-31,43.4800,50.0000,42.8800,49.4900,13.6865,37544600,0.0000
2008-01-31,49.8000,49.9000,34.7501,46.2700,12.7960,55683900,0.0000
2008-02-29,46.0200,46.5900,38.6400,41.5100,11.4796,59587500,0.0000
2008-03-31,41.6000,42.5900,35.1400,38.6600,10.6915,54341700,0.0000
2008-04-30,39.0400,42.2900,36.2000,36.4500,10.0803,52381400,0.0000
2008-05-30,36.4500,40.0000,32.3200,35.0300,9.6876,72187000,0.0000
2008-06-30,35.0000,35.2700,26.4700,26.5500,7.3424,66304300,0.0000
2008-07-31,26.1100,30.6200,22.7600,27.7700,7.6798,88589700,0.0000
2008-08-29,27.8000,34.7900,25.6800,32.6900,9.0405,74755400,0.0000
2008-09-30,33.0900,38.8057,27.1000,30.5700,8.4542,79810400,0.0000
2008-10-31,32.5500,34.8800,22.7600,32.4600,8.9769,114032800,0.0000
2008-11-28,32.4800,33.9400,14.9600,21.5000,5.9459,86504300,0.0000
2008-12-31,20.8300,27.6600,18.1300,24.7100,6.8336,59180900,0.0000
2009-01-30,24.4800,27.3925,18.6600,21.8200,6.0343,72035500,0.0000
2009-02-27,20.7000,25.0700,19.2700,20.9000,5.7799,77469500,0.0000
2009-03-31,20.2800,24.0000,18.3500,19.5800,5.4149,100819300,0.0000
2009-04-30,18.4500,22.6100,17.6100,19.2300,5.3181,84674600,0.0000
2009-05-29,19.0400,21.8000,17.5100,21.1100,5.8380,96315600,0.0000
2009-06-30,21.4000,22.9300,19.7800,21.3100,5.8933,54373000,0.0000
2009-07-31,21.0000,21.4674,18.7100,21.1300,5.8435,55341600,0.0000
2009-08-31,21.8200,23.2380,20.1700,21.9500,6.0703,48090000,0.0000
2009-09-30,21.9000,22.9900,20.5500,21.0500,5.8214,54671300,0.0000
2009-10-30,20.8600,21.0200,18.0000,18.0600,4.9945,66363500,0.0000
2009-11-30,17.9200,19.9000,17.6300,18.6800,5.1660,65039400,0.0000
2009-12-31,18.9500,20.5800,18.8900,19.8200,5.4812,46628600,0.0000
2010-01-29,19.9200,20.4250,17.9900,17.9900,4.9752,44443400,0.0000
2010-02-26,18.1500,19.2700,17.8700,18.6300,5.1521,59005600,0.0000
2010-03-31,18.7000,21.3300,18.5700,21.1200,5.8408,57045200,0.0000
2010-04-30,21.2900,23.1100,20.6000,21.0000,5.8076,70050100,0.0000
2010-05-28,21.2800,21.4200,17.5400,18.5900,5.1411,84966200,0.0000
2010-06-30,18.5800,19.7000,17.7700,17.7800,4.9171,56115800,0.0000
2010-07-30,17.8900,20.1000,17.1800,19.4700,5.3845,47684800,0.0000
2010-08-31,19.7200,20.5400,17.8100,17.9100,4.9530,59071200,0.0000
2010-09-30,18.1400,20.1700,18.0200,19.4300,5.3734,40183000,0.0000
2010-10-29,19.5400,21.5200,19.0700,21.1100,5.8380,39430900,0.0000
2010-11-30,21.2900,22.3200,20.9890,21.4700,5.9376,43873300,0.0000
2010-12-31,21.6800,24.3400,21.6800,23.7300,6.5626,53351600,0.0000
2011-01-31,23.9900,25.2300,23.0900,24.4800,6.7700,38634900,0.0000
2011-02-28,24.6300,29.7100,24.6000,28.6100,7.9121,94532700,0.0000
2011-03-31,28.6200,28.7700,24.2900,25.8400,7.1461,51736300,0.0000
2011-04-29,25.7900,29.5000,25.6000,27.1200,7.5001,68450300,0.0000
2011-05-31,27.1800,28.0800,24.1750,25.5200,7.0576,47950500,0.0000
2011-06-30,25.3700,25.4400,23.0200,25.3000,6.9967,39464600,0.0000
2011-07-29,25.2400,26.3200,22.7400,24.0700,6.6566,38835400,0.0000
2011-08-31,24.3500,24.4700,20.3200,23.6900,6.5515,67933800,0.0000
2011-09-30,23.8500,25.9900,21.3500,23.1400,6.3994,64952800,0.0000
2011-10-31,22.9500,26.0000,21.6900,25.0500,6.9276,59351900,0.0000
2011-11-30,24.1000,26.8100,23.2700,26.2500,7.2595,46159900,0.0000
2011-12-30,26.0700,26.5000,23.5600,24.5100,6.7783,29599900,0.0000
2012-01-31,25.0300,26.2700,24.1400,24.7600,6.8474,30071600,0.0000
2012-02-29,24.9500,26.9900,24.5000,26.3400,7.2844,41254500,0.0000
2012-03-30,26.3900,27.3400,25.4100,25.9000,7.1627,33662000,0.0000
2012-04-30,25.8200,26.1200,24.4000,24.5700,6.7949,45385200,0.0000
2012-05-31,24.5100,24.7800,21.4800,21.8800,6.0509,82821600,0.0000
2012-06-29,21.4900,22.7300,21.0300,22.6700,6.3076,45887800,0.1300
2012-07-31,22.7800,23.5000,21.5800,22.7000,6.3160,28465500,0.0000
2012-08-31,22.8500,24.1250,22.3500,22.8700,6.3633,28443100,0.0000
2012-09-28,22.7900,24.5000,22.7600,23.2900,6.5155,24893200,0.1300
2012-10-31,23.3800,24.5800,23.1100,23.7800,6.6526,25897900,0.0000
2012-11-30,23.8900,24.5200,22.6300,24.2300,6.7785,23737700,0.0000
2012-12-31,24.3400,26.8000,23.4000,24.9900,7.0285,35683300,0.1300
2013-01-31,25.4100,28.4900,25.2700,28.3200,7.9651,23655500,0.0000
2013-02-28,28.6200,32.1499,28.1150,31.6600,8.9044,39627200,0.0000
2013-03-28,31.6000,32.8900,31.1800,32.3000,9.1212,23700100,0.1300
2013-04-30,32.2800,32.5000,27.4700,29.4800,8.3249,48859300,0.0000
2013-05-31,29.3400,32.4450,29.1000,31.4600,8.8840,33120000,0.0000
2013-06-28,31.4600,33.4300,30.5300,32.7900,9.2980,27805600,0.1300
2013-07-31,32.9500,34.4100,31.8700,32.4000,9.1874,22108800,0.0000
2013-08-30,32.7000,33.2100,29.6900,29.8600,8.4672,27943600,0.0000
2013-09-30,30.3500,32.6800,29.5100,32.1100,9.1434,28389500,0.1300
2013-10-31,32.1000,36.2500,31.7600,35.4300,10.0887,26962400,0.0000
2013-11-29,35.4200,39.8300,35.0100,39.2900,11.1879,22747900,0.0000
2013-12-31,39.4700,40.6410,38.2100,39.8000,11.3712,24577300,0.1300
2014-01-31,39.8900,40.7400,37.0600,38.1500,10.8997,25983400,0.0000
2014-02-28,38.1600,39.7900,36.3700,38.3900,10.9683,24705500,0.0000
2014-03-31,37.9300,41.2500,36.3600,36.9400,10.5889,35803600,0.1300
2014-04-30,37.3100,37.3300,33.4900,36.9000,10.5774,58779400,0.0000
2014-05-30,36.9500,38.1600,34.7000,37.9000,10.8641,25074000,0.0000
2014-06-30,37.9500,39.2400,36.2400,38.6200,11.1160,28798800,0.1500
2014-07-31,38.8000,43.2550,38.3100,42.1900,12.1435,30828700,0.0000
2014-08-29,42.2000,44.0600,40.9100,43.4700,12.5119,18727500,0.0000
2014-09-30,43.8000,44.3300,41.8300,42.4200,12.2520,19052551,0.1500
2014-10-31,42.4300,43.3900,38.4300,43.2600,12.4946,25165852,0.0000
2014-11-28,43.1100,44.9700,43.0000,44.9100,12.9711,13903425,0.0000
2014-12-31,44.8500,49.7100,44.2600,47.9600,13.8974,21195082,0.1500
2015-01-30,48.2200,49.3900,44.8200,45.6000,13.2136,23312475,0.0000
2015-02-27,45.6100,51.2200,45.6100,50.1600,14.5349,17101589,0.0000
2015-03-31,50.3700,51.1810,48.9100,50.9400,14.8058,20908770,0.1500
2015-04-30,50.6400,50.9300,48.1100,48.6300,14.1344,23234916,0.0000
2015-05-29,48.8400,52.9400,48.6200,51.7500,15.0413,15963194,0.0000
2015-06-30,52.0500,52.3400,48.5300,48.8100,14.2566,18581005,0.2500
2015-07-31,48.8000,52.4200,47.8100,51.0300,14.9050,20946104,0.0000
2015-08-31,50.6900,54.6800,47.9500,51.1900,14.9518,35883520,0.0000
2015-09-30,50.0900,53.9999,49.8200,53.3300,15.6533,22499118,0.2500
2015-10-30,53.4600,59.9000,50.9800,57.8900,16.9917,21813132,0.0000
2015-11-30,58.2500,60.0500,56.1900,58.6200,17.2060,23524728,0.0000
2015-12-31,58.8900,60.1097,54.6200,58.1700,17.1502,24924152,0.2500
2016-01-29,56.9000,62.3600,55.2700,62.0000,18.2794,27792613,0.0000
2016-02-29,61.9600,65.1000,57.8500,63.2900,18.6597,27788394,0.0000
2016-03-31,63.8200,67.6050,63.1100,66.3800,19.6460,33356924,0.2500
2016-04-29,66.1200,66.6600,61.2500,61.7100,18.2639,21687664,0.0000
2016-05-31,61.7400,66.0300,61.5700,66.0100,19.5365,16346242,0.0000
2016-06-30,65.5000,65.9700,61.1900,64.6700,19.2338,19161816,0.3200
2016-07-29,64.7100,71.4700,63.1901,70.7600,21.0451,14663261,0.0000
2016-08-31,71.0000,71.8800,69.2300,71.2100,21.1789,16943480,0.0000
2016-09-30,71.2300,71.9200,67.0000,67.5400,20.1810,14822018,0.3200
2016-10-31,67.2800,67.7700,63.3200,63.9700,19.1143,15979988,0.0000
2016-11-30,63.8000,68.2900,63.3000,64.0900,19.1501,19265478,0.0000
2016-12-30,63.9700,69.7300,63.3600,67.1200,20.1495,17250013,0.3200
2017-01-31,67.4700,70.6100,66.1000,70.5400,21.1762,13828587,0.0000
2017-02-28,70.4700,71.8900,68.6200,71.1100,21.3473,19148604,0.0000
2017-03-31,72.0000,72.5200,68.4250,69.4500,20.9432,20960420,0.3200
2017-04-28,69.2800,70.9900,67.9200,68.8700,20.7683,16390319,0.0000
2017-05-31,69.2400,69.2400,65.9800,67.6500,20.4004,18171689,0.0000
2017-06-30,68.0500,72.1400,67.3700,71.4900,21.6737,18372112,0.3800
2017-07-31,71.5100,75.2300,69.5200,74.3700,22.5468,13699808,0.0000
2017-08-31,74.4300,77.7500,74.1100,75.3800,22.8530,15475849,0.0000
2017-09-29,75.4800,78.3100,73.3500,77.5700,23.6366,16819147,0.3800
2017-10-31,77.6700,78.0700,71.7700,72.6500,22.1374,29726918,0.0000
2017-11-30,73.0200,79.8500,71.6500,79.1600,24.1211,18853917,0.0000
2017-12-29,79.4600,80.1400,74.9500,76.8300,23.5259,15610721,0.3800
2018-01-31,77.1500,83.2900,76.4700,80.9100,24.7752,19449667,0.0000
2018-02-28,80.3100,82.7100,72.9800,80.7500,24.7263,23315854,0.0000
2018-03-29,81.0000,87.0000,79.0500,86.2200,26.5205,16432574,0.3800
2018-04-30,86.2200,89.7600,84.4600,88.3200,27.1665,21620488,0.0000
2018-05-31,88.0100,94.3300,84.9600,91.8600,28.2553,20754267,0.0000
2018-06-29,92.6400,96.1900,90.6600,91.2700,28.2042,20540140,0.4400
2018-07-31,91.2900,95.8900,89.7000,91.4000,28.2444,17540797,0.0000
2018-08-31,91.6100,95.9300,90.5800,95.4400,29.4928,14038316,0.0000
2018-09-28,95.5100,96.8400,85.7300,85.8000,26.6409,16667996,0.4400
2018-10-31,86.4100,87.3600,78.9700,86.7100,26.9234,27865521,0.0000
2018-11-30,86.5700,91.6200,85.2200,91.3200,28.3548,20358412,0.0000
2018-12-31,92.3700,93.1400,75.4900,81.5700,25.4555,17532174,0.4400
2019-01-31,80.6000,88.1600,78.6600,88.0400,27.4746,19116914,0.0000
2019-02-28,88.0400,91.5900,85.7700,91.5700,28.5762,14913490,0.0000
2019-03-29,92.2100,92.5100,82.2200,87.4900,27.4460,19390592,0.4400
2019-04-30,88.2300,92.3200,86.5200,92.2000,28.9236,13824398,0.0000
2019-05-31,92.1900,93.3200,89.1800,90.6400,28.4342,11681292,0.0000
2019-06-28,90.6000,98.7300,90.1700,96.1700,30.3175,12847984,0.4700
2019-07-31,97.0400,104.6900,95.8500,96.3700,30.3806,19039311,0.0000
2019-08-30,96.2000,100.4500,93.4600,99.8400,31.4745,13392743,0.0000
