Date,open,high,low,close,adjusted_close,volume,dividend_amount
2007-01-31,37.0700,37.5200,29.9110,30.6500,4.6881,284456337,0.0000
2007-02-28,30.3600,34.9100,30.3000,31.0000,4.7416,224514870,0.0000
2007-03-30,30.3300,31.6000,28.0400,28.7800,4.4020,245387203,0.0000
2007-04-30,28.7100,33.9400,28.2800,32.8900,5.0307,225335936,0.0000
2007-05-31,33.4900,36.0000,32.2000,34.6390,5.2982,210348803,0.0000
2007-06-29,35.0300,43.8700,34.4200,41.3100,6.3186,241007871,0.0000
2007-07-31,41.9000,47.9300,41.7700,45.7600,6.9992,173697603,0.0000
2007-08-31,45.1000,51.3500,40.5000,51.1600,7.8252,261503271,0.0000
2007-09-28,51.3900,54.0000,31.8300,36.2400,8.3146,214122134,0.0000
2007-10-31,36.6500,39.6700,32.5600,35.3800,8.1173,266724100,0.0000
2007-11-30,34.8300,38.2000,29.1100,31.5400,7.2363,301416700,0.0000
2007-12-31,32.0000,36.4000,31.3500,34.0200,7.8053,189535800,0.0000
2008-01-31,34.1200,34.2500,22.3300,24.5900,5.6417,387405800,0.0000
2008-02-29,24.5400,27.5900,21.1600,21.3900,4.9076,340753600,0.0000
2008-03-31,21.3600,21.6700,17.3100,19.7900,4.5405,398398200,0.0000
2008-04-30,20.3800,21.0600,17.6100,20.5500,4.7148,415607700,0.0000
2008-05-30,20.8000,25.3100,20.7000,24.7000,5.6670,509841300,0.0000
2008-06-30,24.7000,25.3500,18.5900,18.7200,4.2950,429096400,0.0000
2008-07-31,18.5500,18.7800,10.7000,11.4400,2.6247,569047700,0.0000
2008-08-29,11.1400,14.1200,10.5500,12.6400,2.9000,466137200,0.0000
2008-09-30,12.8500,12.9600,8.8000,10.7100,2.4572,493061400,0.0000
2008-10-31,10.5500,10.7400,5.9700,8.7600,2.0098,511119300,0.0000
2008-11-28,8.9500,9.1100,5.7500,7.4700,1.7139,305049200,0.0000
2008-12-31,7.1700,9.4500,6.7400,8.0700,1.8515,291967300,0.0000
2009-01-30,8.0700,9.4300,7.0800,7.9500,1.8240,381683000,0.0000
2009-02-27,7.8300,9.9700,7.2100,8.2800,1.8997,407576600,0.0000
2009-03-31,7.9500,11.8500,7.4700,9.8600,2.2622,554715300,0.0000
2009-04-30,9.7400,12.0800,9.3700,11.4800,2.6339,440717600,0.0000
2009-05-29,11.4500,12.3900,8.3300,10.4300,2.3930,535113300,0.0000
2009-06-30,10.5500,12.2000,10.0850,11.2900,2.5903,366978000,0.0000
2009-07-31,11.3600,13.2100,9.7100,12.9300,2.9666,399868700,0.0000
2009-08-31,13.2400,15.0300,12.7200,14.5200,3.3314,330673100,0.0000
2009-09-30,14.5100,16.5800,13.9500,15.0300,3.4484,301908400,0.0000
2009-10-30,14.9800,14.9800,11.9000,11.9600,2.7440,387967700,0.0000
2009-11-30,11.9400,13.9100,11.5600,13.0600,2.9964,321455400,0.0000
2009-12-31,13.1300,18.9500,13.0600,18.6800,4.2858,409291700,0.0000
2010-01-29,18.5100,18.9600,15.1500,15.3900,3.5310,322462300,0.0000
2010-02-26,15.4500,17.9000,15.3200,16.2000,3.7168,321533100,0.0000
2010-03-31,16.2100,18.3400,16.0800,17.4000,3.9921,293695400,0.0000
2010-04-30,17.4800,18.1300,15.7000,15.7100,3.6044,427749500,0.0000
2010-05-28,15.7900,15.8800,11.8500,13.1400,3.0147,519318000,0.0000
2010-06-30,12.9600,13.1100,10.2087,10.2100,2.3425,342314800,0.0000
2010-07-30,10.2400,11.4800,8.9200,9.1900,2.1085,480914200,0.0000
2010-08-31,9.3500,10.2500,8.6500,9.3250,2.1395,485321400,0.0000
2010-09-30,9.4700,12.3600,9.3400,11.6820,2.6802,438329100,0.0000
2010-10-29,11.8500,12.2400,10.3800,12.0205,2.7579,395079600,0.0000
2010-11-30,12.1000,13.8400,11.9400,13.6090,3.1223,363482500,0.0000
2010-12-31,13.8800,15.4200,13.8600,15.4000,3.5333,280103400,0.0000
2011-01-31,15.5200,25.0500,15.4200,23.9200,5.4880,818422100,0.0000
2011-02-28,24.1300,26.1700,21.7800,22.6600,5.1989,600644100,0.0000
2011-03-31,22.7000,22.9900,17.0100,18.4600,4.2353,689939500,0.0000
2011-04-29,18.7000,20.4400,16.8300,20.0000,4.5886,383051800,0.0000
2011-05-31,20.4200,20.5200,17.1200,20.0400,4.5978,429062900,0.0000
2011-06-30,19.9500,19.9800,14.8600,15.9350,3.6560,398844600,0.0000
2011-07-29,15.9400,16.2800,13.5900,13.8300,3.1730,363791400,0.0000
2011-08-31,14.1500,15.3800,11.6500,13.3100,3.0537,564297600,0.0000
2011-09-30,13.4900,16.1000,12.3800,12.5100,2.8702,502118500,0.0000
2011-10-31,12.3500,15.8900,11.4700,14.8000,3.3956,371284100,0.0000
2011-11-30,14.2600,15.6700,13.5000,15.6300,3.5860,404150800,0.0000
2011-12-30,15.5000,16.0500,13.1100,13.8600,3.1799,243558500,0.0000
2012-01-31,14.3000,15.2400,13.5000,14.7700,3.3887,289916700,0.0000
2012-02-29,14.9400,16.9000,14.7300,15.1500,3.4759,326957400,0.0000
2012-03-30,15.2100,15.6000,14.2400,15.3950,3.5321,258131100,0.0000
2012-04-30,15.3600,15.4899,12.7500,13.0000,2.9826,238773100,0.0000
2012-05-31,12.9300,13.6800,11.8250,12.4300,2.8518,284250300,0.0000
2012-06-29,12.1700,13.8500,11.6300,13.8200,3.1708,288234200,0.0000
2012-07-31,13.8900,13.9000,12.1600,13.5400,3.1065,212496800,0.0000
2012-08-31,13.6200,15.2200,13.1000,14.0300,3.2189,247928100,0.0000
2012-09-28,13.8000,14.0900,12.9500,13.3400,3.0606,218736200,0.0000
2012-10-31,13.4000,13.8000,11.8300,11.9750,2.7474,203394300,0.0000
2012-11-30,12.0400,13.0800,11.1500,11.9700,2.7642,249640300,0.0750
2012-12-31,12.1200,12.8100,11.7000,12.2600,2.8312,200933500,0.0000
2013-01-31,12.5600,13.1900,11.9100,12.2600,2.8312,229540300,0.0000
2013-02-28,12.3600,12.8500,12.0500,12.6600,2.9413,247542000,0.0750
2013-03-28,12.5700,13.0000,12.3200,12.8300,2.9808,165342700,0.0000
2013-04-30,12.8000,13.7700,12.0400,13.7700,3.1992,234651900,0.0000
2013-05-31,13.7700,14.9800,13.5200,14.4700,3.3787,207288500,0.0750
2013-06-28,14.4900,15.4800,13.8300,14.0400,3.2783,232392700,0.0000
2013-07-31,14.1400,14.7800,13.9600,14.4350,3.3705,130749800,0.0000
2013-08-30,14.4900,15.4000,14.1100,14.7500,3.4614,191658384,0.0750
2013-09-30,14.7900,16.1000,14.6700,15.5600,3.6515,120498300,0.0000
2013-10-31,15.5800,16.0100,15.0000,15.1890,3.5644,144315300,0.0000
2013-11-29,15.2700,16.3150,14.5200,15.6000,3.6810,165736900,0.0850
2013-12-31,15.5400,16.1000,14.9000,16.0200,3.7801,154199400,0.0000
2014-01-31,15.9200,16.4400,15.3300,15.7000,3.7046,135526300,0.0000
2014-02-28,15.8100,19.0500,15.3200,18.3800,4.3566,193064200,0.0850
2014-03-31,17.9700,18.9700,17.5600,17.9100,4.2452,180449700,0.0000
2014-04-30,18.4800,19.4600,17.8800,18.4700,4.3780,173425200,0.0000
2014-05-30,18.7500,19.1300,17.7100,19.0000,4.5246,140315000,0.0850
2014-06-30,19.0600,19.7300,18.2300,18.5400,4.4150,131928300,0.0000
2014-07-31,18.5200,19.6000,17.4150,17.5000,4.1674,156725900,0.0000
2014-08-29,17.5000,19.4900,17.3400,19.4500,4.6521,151996300,0.0850
2014-09-30,19.5000,20.1500,18.2236,18.4500,4.4129,137771496,0.0000
2014-10-31,18.4800,19.5500,16.7700,19.5400,4.6736,165190718,0.0000
2014-11-28,19.9900,21.0900,19.3750,20.9700,5.0369,116079517,0.0850
2014-12-31,20.8800,21.2500,19.1000,20.0500,4.8159,106485166,0.0000
2015-01-30,20.1300,20.7450,19.0800,19.2050,4.6130,103475561,0.0000
2015-02-27,19.3200,22.5000,18.9400,22.0600,5.3189,104839455,0.0850
2015-03-31,22.0000,23.6050,20.4600,20.9250,5.0453,182761992,0.0000
2015-04-30,21.0100,22.8300,20.6500,22.1950,5.3515,123367642,0.0000
2015-05-29,22.3800,22.8800,20.3800,22.1300,5.3605,177033827,0.0975
2015-06-30,22.2700,22.6001,19.9700,20.1100,4.8712,183345778,0.0000
2015-07-31,20.6100,20.9000,19.0900,19.9500,4.8325,137012807,0.0000
2015-08-31,20.1100,23.9500,19.8500,22.4800,5.4683,236729390,0.0975
