Date,open,high,low,close,adjusted_close,volume,dividend_amount
2007-01-31,142.2500,144.1300,140.2500,143.7500,104.6789,1330329900,0.0000
2007-02-28,144.1500,146.4200,139.0000,140.9300,102.6254,1494548900,0.0000
2007-03-30,139.3400,143.8100,136.7500,142.0000,103.8161,2918304400,0.5513
2007-04-30,142.1600,149.8000,141.4800,148.2900,108.4147,1791289900,0.0000
2007-05-31,148.4200,153.8900,147.6700,153.3200,112.0921,2508178000,0.0000
2007-06-29,153.8800,154.4000,148.0600,150.4300,110.4503,3502885400,0.6556
2007-07-31,150.8700,155.5300,145.0400,145.7200,106.9921,3988676200,0.0000
2007-08-31,145.1800,150.5900,137.0000,147.5900,108.3651,6195918600,0.0000
2007-09-28,147.4500,154.3900,144.3300,152.5800,112.5587,2967009200,0.7187
2007-10-31,152.6000,157.5200,148.6600,154.6500,114.0857,3850069600,0.0000
2007-11-30,153.2900,153.4100,140.6600,148.6600,109.6669,5472709900,0.0000
2007-12-31,148.1900,152.8900,143.9600,146.2100,108.4241,3293787500,0.7754
2008-01-31,146.5300,146.9900,126.0000,137.3700,101.8687,6106834300,0.0000
2008-02-29,137.9400,139.6100,131.7300,133.8200,99.2362,4151028600,0.0000
2008-03-31,133.1400,135.8100,126.0700,131.9700,98.3399,5462121800,0.6420
2008-04-30,133.6100,140.5900,132.3300,138.2600,103.0270,4014652600,0.0000
2008-05-30,138.3800,144.3000,137.5200,140.3500,104.5844,3646997000,0.0000
2008-06-30,139.8300,140.8900,127.0400,127.9800,95.8517,5408930000,0.6692
2008-07-31,126.5200,129.1600,120.0200,126.8300,94.9904,7156206800,0.0000
2008-08-29,127.1200,131.5100,124.7600,128.7900,96.4584,4344355500,0.0000
2008-09-30,130.0300,130.7100,110.5300,115.9900,87.3553,8105188900,0.6909
2008-10-31,115.2700,116.6900,83.5800,96.8300,72.9254,11882352200,0.0000
2008-11-28,96.7800,100.8600,74.3400,90.0900,67.8493,8762237000,0.0000
2008-12-31,87.5100,92.4300,81.8600,90.2400,68.5166,6919927700,0.7193
2009-01-30,90.4400,94.4500,80.0500,82.8300,62.8904,6872039400,0.0000
2009-02-27,81.5700,87.7400,73.8100,73.9300,56.1329,7275092500,0.0000
2009-03-31,72.5200,83.3000,67.1000,79.5200,60.8191,8813959700,0.5614
2009-04-30,78.5300,89.0200,78.3300,87.4200,66.8612,6023006600,0.0000
2009-05-29,87.4400,93.7000,86.7200,92.5300,70.7695,5195735600,0.0000
2009-06-30,93.6700,96.1100,88.8500,91.9500,70.7218,5054855000,0.5182
2009-07-31,92.3400,99.8300,87.0000,98.8100,75.9981,4295844600,0.0000
2009-08-31,99.8500,104.3500,98.1100,102.4600,78.8054,3954118963,0.0000
2009-09-30,101.9500,108.0600,99.5700,105.5900,81.5997,3774712350,0.5083
2009-10-30,103.0000,110.3100,101.9900,103.5600,80.0309,4478118719,0.0000
2009-11-30,104.1300,111.7400,103.0800,109.9400,84.9613,3428177124,0.0000
2009-12-31,110.9200,113.0300,109.0200,111.4400,86.5817,2878516757,0.5902
2010-01-29,112.3700,115.1400,107.2200,107.3900,83.4351,3705733018,0.0000
2010-02-26,108.1500,111.5800,104.5800,110.7400,86.0379,4439171207,0.0000
2010-03-31,111.2000,118.1700,111.1700,117.0000,91.2780,3699245612,0.4804
2010-04-30,117.8000,122.1200,117.1000,118.8100,92.6901,4004277783,0.0000
2010-05-28,119.3800,120.6800,104.3800,109.3700,85.3254,7402768337,0.0000
2010-06-30,108.3500,113.2000,102.8800,103.2200,80.9104,5696350357,0.5313
2010-07-30,103.1500,112.2900,101.1300,110.2700,86.4367,4717472942,0.0000
2010-08-31,111.9900,113.1800,104.2900,105.3100,82.5487,4536956409,0.0000
2010-09-30,106.7300,115.7900,106.6600,114.1300,89.9412,4042638784,0.6021
2010-10-29,114.9900,119.7600,113.1800,118.4900,93.3772,3763467063,0.0000
2010-11-30,119.0700,122.9500,117.5900,118.4900,93.3772,3978049158,0.0000
2010-12-31,120.2000,126.2000,120.1900,125.7500,99.6189,2718639268,0.6528
2011-01-31,126.7100,130.3500,125.7000,128.6800,101.9400,2857000899,0.0000
2011-02-28,129.4600,134.6900,129.3800,133.1500,105.4812,2815864041,0.0000
2011-03-31,133.5700,133.6900,125.2800,132.5900,105.4924,4776136726,0.5533
2011-04-29,133.4100,136.5700,129.5100,136.4300,108.5477,2811243192,0.0000
2011-05-31,137.0700,137.1800,131.3800,134.9000,107.3304,3333953417,0.0000
2011-06-30,134.5100,134.9200,126.1900,131.9700,105.5178,4675957703,0.6276
2011-07-29,132.0900,135.7000,127.9700,129.3300,103.4070,3830169325,0.0000
2011-08-31,130.8400,130.9600,110.2700,122.2200,97.7221,9023719820,0.0000
2011-09-30,122.2900,123.4000,111.3000,113.1500,90.9354,6173479911,0.6250
2011-10-31,112.4900,129.4200,107.4300,125.5000,100.8608,5706349377,0.0000
2011-11-30,122.0300,128.0200,116.2000,124.9900,100.4509,4994461652,0.0000
2011-12-30,124.8500,127.2600,120.0300,125.5000,101.4996,3835567090,0.7701
2012-01-31,127.7600,133.4000,126.4300,131.3200,106.2066,2877125732,0.0000
2012-02-29,132.2900,138.1900,132.1300,137.0200,110.8165,2887994942,0.0000
2012-03-30,137.3100,141.8300,134.3600,140.8100,114.3800,3051602568,0.6139
2012-04-30,140.6400,142.2100,135.7600,139.8700,113.6165,3022691643,0.0000
2012-05-31,139.7900,141.6600,129.5500,131.4700,106.7931,3998284713,0.0000
2012-06-29,129.4100,136.2700,127.1400,136.1000,111.1213,3640166489,0.6883
2012-07-31,136.4800,139.3400,132.6000,137.7100,112.4358,2857498501,0.0000
2012-08-31,138.7000,143.0900,135.5800,141.1600,115.2527,2410281680,0.0000
2012-09-28,141.0400,148.1100,140.1300,143.9700,118.1750,2388041836,0.7794
2012-10-31,144.5200,147.1600,140.3900,141.3500,116.0245,2716359739,0.0000
2012-11-30,141.6500,143.7200,134.7000,142.1500,116.6811,3027334368,0.0000
2012-12-31,142.8000,145.5800,139.5400,142.4100,117.7311,2884366197,1.0218
2013-01-31,145.1100,150.9400,144.7300,149.7000,123.7577,2583855935,0.0000
2013-02-28,150.6500,153.2800,148.7300,151.6100,125.3368,2565517631,0.0000
2013-03-28,151.0900,156.8500,150.4100,156.6700,130.0965,2326952774,0.6937
2013-04-30,156.5900,159.7200,153.5500,159.6800,132.5959,2901276707,0.0000
2013-05-31,159.3300,169.0700,158.1000,163.4500,135.7265,2776278334,0.0000
2013-06-28,163.8300,165.9900,155.7300,160.4200,133.9131,3522568591,0.8391
2013-07-31,161.2600,169.8600,160.2200,168.7100,140.8333,2314233963,0.0000
2013-08-30,169.9900,170.9700,163.0500,163.6500,136.6094,2279523923,0.0000
2013-09-30,165.2300,173.6000,163.7000,168.0100,140.9374,2237776606,0.8379
2013-10-31,168.1400,177.5100,164.5300,175.7900,147.4637,2893983294,0.0000
2013-11-29,176.0200,181.7500,174.7600,181.0000,151.8342,1931935724,0.0000
2013-12-31,181.0900,184.6900,177.3200,184.6900,155.7661,2232670202,0.9802
2014-01-31,183.9800,184.9400,176.8800,178.1800,150.2756,2530649614,0.0000
2014-02-28,177.9700,187.1500,173.7100,186.2900,157.1155,2394183674,0.0000
2014-03-31,184.6500,189.0200,183.7500,187.0100,158.4213,2553782755,0.8246
2014-04-30,187.6200,189.7000,181.3100,188.3100,159.5225,2345807033,0.0000
2014-05-30,188.2200,192.8000,186.0100,192.6800,163.2245,1780157245,0.0000
2014-06-30,192.9500,196.6000,191.9700,195.7200,166.5923,1675360233,0.9367
2014-07-31,196.2000,199.0600,192.9700,193.0900,164.3537,1893838621,0.0000
2014-08-29,192.5600,200.8200,190.5500,200.7100,170.8397,1829764370,0.0000
2014-09-30,200.9700,201.9000,196.0500,197.0200,168.4836,2106580212,0.9392
2014-10-31,196.7000,201.8200,181.9200,201.6600,172.4516,3943067849,0.0000
2014-11-28,201.9200,207.8700,200.0600,207.2000,177.1892,1571225009,0.0000
2014-12-31,206.4000,212.9700,197.8600,205.5400,176.7355,3045170856,1.1349
2015-01-30,206.3800,206.8800,198.5500,199.4500,171.4990,3183506003,0.0000
