Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,424.5,653.0,421.71,650.57,43.3713,407621638,0.0
2019-12-31,329.4,435.31,327.25,418.33,27.8887,207390450,0.0
2019-11-29,316.32,361.2,309.26,329.94,21.996,157892383,0.0
2019-10-31,241.5,340.84,224.28,314.92,20.9947,234866048,0.0
2019-09-30,224.08,253.5,218.36,240.87,16.058,136563111,0.0
2019-08-30,242.65,244.51,211.0,225.61,15.0407,134088212,0.0
2019-07-31,230.21,266.07,222.22,241.61,16.1073,199371373,0.0
2019-06-28,185.51,234.74,176.99,223.46,14.8973,214970558,0.0
2019-05-31,238.85,258.35,184.1,185.16,12.344,282598837,0.0
2019-04-30,282.62,296.17,231.13,238.69,15.9127,230757873,0.0
2019-03-29,306.94,307.13,254.46,279.86,18.6573,213793753,0.0
2019-02-28,305.42,324.24,288.77,319.88,21.3253,128550254,0.0
2019-01-31,306.1,352.0,279.28,307.02,20.468,175660650,0.0
2018-12-31,360.0,379.49,294.09,332.8,22.1867,146451183,0.0
2018-11-30,338.26,366.75,325.0,350.48,23.3653,133019067,0.0
2018-10-31,305.77,347.16,247.77,337.32,22.488,286360727,0.0
2018-09-28,296.94,314.96,252.25,264.77,17.6513,196075479,0.0
2018-08-31,297.99,387.46,288.2,301.66,20.1107,277360157,0.0
2018-07-31,360.07,364.78,286.13,298.14,19.876,172357228,0.0
2018-06-29,285.86,373.73,283.84,342.95,22.8633,213424960,0.0
2018-05-31,293.51,312.99,273.42,284.73,18.982,155577968,0.0
2018-04-30,256.26,309.5,244.59,293.9,19.5933,190345295,0.0
2018-03-29,345.01,348.67,248.21,266.13,17.742,156356878,0.0
2018-02-28,351.0,359.99,294.76,343.06,22.8707,106577192,0.0
2018-01-31,312.0,360.5,305.68,354.31,23.6207,122930471,0.0
2017-12-29,305.44,347.44,300.0,311.35,20.7567,109078772,0.0
2017-11-30,332.25,332.6089,292.63,308.85,20.59,146728325,0.0
2017-10-31,342.52,363.0,316.66,331.53,22.102,121524280,0.0
2017-09-29,356.12,389.61,335.4,341.1,22.74,110620352,0.0
