Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,310.06,327.85,304.88,309.51,75.6888,216776323,0.0
2020-01-24,317.19,323.33,315.65,318.31,77.8408,115445527,0.0
2020-01-17,311.64,318.74,309.55,318.73,77.9435,162824452,0.0
2020-01-10,293.79,312.67,292.75,310.33,75.8894,168452059,0.0
2020-01-03,289.46,300.6,285.22,297.43,72.7347,131852981,0.0
2019-12-27,280.53,293.97,280.37,289.8,70.8689,96724537,0.0
2019-12-20,277.0,282.65,276.98,279.44,68.3354,183341280,0.0
2019-12-13,270.0,275.3,264.91,275.15,67.2863,142408267,0.0
2019-12-06,267.27,271.0,256.29,270.71,66.2005,115090042,0.0
2019-11-29,262.71,268.0,262.5,267.25,65.3544,75404884,0.0
2019-11-22,265.8,268.0,260.4,261.78,64.0167,114060454,0.0
2019-11-15,258.3,265.78,258.28,265.76,64.99,115661500,0.0
2019-11-08,257.33,260.44,255.37,260.14,63.6157,106014081,0.77
2019-11-01,247.42,255.93,237.26,255.82,62.3741,163067611,0.0
2019-10-25,237.52,246.73,237.32,246.58,60.1212,100713664,0.0
2019-10-18,234.9,238.13,233.2,236.41,57.6416,108261581,0.0
2019-10-11,226.27,237.64,224.33,236.21,57.5928,150154587,0.0
2019-10-04,220.9,228.22,215.13,227.01,55.3497,163381242,0.0
2019-09-27,218.95,222.49,217.14,218.82,53.3528,117784618,0.0
2019-09-20,217.73,223.76,217.47,217.73,53.087,145352672,0.0
2019-09-13,214.84,226.42,211.07,218.75,53.3357,175366943,0.0
2019-09-06,206.43,214.42,204.22,213.26,51.9971,82585672,0.0
2019-08-30,205.86,210.45,203.32,208.74,50.8951,110091319,0.0
2019-08-23,210.62,214.44,201.0,202.64,49.4078,142066853,0.0
2019-08-16,199.62,212.14,199.15,206.5,50.3489,163266105,0.0
2019-08-09,197.99,203.53,192.58,200.99,49.0055,173211425,0.77
2019-08-02,208.46,221.37,201.63,204.02,49.5544,219770512,0.0
2019-07-26,203.65,209.73,203.61,207.74,50.4579,87153118,0.0
2019-07-19,204.09,206.5,202.36,202.59,49.2071,87433154,0.0
2019-07-12,200.81,204.39,198.41,203.3,49.3795,101600835,0.0
2019-07-05,203.17,205.08,200.65,204.23,49.6054,72879519,0.0
2019-06-28,198.54,201.57,195.29,197.92,48.0728,117368626,0.0
2019-06-21,192.9,200.85,192.17,198.78,48.2816,131658960,0.0
2019-06-14,191.81,196.79,190.3,192.74,46.8146,111843021,0.0
2019-06-07,175.6,191.92,170.27,190.15,46.1855,154348161,0.0
2019-05-31,178.92,180.59,174.99,175.07,42.5227,104691321,0.0
2019-05-24,183.52,188.0,177.81,178.97,43.47,156970116,0.0
2019-05-17,187.71,192.47,182.85,189.0,45.9062,186415472,0.0
2019-05-10,204.29,208.84,192.77,197.18,47.893,173663634,0.77
2019-05-03,204.4,215.31,199.11,211.75,51.2319,186455669,0.0
2019-04-26,202.83,208.48,202.12,204.3,49.4294,97495453,0.0
2019-04-18,198.58,204.15,198.01,203.86,49.3229,96335577,0.0
2019-04-12,196.42,202.85,196.21,198.87,48.1156,132006698,0.0
2019-04-05,191.64,197.1,188.38,197.0,47.6632,111540445,0.0
2019-03-29,191.51,192.88,184.58,189.95,45.9575,167838582,0.0
2019-03-22,185.8,197.69,184.73,191.05,46.2236,182343335,0.0
2019-03-15,175.49,187.33,175.35,186.12,45.0308,158133562,0.0
2019-03-08,175.69,177.75,169.5,172.91,41.8347,116779738,0.0
2019-03-01,174.16,175.87,172.73,174.97,42.3331,120880541,0.0
2019-02-22,169.71,173.32,169.49,172.97,41.8492,81250012,0.0
2019-02-15,171.05,172.48,169.25,170.42,41.2323,112229742,0.0
2019-02-08,167.41,175.57,167.28,170.41,41.2299,151398457,0.73
2019-02-01,155.79,169.0,153.66,166.52,40.1168,202296864,0.0
2019-01-25,156.41,158.13,151.7,157.76,38.0064,112513982,0.0
2019-01-18,150.85,157.88,149.22,156.82,37.78,155291399,0.0
2019-01-11,148.7,154.53,145.9,152.29,36.6886,203706070,0.0
2019-01-04,158.53,159.36,142.0,148.26,35.7178,221962468,0.0
2018-12-28,148.15,158.52,146.59,156.23,37.6378,191160265,0.0
2018-12-21,165.45,168.35,149.63,150.73,36.3128,287694081,0.0
2018-12-14,165.0,172.57,163.33,165.48,39.8663,217536870,0.0
2018-12-07,184.46,184.94,168.3,168.49,40.5914,167522325,0.0
2018-11-30,174.24,182.8,170.26,178.58,43.0222,213749977,0.0
2018-11-23,190.0,190.7,172.1,172.29,41.5069,164494301,0.0
2018-11-16,199.0,199.85,185.93,193.53,46.6239,242226465,0.0
2018-11-09,204.3,210.12,198.17,204.47,49.2595,191199370,0.73
2018-11-02,219.19,222.36,205.43,207.48,49.8102,270606277,0.0
2018-10-26,219.79,224.23,212.67,216.3,51.9277,185599234,0.0
2018-10-19,221.16,222.99,213.0,219.31,52.6503,148520408,0.0
2018-10-12,222.21,227.27,212.32,222.11,53.3225,192007749,0.0
2018-10-05,227.95,233.47,220.58,224.29,53.8458,142666234,0.0
2018-09-28,216.82,226.44,216.63,225.74,54.194,129343034,0.0
2018-09-21,222.15,222.95,215.3,217.66,52.2542,218746220,0.0
2018-09-14,220.95,228.35,216.47,223.84,53.7378,198249908,0.0
2018-09-07,228.41,229.67,220.71,221.3,53.128,132632878,0.0
2018-08-31,217.15,228.87,216.33,227.63,54.6477,162690645,0.0
2018-08-24,218.1,219.18,213.84,216.16,51.8941,112825161,0.0
2018-08-17,207.7,217.95,207.7,217.58,52.235,139373818,0.0
2018-08-10,208.0,209.78,204.52,207.53,49.8222,121642089,0.73
2018-08-03,191.9,208.74,189.07,207.99,49.7576,224189697,0.0
2018-07-27,190.68,195.96,189.56,190.98,45.6883,94613682,0.0
2018-07-20,191.52,192.65,189.2,191.44,45.7984,87963808,0.0
2018-07-13,189.5,191.84,187.61,191.33,45.7721,85088176,0.0
2018-07-06,183.82,188.43,183.42,187.97,44.9682,65775642,0.0
2018-06-29,183.4,187.28,180.73,185.11,44.284,121620526,0.0
2018-06-22,187.88,189.22,183.45,184.92,44.2386,125604366,0.0
2018-06-15,191.35,192.88,188.26,188.84,45.1764,140187228,0.0
2018-06-08,191.64,194.2,189.77,191.7,45.8606,116769735,0.0
2018-06-01,187.6,190.26,186.14,190.24,45.5113,92129925,0.0
2018-05-25,188.0,189.65,185.76,188.58,45.1142,94394844,0.0
2018-05-18,189.01,189.53,185.1,186.31,44.5711,99248752,0.0
2018-05-11,185.18,190.37,183.67,188.59,45.1166,148266951,0.73
2018-05-04,162.13,184.25,161.84,183.83,43.8082,252805668,0.0
2018-04-27,166.83,166.92,160.63,162.32,38.6822,162208431,0.0
2018-04-20,175.03,178.94,165.43,165.72,39.4925,169238340,0.0
2018-04-13,169.88,175.84,169.85,174.73,41.6396,128077139,0.0
2018-04-06,166.64,174.23,164.47,168.38,40.1264,164408813,0.0
2018-03-29,168.07,175.15,165.19,167.78,39.9834,155302506,0.0
2018-03-23,177.32,177.47,164.94,164.94,39.3066,168666122,0.0
2018-03-16,180.29,183.5,177.62,178.02,42.4237,151720299,0.0
2018-03-09,175.21,180.0,174.27,179.98,42.8908,138442235,0.0
2018-03-02,176.35,180.62,172.45,176.21,41.9923,196432091,0.0
2018-02-23,172.05,175.65,171.01,175.5,41.8231,133197874,0.0
2018-02-16,158.5,174.82,157.51,172.43,41.0915,222582467,0.0
2018-02-09,159.1,163.88,150.24,156.41,37.2738,299885932,0.63
2018-02-02,170.16,170.16,160.1,160.5,38.0951,248091289,0.0
2018-01-26,177.3,179.44,170.06,171.51,40.7083,185072080,0.0
2018-01-19,177.9,180.1,175.07,178.46,42.3579,122974060,0.0
2018-01-12,174.35,177.36,173.0,177.09,42.0327,107548622,0.0
2018-01-05,170.16,175.37,169.26,175.0,41.5367,99095223,0.0
2017-12-29,170.8,171.85,169.22,169.23,40.1672,96281679,0.0
2017-12-22,174.88,177.2,173.25,175.01,41.5391,115320238,0.0
2017-12-15,169.2,174.17,168.79,173.97,41.2922,132453689,0.0
2017-12-08,172.48,172.62,166.46,169.37,40.2004,134914322,0.0
2017-12-01,175.05,175.08,167.16,171.05,40.5991,166555527,0.0
2017-11-24,170.29,175.5,169.56,174.97,41.5296,79873651,0.0
2017-11-17,173.5,174.5,168.38,170.15,40.3855,114281964,0.0
2017-11-10,172.365,176.24,171.72,174.67,41.4584,135758833,0.63
2017-11-03,163.89,174.26,163.72,172.5,40.7962,203892677,0.0
2017-10-27,156.89,163.6,155.27,163.05,38.5612,119574587,0.0
2017-10-20,157.9,160.87,155.02,156.25,36.953,124593299,0.0
2017-10-13,155.81,158.0,155.1,156.99,37.128,80597481,0.0
2017-10-06,154.26,155.49,152.46,155.3,36.7284,91971974,0.0
2017-09-29,149.99,154.7189,149.16,154.12,36.4493,152105993,0.0
2017-09-22,160.11,160.5,150.56,151.89,35.9219,182738115,0.0
2017-09-15,160.5,163.96,157.91,159.88,37.8115,217839085,0.0
2017-09-08,163.75,164.25,158.53,158.63,37.5159,100402255,0.0
2017-09-01,160.14,164.94,159.93,164.05,38.7977,124482489,0.0
2017-08-25,157.5,160.74,155.1101,159.86,37.8068,110686493,0.0
2017-08-18,159.32,162.51,156.72,157.5,37.2487,130951564,0.0
2017-08-11,157.06,161.83,154.63,157.48,37.2439,148310594,0.63
2017-08-04,149.9,159.75,148.13,156.39,36.8367,159721244,0.0
2017-07-28,150.58,153.99,147.3,149.5,35.2138,103916337,0.0
2017-07-21,148.82,151.74,148.57,150.27,35.3952,103297255,0.0
2017-07-14,144.11,149.33,143.37,149.04,35.1055,107844162,0.0
2017-07-07,144.88,145.3,142.41,144.18,33.9607,76896820,0.0
2017-06-30,147.17,148.28,142.28,144.02,33.9231,125310202,0.0
2017-06-23,143.66,147.16,143.66,146.28,34.4554,121757322,0.0
2017-06-16,145.74,147.5,142.2,142.27,33.5109,217066551,0.0
2017-06-09,154.34,155.98,146.02,148.98,35.0914,157386327,0.0
2017-06-02,153.42,155.45,152.22,155.45,36.6153,86663811,0.0
2017-05-26,154.0,154.9,152.67,153.61,36.1819,101565411,0.0
2017-05-19,156.01,156.65,149.71,153.06,36.0524,154981942,0.0
2017-05-12,149.03,156.42,149.03,156.1,36.7684,167770544,0.63
2017-05-05,145.1,148.98,144.27,148.96,34.9436,167777285,0.0
2017-04-28,143.5,144.9,143.18,143.65,33.698,89143525,0.0
2017-04-21,141.48,142.92,140.45,142.27,33.3743,89248503,0.0
2017-04-13,143.6,143.8792,140.06,141.05,33.0881,87485653,0.0
2017-04-07,143.71,145.46,143.05,143.34,33.6253,105402499,0.0
2017-03-31,139.39,144.5,138.62,143.66,33.7003,127008757,0.0
2017-03-24,140.4,142.8,139.73,140.64,32.9919,129673979,0.0
2017-03-17,138.85,141.02,138.82,139.99,32.8394,121539506,0.0
2017-03-10,139.365,139.98,137.05,139.14,32.64,99672282,0.0
2017-03-03,137.14,140.2786,136.28,139.78,32.7902,127936976,0.0
2017-02-24,136.23,137.48,135.28,136.66,32.0583,87908859,0.0
2017-02-17,133.08,136.27,132.75,135.72,31.8378,136667496,0.0
2017-02-10,129.13,132.94,128.9,132.12,30.9932,136449154,0.57
2017-02-03,120.93,130.49,120.62,129.08,30.1503,249781248,0.0
2017-01-27,120.0,122.44,119.5,121.95,28.4849,124748449,0.0
2017-01-20,118.34,120.5,118.22,120.0,28.0294,116347987,0.0
2017-01-13,117.95,119.93,117.94,119.04,27.8052,138810760,0.0
2017-01-06,115.8,118.16,114.76,117.91,27.5413,103845468,0.0
2016-12-30,116.52,118.0166,115.43,115.82,27.0531,84828531,0.0
2016-12-23,115.8,117.5,115.59,116.52,27.2166,113322891,0.0
2016-12-16,113.29,116.73,112.49,115.97,27.0881,195015700,0.0
2016-12-09,110.0,114.7,108.25,113.95,26.6163,151989664,0.0
2016-12-02,111.43,112.465,108.85,109.9,25.6703,155499850,0.0
2016-11-25,110.12,112.42,110.01,111.79,26.1118,94132421,0.0
2016-11-18,107.32,110.54,104.08,110.06,25.7077,198341456,0.0
2016-11-11,110.08,111.72,105.83,108.43,25.3269,207268979,0.0
2016-11-04,113.65,114.23,108.11,108.84,25.4227,156346518,0.57
2016-10-28,117.1,118.36,113.31,113.72,26.4254,210225569,0.0
2016-10-21,117.33,118.21,113.8,116.6,27.0947,115531434,0.0
2016-10-14,115.02,118.69,114.72,117.63,27.334,208708383,0.0
2016-10-07,112.71,114.56,112.28,114.06,26.5044,126029440,0.0
2016-09-30,111.64,114.64,111.55,113.05,26.2697,156384035,0.0
2016-09-23,115.19,116.18,111.55,112.71,26.1907,201095635,0.0
2016-09-16,102.65,116.13,102.53,114.92,26.7043,390309366,0.0
2016-09-09,107.9,108.76,103.13,103.13,23.9646,168803729,0.0
2016-09-02,106.62,108.0,105.5,107.73,25.0335,133000624,0.0
2016-08-26,108.86,109.32,106.31,106.94,24.8499,123605519,0.0
2016-08-19,108.14,110.23,108.08,109.36,25.4123,132371408,0.0
2016-08-12,107.52,108.94,107.16,108.18,25.1381,124505869,0.0
2016-08-05,104.41,107.65,104.0,107.48,24.9754,170149120,0.57
2016-07-29,98.25,104.55,96.42,104.21,24.0859,256571090,0.0
2016-07-22,98.7,101.0,98.31,98.66,22.8031,147565456,0.0
2016-07-15,96.75,99.3,96.73,98.78,22.8309,142910566,0.0
2016-07-08,95.39,96.89,94.37,96.68,22.3455,112705961,0.0
2016-07-01,93.0,96.465,91.5,95.89,22.1629,185461004,0.0
2016-06-24,96.0,96.89,92.65,93.4,21.5874,206728924,0.0
2016-06-17,98.69,99.12,95.3,95.33,22.0335,191732699,0.0
2016-06-10,97.99,101.89,97.55,98.83,22.8424,124864375,0.0
2016-06-03,99.6,100.4,96.63,97.92,22.6321,140176985,0.0
2016-05-27,95.87,100.73,95.67,100.35,23.1937,204473324,0.0
2016-05-20,92.39,95.43,91.65,95.22,22.008,212707154,0.0
2016-05-13,93.0,93.77,89.47,90.52,20.9217,216049836,0.0
2016-05-06,93.965,95.9,91.85,92.72,21.4302,225607242,0.57
2016-04-29,105.0,105.65,92.51,93.74,21.5343,349424063,0.0
2016-04-22,108.89,108.95,104.62,105.68,24.2772,189053016,0.0
2016-04-15,108.97,112.39,108.66,109.85,25.2352,162310051,0.0
2016-04-08,110.42,112.19,108.121,108.66,24.9618,145722543,0.0
2016-04-01,106.0,110.42,104.88,109.99,25.2673,147965003,0.0
2016-03-24,105.93,107.65,104.89,105.67,24.2749,119783503,0.0
2016-03-18,101.91,106.5,101.78,105.92,24.3324,182073165,0.0
2016-03-11,102.39,102.83,100.15,102.26,23.4916,155221501,0.0
2016-03-04,96.86,103.75,96.65,103.01,23.6639,201803826,0.0
2016-02-26,96.31,98.0237,93.32,96.91,22.2625,159052926,0.0
2016-02-19,95.02,98.89,94.61,96.04,22.0627,168316315,0.0
2016-02-12,93.13,96.35,92.59,93.99,21.5918,231122263,0.0
2016-02-05,96.47,97.33,93.69,94.02,21.5986,217154766,0.52
2016-01-29,101.52,101.53,92.39,97.34,22.2416,380336530,0.0
2016-01-22,98.41,101.46,93.42,101.42,23.1739,243384093,0.0
2016-01-15,98.97,101.19,95.36,97.13,22.1936,304337253,0.0
2016-01-08,102.61,105.85,96.43,96.96,22.1548,343790211,0.0
2015-12-31,107.59,109.43,104.82,105.26,24.0513,123761546,0.0
2015-12-24,107.28,109.0,105.57,108.03,24.6842,126634011,0.0
2015-12-18,112.18,112.8,105.81,106.03,24.2272,315791335,0.0
2015-12-11,118.98,119.86,112.851,113.18,25.8609,188853944,0.0
2015-12-04,117.99,119.41,114.22,119.03,27.1976,206765745,0.0
2015-11-27,119.27,119.73,117.12,117.81,26.9189,109720453,0.0
2015-11-20,111.38,119.92,111.0,119.3,27.2593,189947415,0.0
2015-11-13,120.96,121.81,112.27,112.34,25.669,216555289,0.0
2015-11-06,119.87,123.82,119.61,121.06,27.6615,195203256,0.52
2015-10-30,118.08,121.22,113.99,119.5,27.1881,322362121,0.0
2015-10-23,110.8,119.228,110.11,119.08,27.0925,222074893,0.0
2015-10-16,112.73,112.75,109.56,111.04,25.2633,184884970,0.0
2015-10-09,109.88,112.28,108.21,112.12,25.509,262432987,0.0
2015-10-02,113.85,114.57,107.31,110.38,25.1132,311138027,0.0
2015-09-25,113.67,116.69,112.37,114.71,26.0983,242696241,0.0
2015-09-18,116.58,116.89,111.87,113.45,25.8116,277276007,0.0
2015-09-11,111.65,114.21,109.77,114.21,25.9845,252662734,0.0
2015-09-04,112.13,114.53,107.36,109.27,24.8606,298194194,0.0
2015-08-28,94.87,113.31,92.0,113.29,25.7752,500362965,0.0
2015-08-21,116.04,117.65,105.645,105.76,24.062,320509056,0.0
2015-08-14,116.53,119.99,109.63,115.96,26.3827,345185326,0.0
2015-08-07,121.5,122.57,112.1,115.52,26.2826,384072497,0.52
2015-07-31,123.09,123.91,120.91,121.3,27.4735,191598511,0.0
2015-07-24,130.97,132.97,121.99,124.5,28.1983,344269021,0.0
2015-07-17,125.03,129.62,124.32,129.62,29.358,189245034,0.0
2015-07-10,124.94,126.23,119.22,123.28,27.922,275718368,0.0
2015-07-02,125.46,126.94,124.48,126.44,28.6377,150981872,0.0
2015-06-26,127.49,129.8,126.51,126.75,28.7079,195594004,0.0
2015-06-19,126.1,128.31,125.71,126.6,28.674,198525255,0.0
2015-06-12,128.9,130.18,125.62,127.17,28.8031,220114589,0.0
2015-06-05,131.2,131.39,128.36,128.65,29.1383,170840884,0.0
2015-05-29,132.6,132.91,129.12,130.28,29.5074,198148567,0.0
2015-05-22,128.38,132.97,128.36,132.54,30.0193,217297426,0.0
2015-05-15,127.39,129.49,124.82,128.77,29.1654,208301514,0.0
2015-05-08,129.5,130.57,123.36,127.62,28.905,271891981,0.52
2015-05-01,132.31,134.54,124.58,128.95,29.0855,420972321,0.0
2015-04-24,125.57,130.63,125.17,130.28,29.3855,207440679,0.0
2015-04-17,128.37,128.57,124.46,124.75,28.1381,171186168,0.0
2015-04-10,124.47,128.1218,124.33,127.1,28.6682,182207413,0.0
2015-04-02,124.05,126.49,123.1,125.32,28.2667,162031791,0.0
2015-03-27,127.12,128.04,122.6,123.25,27.7998,209326175,0.0
2015-03-20,123.88,129.2451,122.87,125.9,28.3975,266672975,0.0
2015-03-13,127.96,129.57,121.63,123.59,27.8765,326514045,0.0
2015-03-06,129.25,130.28,125.76,126.6,28.5554,246938492,0.0
2015-02-27,130.02,133.6,126.61,128.46,28.9749,368216362,0.0
2015-02-20,127.49,129.5,126.92,129.495,29.2084,194354942,0.0
2015-02-13,118.55,127.48,118.43,127.08,28.6637,303206785,0.0
2015-02-06,118.05,120.51,116.08,118.93,26.8254,270757404,0.47
2015-01-30,113.74,120.0,109.03,117.16,26.323,465842684,0.0
2015-01-23,107.84,113.75,106.5,112.98,25.3839,198737041,0.0
2015-01-16,112.6,112.8,105.2,105.99,23.8134,304226647,0.0
2015-01-09,108.29,113.25,104.63,112.01,25.1659,282868187,0.0
2015-01-02,113.79,114.77,107.35,109.33,24.5638,152088374,0.0
2014-12-26,112.16,114.52,111.97,113.99,25.6108,119396530,0.0
2014-12-19,110.7,113.24,106.26,111.78,25.1143,328856576,0.0
2014-12-12,114.1,114.85,109.35,109.73,24.6537,259937920,0.0
2014-12-05,118.81,119.25,111.27,115.0,25.8377,266701088,0.0
2014-11-28,116.85,119.75,116.62,118.93,26.7207,181937552,0.0
2014-11-21,114.27,117.57,113.3,116.47,26.168,233414685,0.0
2014-11-14,109.02,114.19,108.4,114.18,25.6535,205166680,0.0
2014-11-07,108.22,110.3,107.72,109.01,24.4919,199952812,0.47
2014-10-31,104.85,108.04,104.7,108.0,24.1605,220230607,0.0
2014-10-24,98.315,105.49,98.22,105.22,23.5386,358532919,0.0
2014-10-17,101.33,101.78,95.18,97.67,21.8496,358539741,0.0
2014-10-10,99.95,102.38,98.31,100.73,22.5342,280258156,0.0
2014-10-03,98.65,101.54,98.04,99.62,22.2858,247749150,0.0
2014-09-26,101.8,102.94,97.72,100.75,22.5386,337730724,0.0
2014-09-19,102.81,103.05,98.89,100.96,22.5856,296789500,0.0
2014-09-12,99.3,103.08,96.14,101.66,22.7422,461559500,0.0
2014-09-05,103.06,103.74,97.79,98.97,22.1404,322672500,0.0
2014-08-29,101.79,102.9,100.7,102.5,22.9301,233048700,0.0
2014-08-22,98.49,101.47,97.98,101.32,22.6661,246983800,0.0
2014-08-15,95.27,98.19,94.8355,97.98,21.919,179363000,0.0
2014-08-08,96.37,96.58,93.28,94.74,21.1941,223025000,0.47
2014-08-01,97.82,99.44,94.81,96.13,21.3986,236825000,0.0
2014-07-25,94.99,97.88,93.72,97.671,21.7417,276392000,0.0
2014-07-18,95.86,97.1,92.57,94.43,21.0202,249075900,0.0
2014-07-11,94.14,96.8,93.52,95.22,21.1961,231830000,0.0
