Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,1820.0,2055.72,1815.34,2008.72,100.436,30332660,0.0
2020-01-24,1865.0,1902.5,1847.44,1861.64,93.082,13110822,0.0
2020-01-17,1891.31,1898.0,1855.09,1864.72,93.236,15753709,0.0
2020-01-10,1860.0,1917.82,1860.0,1883.16,94.158,17743595,0.0
2020-01-03,1874.0,1898.01,1832.23,1874.97,93.7485,13990200,0.0
2019-12-27,1788.26,1901.4,1784.51,1869.8,93.49,15232192,0.0
2019-12-20,1767.0,1802.97,1757.05,1786.5,89.325,18040959,0.0
2019-12-13,1750.66,1768.99,1735.0,1760.94,88.047,12971309,0.0
2019-12-06,1804.4,1805.55,1740.0,1751.6,87.58,16089863,0.0
2019-11-29,1753.25,1824.69,1753.24,1800.8,90.04,11639181,0.0
2019-11-22,1738.3,1762.52,1722.71,1745.72,87.286,13052220,0.0
2019-11-15,1778.0,1786.22,1732.86,1739.49,86.9745,13114185,0.0
2019-11-08,1801.01,1815.06,1774.04,1785.88,89.294,11464532,0.0
2019-11-01,1748.06,1797.45,1742.5,1791.44,89.572,13932587,0.0
2019-10-25,1769.66,1789.78,1695.0,1761.33,88.0665,21385988,0.0
2019-10-18,1728.91,1798.85,1722.0,1757.51,87.8755,13765365,0.0
2019-10-11,1731.63,1747.83,1705.0,1731.92,86.596,12904838,0.0
2019-10-04,1726.99,1755.6,1685.06,1739.65,86.9825,15383352,0.0
2019-09-27,1777.0,1795.71,1713.82,1725.45,86.2725,18828122,0.0
2019-09-20,1824.02,1832.57,1780.92,1794.16,89.708,15878717,0.0
2019-09-13,1841.0,1853.66,1805.34,1839.34,91.967,12840983,0.0
2019-09-06,1770.0,1842.0,1768.0,1833.51,91.6755,11695209,0.0
2019-08-30,1766.91,1799.74,1743.51,1776.29,88.8145,14605849,0.0
2019-08-23,1818.08,1829.58,1745.23,1749.62,87.481,14728655,0.0
2019-08-16,1795.99,1831.74,1757.22,1792.57,89.6285,18738356,0.0
2019-08-09,1770.22,1834.26,1748.78,1807.58,90.379,22236366,0.0
2019-08-02,1930.0,1932.23,1808.02,1823.24,91.162,21544341,0.0
2019-07-26,1971.14,2001.3,1924.51,1943.05,97.1525,17306428,0.0
2019-07-19,2021.4,2026.32,1951.55,1964.52,98.226,14848214,0.0
2019-07-12,1934.12,2035.8,1928.25,2011.0,100.55,18988034,0.0
2019-07-05,1922.98,1945.9,1906.63,1942.91,97.1455,10173299,0.0
2019-06-28,1912.66,1916.86,1872.42,1893.63,94.6815,12916305,0.0
2019-06-21,1876.5,1935.2,1875.45,1911.3,95.565,16576146,0.0
2019-06-14,1822.0,1893.7,1818.0,1869.67,93.4835,17739009,0.0
2019-06-07,1760.01,1806.25,1672.0,1804.03,90.2015,27515129,0.0
2019-05-31,1832.75,1849.27,1772.7,1775.07,88.7535,15244659,0.0
2019-05-24,1852.69,1879.0,1804.2,1823.28,91.164,18533859,0.0
2019-05-17,1836.56,1917.51,1815.75,1869.0,93.45,24549599,0.0
2019-05-10,1917.98,1959.0,1856.0,1889.98,94.499,26424800,0.0
2019-05-03,1949.0,1964.4,1881.87,1962.46,98.123,20988705,0.0
2019-04-26,1855.4,1951.0,1845.64,1950.63,97.5315,26221693,0.0
2019-04-18,1842.0,1876.47,1818.9,1861.69,93.0845,12412440,0.0
2019-04-12,1833.23,1853.09,1825.11,1843.06,92.153,16200437,0.0
