Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2020-01-31,1431.0000,1470.1300,1421.2000,1434.2300,71.7115,8167925,0.0000
2020-01-24,1479.1200,1503.2140,1465.2500,1466.7100,73.3355,6755674,0.0000
2020-01-17,1436.1300,1481.2950,1426.0200,1480.3900,74.0195,7791327,0.0000
2020-01-10,1350.0000,1434.9290,1350.0000,1429.7300,71.4865,8098249,0.0000
2020-01-03,1350.0000,1372.5000,1329.0850,1360.6600,68.0330,4607528,0.0000
2019-12-27,1355.8700,1364.5300,1342.7800,1351.8900,67.5945,2937190,0.0000
2019-12-20,1356.5000,1365.0000,1348.9850,1349.5900,67.4795,9696796,0.0000
2019-12-13,1338.0400,1359.4500,1336.0400,1347.8300,67.3915,6132994,0.0000
2019-12-06,1301.0000,1344.0000,1279.0000,1340.6200,67.0310,6846936,0.0000
2019-11-29,1299.1800,1318.3600,1298.1300,1304.9600,65.2480,3689592,0.0000
2019-11-22,1332.2200,1335.5290,1291.1500,1295.3400,64.7670,6449295,0.0000
2019-11-15,1303.1800,1334.8800,1293.5100,1334.8700,66.7435,5929409,0.0000
2019-11-08,1276.4500,1323.7400,1276.3550,1311.3700,65.5685,7218538,0.0000
2019-11-01,1275.4500,1299.3100,1250.8430,1273.7400,63.6870,8945930,0.0000
2019-10-25,1252.2600,1269.6000,1240.6000,1265.1300,63.2565,5256115,0.0000
2019-10-18,1212.3400,1263.3250,1211.7600,1245.4900,62.2745,5747906,0.0000
2019-10-11,1204.4000,1228.3900,1189.0100,1215.4500,60.7725,5095240,0.0000
2019-10-04,1220.9700,1231.2300,1162.4300,1209.0000,60.4500,7264112,0.0000
2019-09-27,1226.0000,1248.3000,1210.0900,1225.0900,61.2545,7177228,0.0000
2019-09-20,1229.5200,1244.4400,1216.5300,1229.9300,61.4965,6493168,0.0000
2019-09-13,1204.0000,1241.8600,1192.6200,1239.5600,61.9780,7066286,0.0000
2019-09-06,1177.0300,1213.0400,1163.2000,1204.9300,60.2465,5030132,0.0000
2019-08-30,1157.2600,1198.5000,1152.9600,1188.1000,59.4050,5293625,0.0000
2019-08-23,1190.0900,1206.9900,1147.7500,1151.2900,57.5645,5525352,0.0000
2019-08-16,1179.2100,1204.7800,1160.5400,1177.6000,58.8800,6474039,0.0000
2019-08-09,1170.0400,1205.0100,1140.1400,1188.0100,59.4005,8284808,0.0000
2019-08-02,1241.0500,1247.3700,1188.9400,1193.9900,59.6995,8746025,0.0000
2019-07-26,1133.4500,1265.5500,1120.9200,1250.4100,62.5205,11001268,0.0000
2019-07-19,1146.8600,1158.5800,1129.6200,1130.1000,56.5050,6251160,0.0000
2019-07-12,1125.1700,1153.0700,1107.1700,1144.9000,57.2450,5835797,0.0000
2019-07-05,1098.0000,1132.8800,1093.7030,1131.5900,56.5795,4461810,0.0000
2019-06-28,1119.6100,1122.0000,1072.2400,1080.9100,54.0455,7451405,0.0000
2019-06-21,1086.2800,1124.1100,1086.2800,1121.8800,56.0940,6877106,0.0000
2019-06-14,1072.9800,1101.9900,1067.5400,1085.3500,54.2675,6132209,0.0000
2019-06-07,1065.5000,1070.9200,1025.0000,1066.0400,53.3020,13638112,0.0000
2019-05-31,1134.0000,1151.5870,1100.1800,1103.6300,55.1815,5363454,0.0000
2019-05-24,1144.5000,1158.5200,1129.2240,1133.4700,56.6735,5739930,0.0000
2019-05-17,1141.9600,1188.1600,1116.6660,1162.3000,58.1150,8726581,0.0000
2019-05-10,1166.2600,1190.8500,1142.5000,1164.2700,58.2135,6925344,0.0000
2019-05-03,1274.0000,1289.2700,1155.0020,1185.4000,59.2700,15274912,0.0000
2019-04-26,1235.9900,1273.0700,1228.3100,1272.1800,63.6090,5494720,0.0000
2019-04-18,1218.0000,1242.0000,1209.1100,1236.3700,61.8185,4597576,0.0000
2019-04-12,1207.8900,1218.3500,1193.0800,1217.8700,60.8935,4105412,0.0000
2019-04-05,1184.1000,1216.3000,1182.0000,1207.1500,60.3575,4956467,0.0000
2019-03-29,1196.9300,1206.3980,1159.3700,1173.3100,58.6655,7080648,0.0000
2019-03-22,1183.3000,1231.7900,1177.4210,1205.5000,60.2750,7959399,0.0000
2019-03-15,1144.4500,1200.9300,1144.4500,1184.4600,59.2230,8801015,0.0000
2019-03-08,1146.9900,1169.6100,1123.3000,1142.3200,57.1160,6367558,0.0000
2019-03-01,1116.0000,1142.9700,1099.9200,1140.9900,57.0495,6846489,0.0000
2019-02-22,1110.0000,1123.4100,1092.5200,1110.3700,55.5185,4599463,0.0000
2019-02-15,1096.9500,1134.7300,1092.8600,1113.6500,55.6825,6121950,0.0000
2019-02-08,1112.6600,1147.0000,1086.0000,1095.0600,54.7530,11354852,0.0000
2019-02-01,1080.1100,1125.0000,1055.8650,1110.7500,55.5375,6586454,0.0000
2019-01-25,1088.0000,1094.0000,1059.7500,1090.9900,54.5495,5061372,0.0000
2019-01-18,1046.9200,1108.3520,1041.2550,1098.2600,54.9130,7137875,0.0000
2019-01-11,1071.5000,1084.5600,1048.4800,1057.1900,52.8595,7923590,0.0000
2019-01-04,1050.9600,1070.8400,1014.0700,1070.7100,53.5355,6961290,0.0000
2018-12-28,973.9000,1055.5600,970.1100,1037.0800,51.8540,7487147,0.0000
2018-12-21,1037.5100,1062.0000,973.6900,979.5400,48.9770,14326590,0.0000
2018-12-14,1035.0500,1081.6500,1023.2900,1042.1000,52.1050,7742647,0.0000
2018-12-07,1123.1400,1124.6500,1028.5000,1036.5800,51.8290,9206355,0.0000
2018-11-30,1038.3500,1095.5700,1033.9100,1094.4300,54.7215,10270876,0.0000
2018-11-23,1057.2000,1060.7900,996.0200,1023.8800,51.1940,6533480,0.0000
2018-11-16,1061.3900,1071.8500,1031.0000,1061.4900,53.0745,8045605,0.0000
2018-11-09,1055.0000,1095.4600,1021.2400,1066.1500,53.3075,8564587,0.0000
2018-11-02,1082.4700,1097.0400,995.8300,1057.7900,52.8895,12944170,0.0000
2018-10-26,1103.0600,1112.2300,1034.0900,1071.4700,53.5735,12078729,0.0000
2018-10-19,1108.9100,1128.9900,1077.0900,1096.4600,54.8230,8130332,0.0000
2018-10-12,1150.1100,1168.0000,1068.2700,1110.0800,55.5040,10968284,0.0000
2018-10-05,1199.8900,1209.9600,1145.1200,1157.3500,57.8675,7695674,0.0000
2018-09-28,1157.1700,1202.1000,1146.9100,1193.4700,59.6735,6352384,0.0000
2018-09-21,1170.1400,1192.2100,1154.0300,1166.0900,58.3045,9332565,0.0000
2018-09-14,1172.1900,1180.4250,1156.2400,1172.5300,58.6265,5996025,0.0000
2018-09-07,1204.2700,1212.9900,1152.0000,1164.8300,58.2415,7182225,0.0000
2018-08-31,1227.6000,1253.6350,1211.2850,1218.1900,60.9095,6917439,0.0000
2018-08-24,1205.0200,1221.6500,1194.6260,1220.6500,61.0325,4903185,0.0000
2018-08-17,1236.9800,1249.2730,1188.2400,1200.9600,60.0480,6907160,0.0000
2018-08-10,1225.0000,1256.5000,1215.7970,1237.6100,61.8805,5904136,0.0000
2018-08-03,1228.0100,1234.9160,1204.7900,1223.7100,61.1855,7683085,0.0000
2018-07-27,1181.0100,1273.8900,1181.0000,1238.5000,61.9250,12613633,0.0000
2018-07-20,1189.3900,1204.5000,1170.6000,1184.9100,59.2455,6584688,0.0000
2018-07-13,1148.4800,1195.4170,1141.0000,1188.8200,59.4410,5301330,0.0000
2018-07-06,1099.0000,1140.9300,1093.8000,1140.1700,57.0085,3959109,0.0000
2018-06-29,1143.6000,1143.9100,1096.0100,1115.6500,55.7825,7401986,0.0000
2018-06-22,1143.6500,1186.2860,1143.5900,1155.4800,57.7740,7232331,0.0000
2018-06-15,1118.6000,1155.4700,1118.6000,1152.2600,57.6130,6971063,0.0000
2018-06-08,1122.3300,1145.7380,1112.1500,1120.8700,56.0435,8076664,0.0000
2018-06-01,1064.8900,1120.0000,1055.2200,1119.5000,55.9750,8513499,0.0000
2018-05-25,1074.0600,1088.0000,1061.7100,1075.6600,53.7830,4840075,0.0000
2018-05-18,1100.0000,1110.7500,1060.6800,1066.3600,53.3180,6719272,0.0000
2018-05-11,1049.2300,1101.3300,1047.1000,1098.2600,54.9130,7413294,0.0000
2018-05-04,1030.0100,1048.5100,1006.2900,1048.2100,52.4105,8455908,0.0000
2018-04-27,1077.8600,1082.7200,1010.5900,1030.0500,51.5025,13191952,0.0000
2018-04-20,1037.0000,1094.1650,1026.7400,1072.9600,53.6480,8512969,0.0000
2018-04-13,1016.8000,1046.4200,1011.3400,1029.2700,51.4635,7847494,0.0000
2018-04-06,1022.8200,1042.7900,990.3700,1007.0400,50.3520,10549606,0.0000
2018-03-29,1046.0000,1064.8390,980.6400,1031.7900,51.5895,11683961,0.0000
2018-03-23,1120.0100,1121.9900,1021.2200,1021.5700,51.0785,10457958,0.0000
2018-03-16,1163.8500,1177.0500,1131.9600,1135.7300,56.7865,9029817,0.0000
2018-03-09,1075.1400,1160.8000,1069.0000,1160.0400,58.0020,7342745,0.0000
2018-03-02,1127.8000,1144.0400,1048.1150,1078.9200,53.9460,9879470,0.0000
2018-02-23,1090.5700,1133.9700,1088.5200,1126.7900,56.3395,5339418,0.0000
2018-02-16,1048.0000,1104.6700,1040.9280,1094.8000,54.7400,8206323,0.0000
2018-02-09,1090.6000,1110.0000,992.5600,1037.7800,51.8890,15017278,0.0000
2018-02-02,1176.4800,1186.8900,1107.2780,1111.9000,55.5950,10919339,0.0000
2018-01-26,1137.4900,1179.8600,1135.1100,1175.8400,58.7920,7285183,0.0000
2018-01-19,1132.5100,1139.9100,1117.0100,1137.5100,56.8755,5195629,0.0000
2018-01-12,1102.2300,1124.2900,1096.1100,1122.2600,56.1130,5603488,0.0000
2018-01-05,1048.3400,1104.2500,1045.2300,1102.2300,55.1115,4840691,0.0000
2017-12-29,1058.0700,1060.1200,1044.7700,1046.4000,52.3200,3668665,0.0000
2017-12-22,1066.0800,1078.4900,1059.4400,1060.1200,53.0060,5761412,0.0000
2017-12-15,1035.5000,1067.6200,1032.0500,1064.1900,53.2095,8284597,0.0000
2017-12-08,1012.6600,1042.0500,988.2800,1037.0500,51.8525,7834622,0.0000
2017-12-01,1040.0000,1062.3800,1002.0200,1010.1700,50.5085,8696086,0.0000
2017-11-24,1020.2600,1043.1800,1017.5000,1040.6100,52.0305,3232178,0.0000
2017-11-17,1023.4200,1035.9200,1014.1500,1019.0900,50.9545,5165760,0.0000
2017-11-10,1028.9900,1043.5200,1019.6700,1028.0700,51.4035,5111358,0.0000
2017-11-03,1014.0000,1032.6500,1007.5000,1032.4800,51.6240,6826707,0.0000
2017-10-27,989.5200,1048.3900,960.5201,1019.2700,50.9635,10536364,0.0000
2017-10-20,992.1000,996.7200,978.3900,988.2000,49.4100,5592464,0.0000
