Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,147.52,151.19,147.0,148.87,136.7468,36332756,0.0
2020-01-24,148.58,150.17,146.0,148.32,136.2416,37557920,0.0
2020-01-17,145.48,149.41,144.72,149.17,137.0224,32150554,0.0
2020-01-10,144.0,146.18,141.38,145.06,133.2471,32877116,0.0
2020-01-03,145.78,146.2,143.0,144.28,132.5306,18887694,0.0
2019-12-27,145.74,146.76,145.16,145.75,133.8809,17249651,0.0
2019-12-20,141.73,147.84,141.49,146.06,134.1656,47111186,0.0
2019-12-13,140.39,142.06,139.91,141.38,129.8668,25318652,0.0
2019-12-06,137.72,141.58,136.16,140.38,128.9482,30501790,0.0
2019-11-29,137.06,138.27,135.15,137.49,126.2935,25557633,0.95
2019-11-22,134.22,138.63,132.66,138.07,125.954,37737146,0.0
2019-11-15,132.27,134.97,130.14,134.94,123.0987,30230627,0.0
2019-11-08,131.8,133.04,129.68,133.0,121.3289,28717209,0.0
2019-11-01,128.62,133.53,128.51,131.2,119.6869,35177517,0.0
2019-10-25,128.67,130.58,126.1,128.35,117.087,47544304,0.0
2019-10-18,131.36,137.49,127.7,127.7,116.494,62836660,0.0
2019-10-11,133.09,133.82,128.52,131.33,119.8055,33644873,0.0
2019-10-04,129.07,134.7,129.0,133.66,121.931,41206916,0.0
2019-09-27,131.02,132.78,126.7,128.6,117.3151,30823890,0.0
2019-09-20,130.11,132.0,128.78,131.65,120.0974,31656629,0.0
2019-09-13,128.0,131.77,126.34,130.78,119.3038,32744061,0.0
2019-09-06,127.99,129.9,127.51,128.21,116.9593,22029815,0.0
2019-08-30,127.42,132.4,126.63,128.36,117.0961,53102687,0.95
2019-08-23,132.5,132.66,127.13,127.73,115.6616,42102349,0.0
2019-08-16,131.5,134.1,129.25,131.36,118.9487,31515946,0.0
2019-08-09,130.91,132.76,128.19,132.04,119.5644,34070186,0.0
2019-08-02,131.0,133.31,129.02,131.07,118.6861,36346486,0.0
2019-07-26,130.0,131.53,127.84,130.73,118.3782,39060374,0.0
2019-07-19,135.39,136.36,130.19,130.31,117.9979,43658833,0.0
2019-07-12,140.12,142.47,132.32,134.3,121.6109,36767721,0.0
2019-07-05,140.2,142.18,138.69,140.57,127.2885,18465045,0.0
2019-06-28,142.42,144.98,138.51,139.28,126.1203,39111889,0.0
2019-06-21,140.0,142.43,139.21,142.09,128.6648,37687167,0.0
