Date,open,high,low,close,adjusted_close,volume,dividend_amount
2007-01-05,31.1400,33.4800,30.5000,33.1000,9.1538,12348300,0.0000
2007-01-12,33.2200,35.6200,32.6800,34.2900,9.4829,15201700,0.0000
2007-01-19,34.7300,35.6700,33.3600,34.5700,9.5604,8334200,0.0000
2007-01-26,34.5100,34.6700,32.5100,34.1200,9.4359,10048400,0.0000
2007-02-02,33.9800,34.5200,33.1700,33.5400,9.2755,7712800,0.0000
2007-02-09,33.3200,37.4500,33.1000,37.2000,10.2877,14607500,0.0000
2007-02-16,36.7500,36.7500,30.5600,32.3200,8.9381,45255800,0.0000
2007-02-23,32.1600,33.4300,31.9000,32.3100,8.9354,12050500,0.0000
2007-03-02,32.3300,32.6200,27.7500,28.2500,7.8126,18783400,0.0000
2007-03-09,27.7600,29.2300,27.4000,28.5600,7.8983,15542800,0.0000
2007-03-16,28.5400,28.7800,26.5700,27.8100,7.6909,11020500,0.0000
2007-03-23,27.8000,30.4000,27.7300,29.2500,8.0891,14446500,0.0000
2007-03-30,29.3900,29.9400,28.8600,29.4100,8.1334,9437800,0.0000
2007-04-05,29.4200,29.9800,29.0800,29.6700,8.2053,6616500,0.0000
2007-04-13,29.6600,31.7500,29.2000,31.2300,8.6367,14805900,0.0000
2007-04-20,30.8100,32.5500,30.6000,32.1400,8.8884,14835900,0.0000
2007-04-27,32.9200,34.1800,32.7000,32.8600,9.0875,12110900,0.0000
2007-05-04,33.1600,33.8700,32.1700,32.7800,9.0654,11564500,0.0000
2007-05-11,32.6200,32.8100,31.2500,31.5200,8.7169,7119400,0.0000
2007-05-18,31.2800,31.9100,31.0000,31.3600,8.6726,7746000,0.0000
2007-05-25,31.2600,34.9600,31.2100,32.8400,9.0819,30163700,0.0000
2007-06-01,32.9500,34.1400,31.9400,33.2100,9.1843,14998900,0.0000
2007-06-08,33.2000,34.0900,32.2300,32.7100,9.0460,11119300,0.0000
2007-06-15,32.5500,32.9700,31.3600,31.6100,8.7418,11327100,0.0000
2007-06-22,31.7900,31.9900,29.5500,29.8900,8.2661,16738400,0.0000
2007-06-29,29.8000,30.4400,29.0500,29.7100,8.2163,10707900,0.0000
2007-07-06,29.7100,31.2500,29.3700,31.1400,8.6118,6530700,0.0000
2007-07-13,31.2300,32.2500,31.0600,31.5000,8.7114,16686000,0.0000
2007-07-20,31.3900,34.1000,30.9000,33.8000,9.3474,19309300,0.0000
2007-07-27,33.5100,33.8800,30.3800,31.1800,8.6229,12265700,0.0000
2007-08-03,31.1200,31.8600,30.0100,30.6299,8.4707,10695800,0.0000
2007-08-10,30.7800,33.4000,29.5000,31.8300,8.8026,21277000,0.0000
2007-08-17,32.5500,33.5100,28.4800,31.7500,8.7805,23216200,0.0000
2007-08-24,33.0500,33.7700,30.4800,31.4100,8.6865,13420700,0.0000
2007-08-31,31.4200,32.8800,31.2900,32.6600,9.0322,9044000,0.0000
2007-09-07,32.7000,33.8500,32.1900,32.6000,9.0156,5121700,0.0000
2007-09-14,32.8300,35.7300,32.5100,34.9100,9.6544,9342500,0.0000
2007-09-21,34.7000,39.0000,33.7500,35.6000,9.8452,18153300,0.0000
2007-09-28,35.7000,38.0500,33.6300,37.6800,10.4205,10204400,0.0000
2007-10-05,37.8400,40.8100,37.6500,40.5000,11.2003,9386400,0.0000
2007-10-12,40.5900,43.2900,40.2100,41.0700,11.3580,13412400,0.0000
2007-10-19,41.0200,41.3500,39.2800,40.0000,11.0621,10909100,0.0000
2007-10-26,40.0000,44.8200,39.3100,44.3200,12.2568,21283600,0.0000
2007-11-02,44.5500,47.9900,43.6000,46.8100,12.9454,14047000,0.0000
2007-11-09,46.0100,50.4700,38.6900,41.2400,11.4050,27718700,0.0000
2007-11-16,41.5900,43.5600,39.3000,41.9400,11.5986,18110400,0.0000
2007-11-23,42.0200,43.9400,41.1000,43.6300,12.0659,10484300,0.0000
2007-11-30,43.6000,44.0000,42.1100,43.3600,11.9913,11156100,0.0000
2007-12-07,43.4800,46.1000,42.8800,45.8000,12.6660,11123200,0.0000
2007-12-14,46.3100,48.1100,44.6500,46.7500,12.9288,11868500,0.0000
2007-12-21,46.5200,49.1700,45.3300,48.7000,13.4680,8851500,0.0000
2007-12-28,49.0600,50.0000,48.2200,49.1200,13.5842,4251600,0.0000
2008-01-04,49.4500,49.9000,44.3400,44.6400,12.3452,6291600,0.0000
2008-01-11,44.6200,46.6800,42.6100,46.1000,12.7490,10459800,0.0000
2008-01-18,46.5000,46.5600,36.6700,37.4500,10.3568,16173600,0.0000
2008-01-25,35.0900,45.1900,34.7501,42.9800,11.8862,13394600,0.0000
2008-02-01,43.0700,46.9600,41.4500,45.8300,12.6743,13024600,0.0000
2008-02-08,46.0200,46.2000,39.7500,40.7700,11.2750,12788400,0.0000
2008-02-15,40.6800,42.9500,39.7300,41.4700,11.4686,9591700,0.0000
2008-02-22,42.5600,42.6300,38.6400,40.4000,11.1727,18131500,0.0000
2008-02-29,40.4100,43.0500,39.3400,41.5100,11.4796,16865400,0.0000
2008-03-07,41.6000,41.9900,37.1500,37.7900,10.4509,15042200,0.0000
2008-03-14,37.4500,41.2000,35.8100,38.6300,10.6832,16244600,0.0000
2008-03-20,36.5400,39.9400,35.1400,39.6800,10.9736,11768700,0.0000
2008-03-28,39.7400,42.5900,38.5900,38.7900,10.7274,9158700,0.0000
2008-04-04,38.6700,42.2900,38.0800,40.8600,11.2999,9627100,0.0000
2008-04-11,41.1900,41.5000,37.0500,38.1500,10.5504,10815100,0.0000
2008-04-18,37.8700,42.2580,37.1300,40.6100,11.2307,12023900,0.0000
2008-04-25,40.0400,40.4500,36.2700,36.8500,10.1909,14097600,0.0000
2008-05-02,37.0000,38.5300,35.7500,38.2100,10.5670,12941900,0.0000
2008-05-09,38.0200,40.0000,37.8200,38.3100,10.5947,21506600,0.0000
2008-05-16,38.2300,38.5800,37.1200,37.5000,10.3707,10836400,0.0000
2008-05-23,37.5000,37.8000,32.3200,33.6200,9.2977,22596700,0.0000
2008-05-30,33.8000,36.1500,33.0400,35.0300,9.6876,12250600,0.0000
2008-06-06,35.0000,35.2700,31.9700,32.4600,8.9769,19267100,0.0000
2008-06-13,32.5000,33.1050,30.5000,32.3000,8.9326,15679400,0.0000
2008-06-20,32.1500,33.3300,30.0500,30.3100,8.3823,10675800,0.0000
2008-06-27,30.6300,31.0400,27.8000,28.2800,7.8209,16033900,0.0000
2008-07-03,28.2000,28.4900,24.8200,24.9400,6.8972,15684100,0.0000
2008-07-11,25.2000,25.8300,22.7600,24.3300,6.7285,21723300,0.0000
2008-07-18,27.1400,28.9900,22.9100,27.4900,7.6024,25101800,0.0000
2008-07-25,27.5800,30.6200,25.8200,28.8400,7.9757,19254600,0.0000
2008-08-01,28.4600,29.0000,26.2500,27.2000,7.5222,14253700,0.0000
2008-08-08,26.8700,33.8500,25.6800,33.7300,9.3281,27620800,0.0000
2008-08-15,33.5100,34.7900,31.3300,34.3800,9.5078,17067000,0.0000
2008-08-22,34.1300,34.3400,30.8300,31.8800,8.8165,14656900,0.0000
2008-08-29,31.1100,33.2200,30.6000,32.6900,9.0405,12631000,0.0000
2008-09-05,33.0900,34.0000,30.5000,32.2200,8.9105,11831900,0.0000
2008-09-12,33.1500,33.5900,29.1100,31.2500,8.6422,16771400,0.0000
2008-09-19,29.4900,38.8057,27.1000,38.8000,10.7302,33219400,0.0000
2008-09-26,35.5500,35.9600,31.0800,32.6000,9.0156,12498700,0.0000
2008-10-03,31.9100,33.9500,28.9989,31.4200,8.6892,11461200,0.0000
2008-10-10,30.4900,31.0800,22.7600,25.8700,7.1544,19547700,0.0000
2008-10-17,27.6200,32.9400,25.1300,30.9900,8.5703,19893800,0.0000
2008-10-24,31.9000,34.8800,26.8700,28.4900,7.8789,51202500,0.0000
2008-10-31,27.5100,32.7600,25.4500,32.4600,8.9769,17416600,0.0000
2008-11-07,32.4800,33.9400,26.3400,27.3400,7.5609,15142500,0.0000
2008-11-14,27.8800,28.1500,19.9700,21.9000,6.0565,22588300,0.0000
2008-11-21,21.1900,21.9300,14.9600,16.8400,4.6571,30538000,0.0000
2008-11-28,16.9300,21.7600,16.5700,21.5000,5.9459,18235500,0.0000
2008-12-05,20.8300,23.3500,18.1300,23.3500,6.4575,20449300,0.0000
2008-12-12,24.2000,27.6600,22.2500,24.6700,6.8225,15729900,0.0000
2008-12-19,24.8800,26.2500,22.7500,24.5400,6.7866,13617600,0.0000
2008-12-26,24.5300,24.7800,22.4200,23.2800,6.4381,4361900,0.0000
2009-01-02,23.0600,26.3000,21.9700,26.1300,7.2263,6946800,0.0000
2009-01-09,25.7400,27.3925,21.3900,22.0000,6.0841,20967400,0.0000
2009-01-16,21.8700,22.2800,19.4600,21.1700,5.8546,18755500,0.0000
2009-01-23,21.4300,22.1200,18.6600,21.9800,6.0786,16871300,0.0000
2009-01-30,21.8800,23.7100,20.8300,21.8200,6.0343,13516700,0.0000
2009-02-06,20.7000,25.0700,19.8900,24.9000,6.8861,19435000,0.0000
2009-02-13,24.4900,24.5200,21.0200,21.3900,5.9154,18498800,0.0000
2009-02-20,20.2800,21.3200,19.5000,20.7000,5.7246,16803200,0.0000
2009-02-27,20.5000,23.2500,19.2700,20.9000,5.7799,22732500,0.0000
2009-03-06,20.2800,21.2000,18.4300,19.2900,5.3347,22571600,0.0000
2009-03-13,19.5300,23.9600,18.9500,22.2700,6.1588,23311500,0.0000
