Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,238.24,249.27,232.23,236.43,58.8944,42547117,0.0
2020-01-24,247.81,259.5,246.57,250.48,62.3942,26752927,0.0
2020-01-17,247.66,252.99,244.53,249.28,62.0953,36755842,0.0
2020-01-10,232.32,248.55,231.27,244.32,60.8598,35781586,0.0
2020-01-03,235.99,239.91,230.13,236.07,58.8047,23322738,0.0
2019-12-27,240.52,241.81,235.81,236.87,59.004,23307114,0.0
2019-12-20,225.9,240.39,224.77,239.37,59.6267,51133532,0.0
2019-12-13,211.25,228.98,210.9,223.99,55.7956,39172062,0.0
2019-12-06,216.46,217.0,200.37,212.17,52.8512,38479755,0.0
2019-11-29,216.04,221.41,215.52,216.74,53.9896,31275351,0.16
2019-11-22,203.89,214.55,203.77,210.89,52.4939,49405107,0.0
2019-11-15,207.75,211.86,200.64,204.19,50.8262,60280411,0.0
2019-11-08,205.85,211.7,204.11,207.78,51.7198,35408637,0.0
2019-11-01,206.3,208.9,197.81,202.59,50.4279,30880947,0.0
2019-10-25,192.96,205.38,191.03,204.54,50.9133,38678410,0.0
2019-10-18,185.64,199.29,184.39,190.49,47.416,46932818,0.0
2019-10-11,184.58,189.34,176.5,185.99,46.2959,50598044,0.0
2019-10-04,172.8,183.15,170.13,181.97,45.2953,39677941,0.0
2019-09-27,172.7,179.02,169.32,171.76,42.7538,37348986,0.0
2019-09-20,178.92,181.6,172.28,172.69,42.9853,33448430,0.0
2019-09-13,179.9,188.4,178.79,181.94,45.2878,44607032,0.0
2019-09-06,164.58,181.09,163.25,178.65,44.4689,39952323,0.0
2019-08-30,165.61,170.86,159.0,167.51,41.6959,37862350,0.16
2019-08-23,164.12,173.45,161.64,162.44,40.3938,64525225,0.0
2019-08-16,152.08,161.54,147.39,159.56,39.6777,65736035,0.0
2019-08-09,153.8,158.31,148.9,154.18,38.3398,49352638,0.0
2019-08-02,174.78,175.94,159.28,161.19,40.083,41372747,0.0
2019-07-26,169.3,178.89,169.0,175.07,43.5345,44430299,0.0
2019-07-19,168.46,172.71,164.84,168.44,41.8858,44189067,0.0
2019-07-12,157.83,170.47,155.0,167.61,41.6795,57841860,0.0
