Date,open,high,low,close,adjusted_close,volume,dividend_amount
2020-01-31,541.99,653.0,539.28,650.57,43.3713,88338175,0.0
2020-01-24,530.25,594.5,528.41,564.82,37.6547,82820940,0.0
2020-01-17,493.5,547.41,492.0,510.5,34.0333,108103392,0.0
2020-01-10,440.47,498.8,440.0,478.15,31.8767,101006048,0.0
2020-01-03,428.79,454.0,402.08,443.01,29.534,50246804,0.0
2019-12-27,411.78,435.31,410.0,430.38,28.692,41992657,0.0
2019-12-20,362.55,413.0,362.5,405.59,27.0393,73766620,0.0
2019-12-13,336.59,365.21,335.08,358.39,23.8927,39149822,0.0
2019-12-06,329.4,338.86,327.25,335.89,22.3927,29587630,0.0
2019-11-29,344.32,344.57,327.1,329.94,21.996,28331092,0.0
2019-11-22,352.92,361.2,330.0,333.04,22.2027,41859203,0.0
2019-11-15,343.95,356.33,342.0,352.17,23.478,37105201,0.0
2019-11-08,314.8,341.5,309.26,337.14,22.476,44212958,0.0
2019-11-01,327.54,340.84,309.8,313.31,20.8873,52514801,0.0
2019-10-25,258.33,330.0,250.18,328.13,21.8753,80686938,0.0
2019-10-18,247.9,264.78,247.13,256.95,17.13,33910553,0.0
2019-10-11,229.8,251.08,228.55,247.89,16.526,38525904,0.0
2019-10-04,243.0,245.95,224.28,231.43,15.4287,41557942,0.0
2019-09-27,240.0,248.71,218.36,242.13,16.142,49978992,0.0
2019-09-20,246.0,248.17,238.16,240.62,16.0413,24292507,0.0
2019-09-13,230.0,253.5,228.94,245.2,16.3467,33623515,0.0
2019-09-06,224.08,229.8,219.21,227.45,15.1633,22721936,0.0
2019-08-30,213.6,232.44,211.54,225.61,15.0407,28209102,0.0
2019-08-23,224.21,229.09,211.0,211.4,14.0933,32406687,0.0
2019-08-16,232.99,236.0,211.55,219.94,14.6627,32534854,0.0
2019-08-09,229.6,239.8,225.75,235.01,15.6673,26541572,0.0
2019-08-02,227.09,246.68,226.03,234.34,15.6227,40956550,0.0
2019-07-26,258.75,266.07,222.25,228.04,15.2027,55388178,0.0
2019-07-19,248.0,259.96,244.86,258.18,17.212,40726701,0.0
2019-07-12,231.24,245.38,227.28,245.08,16.3387,37932064,0.0
2019-07-05,230.21,241.57,222.22,233.1,15.54,38763877,0.0
2019-06-28,223.24,227.23,217.35,223.46,14.8973,33631144,0.0
2019-06-21,215.48,234.74,214.27,221.86,14.7907,51673266,0.0
2019-06-14,210.25,223.38,207.51,214.92,14.328,53037782,0.0
2019-06-07,185.51,211.0,176.99,204.5,13.6333,76628366,0.0
2019-05-31,191.2,195.0,184.1,185.16,12.344,40614746,0.0
2019-05-24,202.8,207.4,186.22,190.63,12.7087,97898995,0.0
2019-05-17,232.01,234.5,208.92,211.03,14.0687,50653123,0.0
2019-05-10,250.02,258.35,236.02,239.52,15.968,40861509,0.0
2019-05-03,235.86,256.61,231.5,255.03,17.002,78749568,0.0
2019-04-26,269.0,269.68,231.13,235.14,15.676,78028556,0.0
2019-04-18,268.63,275.0,258.63,273.26,18.2173,28314302,0.0
2019-04-12,277.69,281.16,265.6,267.7,17.8467,39957682,0.0
2019-04-05,282.62,296.17,260.59,274.96,18.3307,58278229,0.0
2019-03-29,259.71,280.33,254.46,279.86,18.6573,39110574,0.0
2019-03-22,276.0,278.05,263.46,264.53,17.6353,43682541,0.0
2019-03-15,283.52,295.39,274.4,275.43,18.362,43630112,0.0
2019-03-08,298.12,299.0,270.1,284.14,18.9427,64459151,0.0
2019-03-01,297.91,320.0,288.77,294.79,19.6527,59824993,0.0
2019-02-22,306.56,311.54,290.5,294.71,19.6473,25960300,0.0
2019-02-15,311.6,318.6,301.0,307.88,20.5253,26894679,0.0
2019-02-08,312.98,324.24,298.5,305.8,20.3867,31498216,0.0
2019-02-01,292.91,316.1,287.75,312.21,20.814,42147975,0.0
2019-01-25,304.82,308.0,279.28,297.04,19.8027,39866967,0.0
2019-01-18,342.38,352.0,299.73,302.26,20.1507,43823109,0.0
2019-01-11,321.72,348.41,317.75,347.26,23.1507,31088092,0.0
2019-01-04,337.79,339.21,297.38,317.69,21.1793,32320286,0.0
2018-12-28,313.5,336.24,294.09,333.87,22.258,32237176,0.0
2018-12-21,362.0,365.7,311.87,319.77,21.318,40136847,0.0
2018-12-14,360.0,377.87,353.12,365.71,24.3807,31652681,0.0
2018-12-07,360.0,379.49,350.76,357.97,23.8647,36122141,0.0
2018-11-30,325.0,351.6,325.0,350.48,23.3653,27187638,0.0
2018-11-23,356.34,366.75,325.55,325.83,21.722,26603030,0.0
2018-11-16,348.37,355.7,330.34,354.31,23.6207,29262317,0.0
2018-11-09,340.5,357.58,330.14,350.51,23.3673,34157979,0.0
2018-11-02,337.47,349.2,322.26,346.41,23.094,47045182,0.0
2018-10-26,260.68,339.9,252.59,330.9,22.06,92952515,0.0
2018-10-19,259.06,282.7,253.5,260.0,17.3333,39178641,0.0
2018-10-12,264.52,267.76,247.77,258.78,17.252,53717647,0.0
2018-10-05,305.77,316.84,260.0,261.95,17.4633,69274845,0.0
2018-09-28,298.48,314.96,260.56,264.77,17.6513,59326690,0.0
2018-09-21,290.04,305.98,275.5,299.1,19.94,44129916,0.0
2018-09-14,273.26,297.33,271.0,295.2,19.68,46574892,0.0
2018-09-07,296.94,298.19,252.25,263.24,17.5493,46043981,0.0
2018-08-31,318.0,322.44,297.72,301.66,20.1107,40767581,0.0
2018-08-24,291.7,327.32,288.2,322.82,21.5213,45270370,0.0
2018-08-17,361.13,363.19,303.53,305.5,20.3667,51574211,0.0
2018-08-10,345.46,387.46,339.15,355.49,23.6993,92747117,0.0
2018-08-03,295.9,355.0,286.13,348.17,23.2113,58891866,0.0
2018-07-27,301.84,310.7,292.55,297.18,19.812,38011759,0.0
2018-07-20,311.71,325.5,306.25,313.58,20.9053,31520990,0.0
